week,id,x,y,habs,hab_current
1,1,13,7,4.0,4.0
1,2,1,2,2.0,2.0
1,4,5,5,4.0,1.0
1,5,6,15,4.0,1.0
1,6,17,15,1.0,1.0
1,7,19,16,1.0,1.0
1,8,6,19,5.0,5.0
1,9,16,13,2.0,5.0
1,12,9,2,4.0,4.0
1,14,1,13,1.0,1.0
1,15,18,15,1.0,1.0
1,16,10,12,2.0,1.0
1,17,8,20,3.0,4.0
1,18,1,14,1.0,7.0
1,19,5,2,1.0,1.0
1,20,1,13,1.0,1.0
1,21,15,9,1.0,1.0
1,22,18,16,2.0,1.0
1,24,1,2,1.0,2.0
1,26,7,17,1.0,5.0
1,27,8,12,4.0,5.0
1,28,15,14,1.0,1.0
1,29,7,7,3.0,6.0
1,30,13,7,4.0,4.0
1,32,13,7,4.0,4.0
1,33,2,11,1.0,1.0
1,34,14,11,2.0,5.0
1,36,8,12,2.0,5.0
1,38,1,8,2.0,1.0
1,40,3,10,4.0,4.0
1,41,8,11,2.0,5.0
1,42,10,18,3.0,5.0
1,48,6,14,2.0,2.0
1,49,9,2,4.0,4.0
1,51,5,15,2.0,1.0
1,52,9,20,3.0,5.0
1,53,14,11,3.0,5.0
1,55,8,20,1.0,4.0
1,56,6,15,5.0,1.0
1,57,13,14,5.0,1.0
1,58,19,18,2.0,5.0
1,60,8,19,1.0,5.0
1,63,13,7,3.0,4.0
1,65,3,10,4.0,4.0
1,66,2,18,2.0,1.0
1,67,1,14,7.0,7.0
1,68,6,10,4.0,4.0
1,69,1,8,2.0,1.0
1,70,6,15,5.0,1.0
1,74,11,2,3.0,1.0
1,75,1,8,2.0,1.0
1,77,9,6,1.0,1.0
1,78,3,14,2.0,1.0
1,81,6,15,5.0,1.0
1,82,16,12,2.0,5.0
1,83,2,13,1.0,1.0
1,85,13,7,6.0,4.0
1,86,9,2,2.0,4.0
1,88,8,12,2.0,5.0
1,89,2,18,1.0,1.0
1,90,1,13,2.0,1.0
1,91,3,10,2.0,4.0
1,94,3,10,1.0,4.0
