rep,year,week,sero,disease,rate,type,total_pop,n_infected,n_symptomatic,actual_sero,elim
1,1,1,0.1,0.075,20,propagule,2750,0,0,0.09781818181818182,True
1,1,2,0.1,0.075,20,propagule,2686,0,0,0.09940431868950111,True
1,1,3,0.1,0.075,20,propagule,2618,0,0,0.09969442322383498,True
1,1,4,0.1,0.075,20,propagule,2591,0,0,0.10227711308375145,True
1,1,5,0.1,0.075,20,propagule,2523,0,0,0.10543004359889022,True
1,1,6,0.1,0.075,20,propagule,2466,0,0,0.10867802108678021,True
1,1,7,0.1,0.075,20,propagule,2431,0,0,0.10900863842040312,True
1,1,8,0.1,0.075,20,propagule,2380,0,0,0.11092436974789915,True
1,1,9,0.1,0.075,20,propagule,2325,0,0,0.11397849462365592,True
1,1,10,0.1,0.075,20,propagule,2283,0,0,0.11519929916776171,True
1,1,11,0.1,0.075,20,propagule,2257,0,0,0.11652636242800177,True
1,1,12,0.1,0.075,20,propagule,2226,0,0,0.11680143755615453,True
1,1,13,0.1,0.075,20,propagule,2187,0,0,0.11979881115683585,True
1,1,14,0.1,0.075,20,propagule,2137,0,0,0.12213383247543284,True
1,1,15,0.1,0.075,20,propagule,2114,0,0,0.12535477767265846,True
1,1,16,0.1,0.075,20,propagule,2098,0,0,0.1263107721639657,True
1,1,17,0.1,0.075,20,propagule,2066,0,0,0.12971926427879962,True
1,1,18,0.1,0.075,20,propagule,6183,0,0,0.04512372634643377,True
1,1,19,0.1,0.075,20,propagule,6142,0,0,0.048518397915988276,True
1,1,20,0.1,0.075,20,propagule,5994,0,0,0.050717384050717386,True
1,1,21,0.1,0.075,20,propagule,5902,0,0,0.05167739749237547,True
1,1,22,0.1,0.075,20,propagule,5782,0,0,0.05465236942234521,True
1,1,23,0.1,0.075,20,propagule,5582,0,0,0.05643138659978502,True
1,1,24,0.1,0.075,20,propagule,5506,0,0,0.06011623683254631,True
1,1,25,0.1,0.075,20,propagule,5344,0,0,0.06231287425149701,True
1,1,26,0.1,0.075,20,propagule,5137,0,0,0.06443449484134708,True
1,1,27,0.1,0.075,20,propagule,5049,0,0,0.06634977223212517,True
1,1,28,0.1,0.075,20,propagule,4935,0,0,0.0690982776089159,True
1,1,29,0.1,0.075,20,propagule,4844,0,0,0.07308009909165979,True
1,1,30,0.1,0.075,20,propagule,4757,0,0,0.07567794828673534,True
1,1,31,0.1,0.075,20,propagule,4639,0,0,0.07738736796723432,True
1,1,32,0.1,0.075,20,propagule,4546,0,0,0.0818301803783546,True
1,1,33,0.1,0.075,20,propagule,4414,0,0,0.0851835070231083,True
1,1,34,0.1,0.075,20,propagule,4330,0,0,0.08914549653579677,True
1,1,35,0.1,0.075,20,propagule,4202,0,0,0.1632555925749643,True
1,1,36,0.1,0.075,20,propagule,4170,0,0,0.17458033573141488,True
1,1,37,0.1,0.075,20,propagule,4078,0,0,0.17385973516429623,True
1,1,38,0.1,0.075,20,propagule,4040,0,0,0.18292079207920792,True
1,1,39,0.1,0.075,20,propagule,3924,0,0,0.1811926605504587,True
1,1,40,0.1,0.075,20,propagule,3895,0,0,0.1884467265725289,True
1,1,41,0.1,0.075,20,propagule,3791,0,0,0.18543919810076498,True
1,1,42,0.1,0.075,20,propagule,3758,0,0,0.19398616285258116,True
1,1,43,0.1,0.075,20,propagule,4250,0,0,0.23152941176470587,True
1,1,44,0.1,0.075,20,propagule,3971,0,0,0.22085117098967513,True
1,1,45,0.1,0.075,20,propagule,3742,0,0,0.21352218065205772,True
1,1,46,0.1,0.075,20,propagule,3579,0,0,0.21318804135233305,True
1,1,47,0.1,0.075,20,propagule,3475,0,0,0.21294964028776978,True
1,1,48,0.1,0.075,20,propagule,3434,0,0,0.21636575422248108,True
1,1,49,0.1,0.075,20,propagule,3331,0,0,0.2215550885619934,True
1,1,50,0.1,0.075,20,propagule,3249,0,0,0.21975992613111728,True
1,1,51,0.1,0.075,20,propagule,3215,0,0,0.2255054432348367,True
1,1,52,0.1,0.075,20,propagule,3171,0,0,0.228003784295175,True
1,2,1,0.1,0.075,20,propagule,3162,23,5,0.23308032890575586,False
1,2,2,0.1,0.075,20,propagule,3096,24,13,0.23385012919896642,False
1,2,3,0.1,0.075,20,propagule,3045,19,11,0.238752052545156,False
1,2,4,0.1,0.075,20,propagule,2979,16,6,0.23900637797918764,False
1,2,5,0.1,0.075,20,propagule,2932,13,5,0.2407912687585266,False
1,2,6,0.1,0.075,20,propagule,2882,11,5,0.24600971547536432,False
1,2,7,0.1,0.075,20,propagule,2887,10,5,0.24731555247661932,False
1,2,8,0.1,0.075,20,propagule,2823,11,6,0.24902585901523203,False
1,2,9,0.1,0.075,20,propagule,2822,10,3,0.25265768958185686,False
1,2,10,0.1,0.075,20,propagule,2733,7,1,0.25100622027076475,False
1,2,11,0.1,0.075,20,propagule,2741,8,2,0.2579350601970084,False
1,2,12,0.1,0.075,20,propagule,2694,7,2,0.2583518930957684,False
1,2,13,0.1,0.075,20,propagule,2684,7,3,0.2641579731743666,False
1,2,14,0.1,0.075,20,propagule,2642,6,4,0.26532929598788796,False
1,2,15,0.1,0.075,20,propagule,2619,5,4,0.2718594883543337,False
1,2,16,0.1,0.075,20,propagule,2556,6,2,0.2711267605633803,False
1,2,17,0.1,0.075,20,propagule,2511,3,0,0.2755874153723616,False
1,2,18,0.1,0.075,20,propagule,4941,3,1,0.1412669500101194,False
1,2,19,0.1,0.075,20,propagule,4806,4,1,0.1466916354556804,False
1,2,20,0.1,0.075,20,propagule,4676,3,1,0.14713430282292558,False
1,2,21,0.1,0.075,20,propagule,4669,4,2,0.1516384664810452,False
1,2,22,0.1,0.075,20,propagule,4512,4,2,0.1558067375886525,False
1,2,23,0.1,0.075,20,propagule,4356,8,2,0.1590909090909091,False
1,2,24,0.1,0.075,20,propagule,4290,8,2,0.1627039627039627,False
1,2,25,0.1,0.075,20,propagule,4214,10,2,0.16350261034646416,False
1,2,26,0.1,0.075,20,propagule,4064,10,1,0.16929133858267717,False
1,2,27,0.1,0.075,20,propagule,3953,9,6,0.17100935997976222,False
1,2,28,0.1,0.075,20,propagule,3985,10,8,0.1739021329987453,False
1,2,29,0.1,0.075,20,propagule,3839,4,2,0.17973430580880437,False
1,2,30,0.1,0.075,20,propagule,3824,1,0,0.18200836820083682,False
1,2,31,0.1,0.075,20,propagule,3785,1,0,0.1867899603698811,False
1,2,32,0.1,0.075,20,propagule,3715,1,0,0.1857335127860027,False
1,2,33,0.1,0.075,20,propagule,3668,1,1,0.1911123227917121,False
1,2,34,0.1,0.075,20,propagule,3576,5,1,0.18931767337807606,False
1,2,35,0.1,0.075,20,propagule,3527,4,2,0.24978735469237312,False
1,2,36,0.1,0.075,20,propagule,3472,4,2,0.2566244239631336,False
1,2,37,0.1,0.075,20,propagule,3368,2,1,0.26009501187648454,False
1,2,38,0.1,0.075,20,propagule,3321,3,2,0.26166817223727795,False
1,2,39,0.1,0.075,20,propagule,3286,3,1,0.26658551430310407,False
1,2,40,0.1,0.075,20,propagule,3288,2,1,0.2801094890510949,False
1,2,41,0.1,0.075,20,propagule,3222,3,1,0.2846058348851645,False
1,2,42,0.1,0.075,20,propagule,3223,2,1,0.29382562829661807,False
1,2,43,0.1,0.075,20,propagule,3888,2,2,0.3433641975308642,False
1,2,44,0.1,0.075,20,propagule,3543,1,1,0.3285351397121084,False
1,2,45,0.1,0.075,20,propagule,3311,0,0,0.32165508909694956,True
1,2,46,0.1,0.075,20,propagule,3164,0,0,0.3179519595448799,True
1,2,47,0.1,0.075,20,propagule,3079,0,0,0.3134134459240013,True
1,2,48,0.1,0.075,20,propagule,3049,0,0,0.321416857986225,True
1,2,49,0.1,0.075,20,propagule,2977,0,0,0.32112865300638227,True
1,2,50,0.1,0.075,20,propagule,2949,0,0,0.32587317734825366,True
1,2,51,0.1,0.075,20,propagule,2897,0,0,0.32654470141525715,True
1,2,52,0.1,0.075,20,propagule,2884,0,0,0.33460471567267686,True
1,3,1,0.1,0.075,20,propagule,2838,0,0,0.33192389006342493,True
1,3,2,0.1,0.075,20,propagule,2796,0,0,0.3369098712446352,True
1,3,3,0.1,0.075,20,propagule,2754,0,0,0.3366013071895425,True
1,3,4,0.1,0.075,20,propagule,2734,0,0,0.3401609363569861,True
1,3,5,0.1,0.075,20,propagule,2714,0,0,0.34782608695652173,True
1,3,6,0.1,0.075,20,propagule,2690,0,0,0.3486988847583643,True
1,3,7,0.1,0.075,20,propagule,2631,0,0,0.3481565944507792,True
1,3,8,0.1,0.075,20,propagule,2628,0,0,0.3519786910197869,True
1,3,9,0.1,0.075,20,propagule,2594,0,0,0.3581341557440247,True
1,3,10,0.1,0.075,20,propagule,2568,0,0,0.3598130841121495,True
1,3,11,0.1,0.075,20,propagule,2533,0,0,0.3624161073825503,True
1,3,12,0.1,0.075,20,propagule,2506,0,0,0.36671987230646447,True
1,3,13,0.1,0.075,20,propagule,2462,0,0,0.36515028432168967,True
1,3,14,0.1,0.075,20,propagule,2431,0,0,0.3648704236939531,True
1,3,15,0.1,0.075,20,propagule,2396,0,0,0.36894824707846413,True
1,3,16,0.1,0.075,20,propagule,2371,0,0,0.36988612399831294,True
1,3,17,0.1,0.075,20,propagule,2360,0,0,0.37669491525423726,True
1,3,18,0.1,0.075,20,propagule,5454,0,0,0.16318298496516317,True
1,3,19,0.1,0.075,20,propagule,5378,0,0,0.1686500557828189,True
1,3,20,0.1,0.075,20,propagule,5240,0,0,0.16908396946564885,True
1,3,21,0.1,0.075,20,propagule,5124,0,0,0.17369242779078845,True
1,3,22,0.1,0.075,20,propagule,4934,0,0,0.1783542764491285,True
1,3,23,0.1,0.075,20,propagule,4824,0,0,0.18055555555555555,True
1,3,24,0.1,0.075,20,propagule,4742,0,0,0.1826233656684943,True
1,3,25,0.1,0.075,20,propagule,4627,0,0,0.18845904473741085,True
1,3,26,0.1,0.075,20,propagule,4482,0,0,0.19098616688978134,True
1,3,27,0.1,0.075,20,propagule,4401,0,0,0.19495569188820722,True
1,3,28,0.1,0.075,20,propagule,4273,0,0,0.19822139012403464,True
1,3,29,0.1,0.075,20,propagule,4222,0,0,0.20369493131217434,True
1,3,30,0.1,0.075,20,propagule,4145,0,0,0.20699638118214717,True
1,3,31,0.1,0.075,20,propagule,4074,0,0,0.21207658321060383,True
1,3,32,0.1,0.075,20,propagule,3947,0,0,0.21611350392703318,True
1,3,33,0.1,0.075,20,propagule,3825,0,0,0.21934640522875817,True
1,3,34,0.1,0.075,20,propagule,3760,0,0,0.2247340425531915,True
1,3,35,0.1,0.075,20,propagule,3676,0,0,0.28264417845484224,True
1,3,36,0.1,0.075,20,propagule,3557,0,0,0.28900759066629184,True
1,3,37,0.1,0.075,20,propagule,3522,0,0,0.28960817717206133,True
1,3,38,0.1,0.075,20,propagule,3460,0,0,0.29653179190751444,True
1,3,39,0.1,0.075,20,propagule,3415,0,0,0.29692532942898975,True
1,3,40,0.1,0.075,20,propagule,3342,0,0,0.2992220227408737,True
1,3,41,0.1,0.075,20,propagule,3309,0,0,0.3025083106678755,True
1,3,42,0.1,0.075,20,propagule,3226,0,0,0.30626162430254183,True
1,3,43,0.1,0.075,20,propagule,3994,0,0,0.36905358037055586,True
1,3,44,0.1,0.075,20,propagule,3651,0,0,0.3483976992604766,True
1,3,45,0.1,0.075,20,propagule,3406,0,0,0.33529066353493836,True
1,3,46,0.1,0.075,20,propagule,3215,0,0,0.32877138413685847,True
1,3,47,0.1,0.075,20,propagule,3075,0,0,0.3278048780487805,True
1,3,48,0.1,0.075,20,propagule,2992,0,0,0.32954545454545453,True
1,3,49,0.1,0.075,20,propagule,2934,0,0,0.3316291751874574,True
1,3,50,0.1,0.075,20,propagule,2888,0,0,0.33518005540166207,True
1,3,51,0.1,0.075,20,propagule,2834,0,0,0.33697953422724064,True
1,3,52,0.1,0.075,20,propagule,2799,0,0,0.3394069310468024,True
1,4,1,0.1,0.075,20,propagule,2769,0,0,0.3456121343445287,True
1,4,2,0.1,0.075,20,propagule,2742,0,0,0.34682713347921224,True
1,4,3,0.1,0.075,20,propagule,2699,0,0,0.3479066320859578,True
1,4,4,0.1,0.075,20,propagule,2671,0,0,0.35230250842381133,True
1,4,5,0.1,0.075,20,propagule,2630,0,0,0.35247148288973384,True
1,4,6,0.1,0.075,20,propagule,2607,0,0,0.36018411967779057,True
1,4,7,0.1,0.075,20,propagule,2581,0,0,0.3641999225106548,True
1,4,8,0.1,0.075,20,propagule,2553,0,0,0.3670191931061496,True
1,4,9,0.1,0.075,20,propagule,2552,0,0,0.3714733542319749,True
1,4,10,0.1,0.075,20,propagule,2512,0,0,0.37420382165605093,True
1,4,11,0.1,0.075,20,propagule,2499,0,0,0.37815126050420167,True
1,4,12,0.1,0.075,20,propagule,2477,0,0,0.3798950343157045,True
1,4,13,0.1,0.075,20,propagule,2450,0,0,0.3824489795918367,True
1,4,14,0.1,0.075,20,propagule,2419,0,0,0.38486978090119883,True
1,4,15,0.1,0.075,20,propagule,2387,0,0,0.3925429409300377,True
1,4,16,0.1,0.075,20,propagule,2368,0,0,0.39442567567567566,True
