rep,year,week,sero,disease,rate,type,total_pop,n_infected,n_symptomatic,actual_sero,elim
1,1,1,0.2,0.0,1.0,propagule,2786,0,0,0.208183776022972,True
1,1,2,0.2,0.0,1.0,propagule,2770,0,0,0.21046931407942238,True
1,1,3,0.2,0.0,1.0,propagule,2718,0,0,0.21118469462840322,True
1,1,4,0.2,0.0,1.0,propagule,2705,0,0,0.21109057301293901,True
1,1,5,0.2,0.0,1.0,propagule,2662,0,0,0.21337340345604808,True
1,1,6,0.2,0.0,1.0,propagule,2642,0,0,0.2142316426949281,True
1,1,7,0.2,0.0,1.0,propagule,2609,0,0,0.21387504791107703,True
1,1,8,0.2,0.0,1.0,propagule,2574,0,0,0.21756021756021757,True
1,1,9,0.2,0.0,1.0,propagule,2552,0,0,0.21826018808777428,True
1,1,10,0.2,0.0,1.0,propagule,2536,0,0,0.22358044164037855,True
1,1,11,0.2,0.0,1.0,propagule,2508,0,0,0.22527910685805422,True
1,1,12,0.2,0.0,1.0,propagule,2472,0,0,0.22653721682847897,True
1,1,13,0.2,0.0,1.0,propagule,2442,0,0,0.22768222768222768,True
1,1,14,0.2,0.0,1.0,propagule,2415,0,0,0.23022774327122153,True
1,1,15,0.2,0.0,1.0,propagule,2396,0,0,0.23080133555926544,True
1,1,16,0.2,0.0,1.0,propagule,2387,0,0,0.23292836196062003,True
1,1,17,0.2,0.0,1.0,propagule,2366,0,0,0.23372781065088757,True
1,1,18,0.2,0.0,1.0,propagule,6922,0,0,0.08119040739670616,True
1,1,19,0.2,0.0,1.0,propagule,6837,0,0,0.08410121398274097,True
1,1,20,0.2,0.0,1.0,propagule,6693,0,0,0.08710593157029732,True
1,1,21,0.2,0.0,1.0,propagule,6625,0,0,0.09056603773584905,True
1,1,22,0.2,0.0,1.0,propagule,6555,0,0,0.0927536231884058,True
1,1,23,0.2,0.0,1.0,propagule,6443,0,0,0.09871178022660251,True
1,1,24,0.2,0.0,1.0,propagule,6327,0,0,0.10241820768136557,True
1,1,25,0.2,0.0,1.0,propagule,6224,0,0,0.10620179948586118,True
1,1,26,0.2,0.0,1.0,propagule,6172,0,0,0.10725858716785483,True
1,1,27,0.2,0.0,1.0,propagule,6063,0,0,0.11133102424542306,True
1,1,28,0.2,0.0,1.0,propagule,5986,0,0,0.11359839625793518,True
1,1,29,0.2,0.0,1.0,propagule,5905,0,0,0.11685012701100762,True
1,1,30,0.2,0.0,1.0,propagule,5725,0,0,0.1177292576419214,True
