rep,year,week,sero,disease,rate,type,total_pop,n_infected,n_symptomatic,actual_sero,elim
1,1,1,0.6,0.0,10,wave,2755,0,0,0.5996370235934664,True
1,1,2,0.6,0.0,10,wave,2684,0,0,0.5979880774962743,True
1,1,3,0.6,0.0,10,wave,2588,0,0,0.5973724884080371,True
1,1,4,0.6,0.0,10,wave,2514,0,0,0.5946698488464598,True
1,1,5,0.6,0.0,10,wave,2428,0,0,0.5951400329489291,True
1,1,6,0.6,0.0,10,wave,2369,0,0,0.5934993668214437,True
1,1,7,0.6,0.0,10,wave,2319,0,0,0.5976714100905562,True
1,1,8,0.6,0.0,10,wave,2257,0,0,0.5945945945945946,True
1,1,9,0.6,0.0,10,wave,2230,0,0,0.5937219730941704,True
1,1,10,0.6,0.0,10,wave,2199,0,0,0.5970895861755343,True
1,1,11,0.6,0.0,10,wave,2150,0,0,0.5986046511627907,True
1,1,12,0.6,0.0,10,wave,2123,0,0,0.6010362694300518,True
1,1,13,0.6,0.0,10,wave,2103,0,0,0.6005706134094151,True
1,1,14,0.6,0.0,10,wave,2092,0,0,0.6008604206500956,True
1,1,15,0.6,0.0,10,wave,2067,0,0,0.6013546202225447,True
1,1,16,0.6,0.0,10,wave,2047,0,0,0.605276013678554,True
1,1,17,0.6,0.0,10,wave,2031,0,0,0.604135893648449,True
1,1,18,0.6,0.0,10,wave,5706,0,0,0.21573781983876622,True
1,1,19,0.6,0.0,10,wave,5769,0,0,0.21910209741723002,True
1,1,20,0.6,0.0,10,wave,5676,0,0,0.22568710359408034,True
1,1,21,0.6,0.0,10,wave,5610,0,0,0.23012477718360072,True
1,1,22,0.6,0.0,10,wave,5525,0,0,0.2374660633484163,True
1,1,23,0.6,0.0,10,wave,5481,0,0,0.24192665571975916,True
1,1,24,0.6,0.0,10,wave,5385,0,0,0.24661095636025998,True
1,1,25,0.6,0.0,10,wave,5289,0,0,0.2505199470599357,True
1,1,26,0.6,0.0,10,wave,5178,0,0,0.2549246813441483,True
1,1,27,0.6,0.0,10,wave,5127,0,0,0.2594109615759704,True
1,1,28,0.6,0.0,10,wave,5020,0,0,0.2675298804780876,True
1,1,29,0.6,0.0,10,wave,4976,0,0,0.27110128617363344,True
1,1,30,0.6,0.0,10,wave,4904,0,0,0.27589722675367045,True
1,1,31,0.6,0.0,10,wave,4846,0,0,0.2794056954189022,True
1,1,32,0.6,0.0,10,wave,4730,0,0,0.2843551797040169,True
1,1,33,0.6,0.0,10,wave,4741,0,0,0.2858046825564227,True
1,1,34,0.6,0.0,10,wave,4581,0,0,0.2949137742850906,True
1,1,35,0.6,0.0,10,wave,4524,0,0,0.5579133510167993,True
1,1,36,0.6,0.0,10,wave,4360,0,0,0.5594036697247706,True
1,1,37,0.6,0.0,10,wave,4305,0,0,0.5602787456445993,True
1,1,38,0.6,0.0,10,wave,4179,0,0,0.5644891122278057,True
1,1,39,0.6,0.0,10,wave,4115,0,0,0.5667071688942892,True
1,1,40,0.6,0.0,10,wave,4049,0,0,0.5697703136576933,True
1,1,41,0.6,0.0,10,wave,3988,0,0,0.5699598796389167,True
1,1,42,0.6,0.0,10,wave,3910,0,0,0.5723785166240409,True
1,1,43,0.6,0.0,10,wave,4106,0,0,0.5684364344861179,True
1,1,44,0.6,0.0,10,wave,3955,0,0,0.5711757269279393,True
1,1,45,0.6,0.0,10,wave,3867,0,0,0.5733126454615981,True
1,1,46,0.6,0.0,10,wave,3800,0,0,0.5778947368421052,True
1,1,47,0.6,0.0,10,wave,3737,0,0,0.5798769066095799,True
1,1,48,0.6,0.0,10,wave,3696,0,0,0.58495670995671,True
1,1,49,0.6,0.0,10,wave,3654,0,0,0.5873015873015873,True
1,1,50,0.6,0.0,10,wave,3596,0,0,0.5906562847608454,True
1,1,51,0.6,0.0,10,wave,3580,0,0,0.5927374301675977,True
1,1,52,0.6,0.0,10,wave,3550,0,0,0.5946478873239437,True
1,2,1,0.6,0.0,10,wave,3498,27,6,0.5946255002858777,False
1,2,2,0.6,0.0,10,wave,3467,27,11,0.5953273723680416,False
1,2,3,0.6,0.0,10,wave,3436,21,11,0.5989522700814901,False
1,2,4,0.6,0.0,10,wave,3371,17,6,0.6021951943043607,False
1,2,5,0.6,0.0,10,wave,3331,14,7,0.6043230261182828,False
1,2,6,0.6,0.0,10,wave,3294,12,8,0.6080752884031573,False
1,2,7,0.6,0.0,10,wave,3259,7,5,0.6112304387849034,False
1,2,8,0.6,0.0,10,wave,3220,4,3,0.6133540372670807,False
1,2,9,0.6,0.0,10,wave,3166,3,1,0.6133922931143398,False
1,2,10,0.6,0.0,10,wave,3119,2,0,0.6165437640269317,False
1,2,11,0.6,0.0,10,wave,3085,2,1,0.6175040518638574,False
1,2,12,0.6,0.0,10,wave,3039,2,1,0.6219151036525172,False
1,2,13,0.6,0.0,10,wave,3024,1,0,0.6236772486772487,False
1,2,14,0.6,0.0,10,wave,2978,1,1,0.6259234385493619,False
1,2,15,0.6,0.0,10,wave,2948,1,1,0.6278833107191316,False
1,2,16,0.6,0.0,10,wave,2925,0,0,0.6307692307692307,True
1,2,17,0.6,0.0,10,wave,2898,0,0,0.6325051759834368,True
1,2,18,0.6,0.0,10,wave,5646,0,0,0.3228834573149132,True
1,2,19,0.6,0.0,10,wave,5563,0,0,0.324105698364192,True
1,2,20,0.6,0.0,10,wave,5427,0,0,0.328173945089368,True
1,2,21,0.6,0.0,10,wave,5244,0,0,0.3333333333333333,True
1,2,22,0.6,0.0,10,wave,5111,0,0,0.33946390138916066,True
1,2,23,0.6,0.0,10,wave,5010,0,0,0.3459081836327345,True
1,2,24,0.6,0.0,10,wave,4867,0,0,0.350113005958496,True
1,2,25,0.6,0.0,10,wave,4734,0,0,0.3553020701309675,True
1,2,26,0.6,0.0,10,wave,4634,0,0,0.35779024600776865,True
1,2,27,0.6,0.0,10,wave,4525,0,0,0.35911602209944754,True
1,2,28,0.6,0.0,10,wave,4382,0,0,0.3655864901871292,True
1,2,29,0.6,0.0,10,wave,4310,0,0,0.36983758700696057,True
1,2,30,0.6,0.0,10,wave,4219,0,0,0.37520739511732637,True
1,2,31,0.6,0.0,10,wave,4115,0,0,0.38080194410692586,True
1,2,32,0.6,0.0,10,wave,4009,0,0,0.38613120478922425,True
1,2,33,0.6,0.0,10,wave,3940,0,0,0.39213197969543145,True
1,2,34,0.6,0.0,10,wave,3837,0,0,0.39536095908261665,True
1,2,35,0.6,0.0,10,wave,3813,0,0,0.6367689483346446,True
1,2,36,0.6,0.0,10,wave,3693,0,0,0.6404007581911725,True
1,2,37,0.6,0.0,10,wave,3713,0,0,0.6436843522757878,True
1,2,38,0.6,0.0,10,wave,3623,0,0,0.6467016284846812,True
1,2,39,0.6,0.0,10,wave,3584,0,0,0.6506696428571429,True
1,2,40,0.6,0.0,10,wave,3515,0,0,0.6577524893314367,True
1,2,41,0.6,0.0,10,wave,3464,0,0,0.6570438799076213,True
1,2,42,0.6,0.0,10,wave,3413,0,0,0.6598300615294462,True
1,2,43,0.6,0.0,10,wave,3821,0,0,0.655587542528134,True
1,2,44,0.6,0.0,10,wave,3556,0,0,0.6535433070866141,True
1,2,45,0.6,0.0,10,wave,3351,0,0,0.652342584303193,True
1,2,46,0.6,0.0,10,wave,3273,0,0,0.6541399327833791,True
1,2,47,0.6,0.0,10,wave,3198,0,0,0.6544715447154471,True
1,2,48,0.6,0.0,10,wave,3185,0,0,0.6583987441130298,True
1,2,49,0.6,0.0,10,wave,3122,0,0,0.6620755925688662,True
1,2,50,0.6,0.0,10,wave,3098,0,0,0.6639767591994835,True
1,2,51,0.6,0.0,10,wave,3023,0,0,0.6658948064836255,True
1,2,52,0.6,0.0,10,wave,3028,0,0,0.6687582562747688,True
1,3,1,0.6,0.0,10,wave,2969,0,0,0.6719434152913439,True
1,3,2,0.6,0.0,10,wave,2954,0,0,0.6750169262017603,True
1,3,3,0.6,0.0,10,wave,2932,0,0,0.6787175989085948,True
1,3,4,0.6,0.0,10,wave,2911,0,0,0.6825833047062865,True
1,3,5,0.6,0.0,10,wave,2855,0,0,0.6847635726795096,True
1,3,6,0.6,0.0,10,wave,2855,0,0,0.6903677758318739,True
1,3,7,0.6,0.0,10,wave,2800,0,0,0.6885714285714286,True
1,3,8,0.6,0.0,10,wave,2777,0,0,0.6921137918617213,True
1,3,9,0.6,0.0,10,wave,2738,0,0,0.6953981008035062,True
1,3,10,0.6,0.0,10,wave,2735,0,0,0.6987202925045704,True
1,3,11,0.6,0.0,10,wave,2680,0,0,0.7011194029850746,True
1,3,12,0.6,0.0,10,wave,2669,0,0,0.7036343199700262,True
1,3,13,0.6,0.0,10,wave,2622,0,0,0.7051868802440885,True
1,3,14,0.6,0.0,10,wave,2613,0,0,0.7087638729429774,True
1,3,15,0.6,0.0,10,wave,2572,0,0,0.7087869362363919,True
1,3,16,0.6,0.0,10,wave,2583,0,0,0.710801393728223,True
1,3,17,0.6,0.0,10,wave,2536,0,0,0.7125394321766562,True
1,3,18,0.6,0.0,10,wave,6025,0,0,0.30024896265560164,True
1,3,19,0.6,0.0,10,wave,5784,0,0,0.3063623789764869,True
