rep,year,week,sero,disease,rate,type,total_pop,n_infected,n_symptomatic,actual_sero,elim
1,1,1,0.1,0.015,7.5,wave,2783,0,0,0.11031261228889687,True
1,1,2,0.1,0.015,7.5,wave,2745,0,0,0.11147540983606558,True
1,1,3,0.1,0.015,7.5,wave,2661,0,0,0.11349116873355881,True
1,1,4,0.1,0.015,7.5,wave,2612,0,0,0.11600306278713629,True
1,1,5,0.1,0.015,7.5,wave,2548,0,0,0.11930926216640503,True
1,1,6,0.1,0.015,7.5,wave,2476,0,0,0.11550888529886914,True
1,1,7,0.1,0.015,7.5,wave,2419,0,0,0.11864406779661017,True
1,1,8,0.1,0.015,7.5,wave,2363,0,0,0.12018620397799408,True
1,1,9,0.1,0.015,7.5,wave,2320,0,0,0.11896551724137931,True
1,1,10,0.1,0.015,7.5,wave,2258,0,0,0.12356067316209035,True
1,1,11,0.1,0.015,7.5,wave,2187,0,0,0.12665752171925013,True
1,1,12,0.1,0.015,7.5,wave,2138,0,0,0.12862488306828812,True
1,1,13,0.1,0.015,7.5,wave,2076,0,0,0.13102119460500963,True
1,1,14,0.1,0.015,7.5,wave,2017,0,0,0.13187902825979178,True
1,1,15,0.1,0.015,7.5,wave,1967,0,0,0.13573970513472292,True
1,1,16,0.1,0.015,7.5,wave,1890,0,0,0.13862433862433862,True
1,1,17,0.1,0.015,7.5,wave,1824,0,0,0.14583333333333334,True
1,1,18,0.1,0.015,7.5,wave,5087,0,0,0.05150383330057008,True
1,1,19,0.1,0.015,7.5,wave,4911,0,0,0.05518224394217064,True
1,1,20,0.1,0.015,7.5,wave,4794,0,0,0.057363370880267,True
1,1,21,0.1,0.015,7.5,wave,4622,0,0,0.060796192124621375,True
1,1,22,0.1,0.015,7.5,wave,4419,0,0,0.06155238741796787,True
1,1,23,0.1,0.015,7.5,wave,4227,0,0,0.06269221670215283,True
1,1,24,0.1,0.015,7.5,wave,4055,0,0,0.06510480887792848,True
1,1,25,0.1,0.015,7.5,wave,3945,0,0,0.06692015209125475,True
1,1,26,0.1,0.015,7.5,wave,3823,0,0,0.06774784200889354,True
1,1,27,0.1,0.015,7.5,wave,3701,0,0,0.0691704944609565,True
1,1,28,0.1,0.015,7.5,wave,3547,0,0,0.07217366788835636,True
1,1,29,0.1,0.015,7.5,wave,3461,0,0,0.07598959838197053,True
1,1,30,0.1,0.015,7.5,wave,3355,0,0,0.07928464977645305,True
1,1,31,0.1,0.015,7.5,wave,3257,0,0,0.08228431071538225,True
1,1,32,0.1,0.015,7.5,wave,3165,0,0,0.08562401263823065,True
1,1,33,0.1,0.015,7.5,wave,3077,0,0,0.08872278193045174,True
1,1,34,0.1,0.015,7.5,wave,3002,0,0,0.09227181878747502,True
1,1,35,0.1,0.015,7.5,wave,2918,0,0,0.1511309115832762,True
1,1,36,0.1,0.015,7.5,wave,2867,0,0,0.15451691663760028,True
1,1,37,0.1,0.015,7.5,wave,2773,0,0,0.15506671474936892,True
1,1,38,0.1,0.015,7.5,wave,2729,0,0,0.15646757053865884,True
1,1,39,0.1,0.015,7.5,wave,2679,0,0,0.15864128406121686,True
1,1,40,0.1,0.015,7.5,wave,2642,0,0,0.15972747918243754,True
1,1,41,0.1,0.015,7.5,wave,2599,0,0,0.1623701423624471,True
1,1,42,0.1,0.015,7.5,wave,2559,0,0,0.16451738960531456,True
1,1,43,0.1,0.015,7.5,wave,3271,0,0,0.24763069397737694,True
1,1,44,0.1,0.015,7.5,wave,2942,0,0,0.21889870836165873,True
1,1,45,0.1,0.015,7.5,wave,2720,0,0,0.20477941176470588,True
1,1,46,0.1,0.015,7.5,wave,2615,0,0,0.1965583173996176,True
1,1,47,0.1,0.015,7.5,wave,2530,0,0,0.1976284584980237,True
1,1,48,0.1,0.015,7.5,wave,2481,0,0,0.19830713422007254,True
1,1,49,0.1,0.015,7.5,wave,2438,0,0,0.20426579163248565,True
1,1,50,0.1,0.015,7.5,wave,2416,0,0,0.20695364238410596,True
1,1,51,0.1,0.015,7.5,wave,2391,0,0,0.20618987871183606,True
1,1,52,0.1,0.015,7.5,wave,2354,0,0,0.20730671197960918,True
1,2,1,0.1,0.015,7.5,wave,2334,24,2,0.2099400171379606,False
1,2,2,0.1,0.015,7.5,wave,2298,22,6,0.21192341166231507,False
1,2,3,0.1,0.015,7.5,wave,2279,24,11,0.21369021500658184,False
1,2,4,0.1,0.015,7.5,wave,2243,23,12,0.2166740971912617,False
1,2,5,0.1,0.015,7.5,wave,2210,19,9,0.21900452488687783,False
1,2,6,0.1,0.015,7.5,wave,2187,17,7,0.2217649748513946,False
1,2,7,0.1,0.015,7.5,wave,2146,16,4,0.22506989748369058,False
1,2,8,0.1,0.015,7.5,wave,2116,14,4,0.22637051039697542,False
1,2,9,0.1,0.015,7.5,wave,2087,12,4,0.22903689506468616,False
1,2,10,0.1,0.015,7.5,wave,2051,15,6,0.23305704534373475,False
1,2,11,0.1,0.015,7.5,wave,2027,15,8,0.2343364578194376,False
1,2,12,0.1,0.015,7.5,wave,1981,16,5,0.23826350328117113,False
1,2,13,0.1,0.015,7.5,wave,1954,13,8,0.23950870010235414,False
1,2,14,0.1,0.015,7.5,wave,1909,15,6,0.24358302776322682,False
1,2,15,0.1,0.015,7.5,wave,1890,10,3,0.24603174603174602,False
1,2,16,0.1,0.015,7.5,wave,1873,11,5,0.24612920448478376,False
1,2,17,0.1,0.015,7.5,wave,1842,8,4,0.251357220412595,False
1,2,18,0.1,0.015,7.5,wave,3644,10,4,0.12897914379802414,False
1,2,19,0.1,0.015,7.5,wave,3577,18,3,0.12915851272015655,False
1,2,20,0.1,0.015,7.5,wave,3501,17,5,0.1319622964867181,False
1,2,21,0.1,0.015,7.5,wave,3436,19,5,0.13533178114086147,False
1,2,22,0.1,0.015,7.5,wave,3348,17,4,0.13560334528076465,False
1,2,23,0.1,0.015,7.5,wave,3264,16,9,0.13817401960784315,False
1,2,24,0.1,0.015,7.5,wave,3209,18,8,0.1411654721096915,False
1,2,25,0.1,0.015,7.5,wave,3168,16,5,0.1442550505050505,False
1,2,26,0.1,0.015,7.5,wave,3071,22,6,0.14685770107456855,False
1,2,27,0.1,0.015,7.5,wave,3006,20,8,0.15036593479707253,False
1,2,28,0.1,0.015,7.5,wave,2981,21,7,0.1546460919154646,False
1,2,29,0.1,0.015,7.5,wave,2903,15,8,0.1550120564932828,False
1,2,30,0.1,0.015,7.5,wave,2855,20,11,0.15691768826619965,False
1,2,31,0.1,0.015,7.5,wave,2765,22,5,0.15949367088607594,False
1,2,32,0.1,0.015,7.5,wave,2682,19,2,0.1621923937360179,False
1,2,33,0.1,0.015,7.5,wave,2635,17,8,0.16546489563567363,False
1,2,34,0.1,0.015,7.5,wave,2578,20,10,0.16795965865011636,False
1,2,35,0.1,0.015,7.5,wave,2518,14,3,0.2335186656076251,False
1,2,36,0.1,0.015,7.5,wave,2472,11,3,0.23745954692556634,False
1,2,37,0.1,0.015,7.5,wave,2432,13,5,0.23889802631578946,False
1,2,38,0.1,0.015,7.5,wave,2392,12,4,0.24205685618729098,False
1,2,39,0.1,0.015,7.5,wave,2351,11,6,0.24500212675457253,False
1,2,40,0.1,0.015,7.5,wave,2315,9,7,0.24622030237580994,False
1,2,41,0.1,0.015,7.5,wave,2293,6,4,0.25032708242477103,False
1,2,42,0.1,0.015,7.5,wave,2273,5,1,0.2551693796744391,False
1,2,43,0.1,0.015,7.5,wave,2925,14,4,0.3545299145299145,False
1,2,44,0.1,0.015,7.5,wave,2582,9,3,0.31216111541440744,False
1,2,45,0.1,0.015,7.5,wave,2413,5,3,0.2938251139660174,False
1,2,46,0.1,0.015,7.5,wave,2323,5,1,0.28885062419285407,False
1,2,47,0.1,0.015,7.5,wave,2255,4,3,0.2811529933481153,False
1,2,48,0.1,0.015,7.5,wave,2233,4,3,0.283922973578146,False
1,2,49,0.1,0.015,7.5,wave,2182,1,0,0.2859761686526123,False
1,2,50,0.1,0.015,7.5,wave,2136,1,1,0.2883895131086142,False
1,2,51,0.1,0.015,7.5,wave,2096,1,1,0.2881679389312977,False
1,2,52,0.1,0.015,7.5,wave,2075,0,0,0.2910843373493976,False
