rep,year,week,sero,disease,rate,type,total_pop,n_infected,n_symptomatic,actual_sero,elim
1,1,1,0.5,0.0,1.0,propagule,2788,0,0,0.5053802008608321,True
1,1,2,0.5,0.0,1.0,propagule,2724,0,0,0.5080763582966226,True
1,1,3,0.5,0.0,1.0,propagule,2661,0,0,0.5110860578729801,True
1,1,4,0.5,0.0,1.0,propagule,2563,0,0,0.5158017947717518,True
1,1,5,0.5,0.0,1.0,propagule,2515,0,0,0.5149105367793241,True
1,1,6,0.5,0.0,1.0,propagule,2423,0,0,0.5154766817994222,True
1,1,7,0.5,0.0,1.0,propagule,2336,0,0,0.5132705479452054,True
1,1,8,0.5,0.0,1.0,propagule,2266,0,0,0.5132391879964695,True
1,1,9,0.5,0.0,1.0,propagule,2138,0,0,0.5154349859681946,True
1,1,10,0.5,0.0,1.0,propagule,2073,0,0,0.516642547033285,True
1,1,11,0.5,0.0,1.0,propagule,1998,0,0,0.5225225225225225,True
1,1,12,0.5,0.0,1.0,propagule,1925,0,0,0.5257142857142857,True
1,1,13,0.5,0.0,1.0,propagule,1851,0,0,0.5299837925445705,True
1,1,14,0.5,0.0,1.0,propagule,1778,0,0,0.5292463442069741,True
1,1,15,0.5,0.0,1.0,propagule,1716,0,0,0.5314685314685315,True
1,1,16,0.5,0.0,1.0,propagule,1632,0,0,0.5330882352941176,True
1,1,17,0.5,0.0,1.0,propagule,1600,0,0,0.533125,True
1,1,18,0.5,0.0,1.0,propagule,4517,0,0,0.18574274961257473,True
1,1,19,0.5,0.0,1.0,propagule,4404,0,0,0.19028156221616713,True
1,1,20,0.5,0.0,1.0,propagule,4257,0,0,0.19332863518910032,True
1,1,21,0.5,0.0,1.0,propagule,4129,0,0,0.19544683942843302,True
1,1,22,0.5,0.0,1.0,propagule,4014,0,0,0.1998006975585451,True
1,1,23,0.5,0.0,1.0,propagule,3928,0,0,0.2039205702647658,True
1,1,24,0.5,0.0,1.0,propagule,3831,0,0,0.206734534064213,True
1,1,25,0.5,0.0,1.0,propagule,3742,0,0,0.20978086584714056,True
1,1,26,0.5,0.0,1.0,propagule,3643,0,0,0.21383475157836948,True
1,1,27,0.5,0.0,1.0,propagule,3536,0,0,0.21634615384615385,True
1,1,28,0.5,0.0,1.0,propagule,3446,0,0,0.22141613464886825,True
1,1,29,0.5,0.0,1.0,propagule,3371,0,0,0.22515574013645803,True
1,1,30,0.5,0.0,1.0,propagule,3299,0,0,0.22825098514701425,True
1,1,31,0.5,0.0,1.0,propagule,3215,0,0,0.23203732503888025,True
1,1,32,0.5,0.0,1.0,propagule,3122,0,0,0.23638693145419604,True
1,1,33,0.5,0.0,1.0,propagule,3051,0,0,0.24123238282530318,True
1,1,34,0.5,0.0,1.0,propagule,2986,0,0,0.24748827863362358,True
1,1,35,0.5,0.0,1.0,propagule,2922,0,0,0.4938398357289528,True
1,1,36,0.5,0.0,1.0,propagule,2853,0,0,0.4977216964598668,True
1,1,37,0.5,0.0,1.0,propagule,2795,0,0,0.5041144901610017,True
1,1,38,0.5,0.0,1.0,propagule,2757,0,0,0.5070729053318824,True
1,1,39,0.5,0.0,1.0,propagule,2714,0,0,0.5088430361090641,True
1,1,40,0.5,0.0,1.0,propagule,2677,0,0,0.5102726933134105,True
1,1,41,0.5,0.0,1.0,propagule,2648,0,0,0.5109516616314199,True
1,1,42,0.5,0.0,1.0,propagule,2609,0,0,0.5132234572633193,True
1,1,43,0.5,0.0,1.0,propagule,3221,0,0,0.5131946600434648,True
1,1,44,0.5,0.0,1.0,propagule,2956,0,0,0.5125169147496617,True
1,1,45,0.5,0.0,1.0,propagule,2816,0,0,0.5131392045454546,True
1,1,46,0.5,0.0,1.0,propagule,2713,0,0,0.514190932546996,True
1,1,47,0.5,0.0,1.0,propagule,2620,0,0,0.5213740458015267,True
1,1,48,0.5,0.0,1.0,propagule,2574,0,0,0.5229215229215229,True
1,1,49,0.5,0.0,1.0,propagule,2525,0,0,0.5255445544554456,True
1,1,50,0.5,0.0,1.0,propagule,2469,0,0,0.528554070473876,True
1,1,51,0.5,0.0,1.0,propagule,2429,0,0,0.5302593659942363,True
1,1,52,0.5,0.0,1.0,propagule,2383,0,0,0.5346202266051195,True
1,2,1,0.5,0.0,1.0,propagule,2354,15,1,0.536108751062022,False
1,2,2,0.5,0.0,1.0,propagule,2322,16,7,0.5366063738156761,False
1,2,3,0.5,0.0,1.0,propagule,2276,20,9,0.538664323374341,False
1,2,4,0.5,0.0,1.0,propagule,2239,16,5,0.543099598034837,False
1,2,5,0.5,0.0,1.0,propagule,2212,16,4,0.5438517179023508,False
1,2,6,0.5,0.0,1.0,propagule,2165,16,3,0.5441108545034642,False
1,2,7,0.5,0.0,1.0,propagule,2143,15,5,0.5450303313112459,False
1,2,8,0.5,0.0,1.0,propagule,2105,14,5,0.5458432304038005,False
1,2,9,0.5,0.0,1.0,propagule,2073,9,5,0.548480463096961,False
1,2,10,0.5,0.0,1.0,propagule,2041,10,4,0.5516903478686919,False
1,2,11,0.5,0.0,1.0,propagule,2012,7,2,0.5541749502982107,False
1,2,12,0.5,0.0,1.0,propagule,1976,7,2,0.5597165991902834,False
1,2,13,0.5,0.0,1.0,propagule,1920,7,3,0.5604166666666667,False
1,2,14,0.5,0.0,1.0,propagule,1882,7,4,0.563230605738576,False
1,2,15,0.5,0.0,1.0,propagule,1860,7,3,0.5650537634408602,False
1,2,16,0.5,0.0,1.0,propagule,1835,6,2,0.568392370572207,False
1,2,17,0.5,0.0,1.0,propagule,1805,8,1,0.5700831024930748,False
1,2,18,0.5,0.0,1.0,propagule,3484,7,2,0.29621125143513205,False
1,2,19,0.5,0.0,1.0,propagule,3411,14,5,0.29961888009381415,False
1,2,20,0.5,0.0,1.0,propagule,3360,14,4,0.30565476190476193,False
1,2,21,0.5,0.0,1.0,propagule,3254,14,5,0.31161647203441917,False
1,2,22,0.5,0.0,1.0,propagule,3176,22,8,0.31580604534005036,False
1,2,23,0.5,0.0,1.0,propagule,3099,23,7,0.31881252016779604,False
1,2,24,0.5,0.0,1.0,propagule,3023,25,4,0.32252729077075754,False
1,2,25,0.5,0.0,1.0,propagule,2971,25,6,0.32648939750925615,False
1,2,26,0.5,0.0,1.0,propagule,2905,29,7,0.329776247848537,False
1,2,27,0.5,0.0,1.0,propagule,2853,31,10,0.3357868909919383,False
1,2,28,0.5,0.0,1.0,propagule,2806,39,14,0.3403421240199572,False
1,2,29,0.5,0.0,1.0,propagule,2743,37,12,0.34779438570907767,False
1,2,30,0.5,0.0,1.0,propagule,2681,34,10,0.35024244684819095,False
1,2,31,0.5,0.0,1.0,propagule,2611,30,11,0.35810034469551894,False
1,2,32,0.5,0.0,1.0,propagule,2547,32,11,0.36395759717314485,False
1,2,33,0.5,0.0,1.0,propagule,2489,33,10,0.3684210526315789,False
1,2,34,0.5,0.0,1.0,propagule,2437,35,11,0.3758719737382027,False
1,2,35,0.5,0.0,1.0,propagule,2406,34,15,0.6076475477971738,False
1,2,36,0.5,0.0,1.0,propagule,2346,31,18,0.6142369991474851,False
1,2,37,0.5,0.0,1.0,propagule,2290,23,14,0.6170305676855895,False
1,2,38,0.5,0.0,1.0,propagule,2251,14,6,0.6201688138605065,False
1,2,39,0.5,0.0,1.0,propagule,2215,8,3,0.6234762979683973,False
1,2,40,0.5,0.0,1.0,propagule,2186,7,5,0.6253430924062214,False
1,2,41,0.5,0.0,1.0,propagule,2148,6,3,0.6266294227188082,False
1,2,42,0.5,0.0,1.0,propagule,2131,3,1,0.6264664476771469,False
1,2,43,0.5,0.0,1.0,propagule,2724,11,5,0.6248164464023495,False
1,2,44,0.5,0.0,1.0,propagule,2446,7,4,0.6185609157808667,False
1,2,45,0.5,0.0,1.0,propagule,2277,4,3,0.6196750109793588,False
1,2,46,0.5,0.0,1.0,propagule,2198,3,2,0.6219290263876252,False
1,2,47,0.5,0.0,1.0,propagule,2153,1,0,0.6265675801207617,False
1,2,48,0.5,0.0,1.0,propagule,2130,1,0,0.6267605633802817,False
1,2,49,0.5,0.0,1.0,propagule,2104,1,0,0.629277566539924,False
1,2,50,0.5,0.0,1.0,propagule,2077,1,1,0.6326432354357246,False
1,2,51,0.5,0.0,1.0,propagule,2046,1,1,0.6324535679374389,False
1,2,52,0.5,0.0,1.0,propagule,2008,0,0,0.6379482071713147,False
1,3,1,0.5,0.0,1.0,propagule,1995,0,0,0.6401002506265664,False
1,3,2,0.5,0.0,1.0,propagule,1970,0,0,0.6411167512690356,False
1,3,3,0.5,0.0,1.0,propagule,1946,0,0,0.6413155190133607,False
1,3,4,0.5,0.0,1.0,propagule,1931,0,0,0.6421543241843605,False
1,3,5,0.5,0.0,1.0,propagule,1912,0,0,0.6464435146443515,False
1,3,6,0.5,0.0,1.0,propagule,1884,0,0,0.6449044585987261,False
1,3,7,0.5,0.0,1.0,propagule,1840,0,0,0.6478260869565218,False
1,3,8,0.5,0.0,1.0,propagule,1825,0,0,0.650958904109589,False
1,3,9,0.5,0.0,1.0,propagule,1798,0,0,0.6512791991101223,False
1,3,10,0.5,0.0,1.0,propagule,1777,0,0,0.6522228474957794,False
