rep,year,week,land_size,maxK,lambda1,lambda2,starting_cases,urbanization,a_mort,j_mort,total_pop,n_infected,n_symptomatic,actual_sero,elim
1,1,1,60,8,0.035,0.02,10,hab_placeholder,0.005,0.015,2638,0,0,0.00265352539802881,True
1,1,2,60,8,0.035,0.02,10,hab_placeholder,0.005,0.015,2619,0,0,0.0057273768613974796,True
1,1,3,60,8,0.035,0.02,10,hab_placeholder,0.005,0.015,2527,0,0,0.006727344677483181,True
1,1,4,60,8,0.035,0.02,10,hab_placeholder,0.005,0.015,2469,0,0,0.00850546780072904,True
1,1,5,60,8,0.035,0.02,10,hab_placeholder,0.005,0.015,2381,0,0,0.01007979840403192,True
1,1,6,60,8,0.035,0.02,10,hab_placeholder,0.005,0.015,2331,0,0,0.01287001287001287,True
1,1,7,60,8,0.035,0.02,10,hab_placeholder,0.005,0.015,2257,0,0,0.014621178555604785,True
1,1,8,60,8,0.035,0.02,10,hab_placeholder,0.005,0.015,2233,0,0,0.017465293327362293,True
1,1,9,60,8,0.035,0.02,10,hab_placeholder,0.005,0.015,2174,0,0,0.018859245630174794,True
1,1,10,60,8,0.035,0.02,10,hab_placeholder,0.005,0.015,2122,0,0,0.020735155513666354,True
1,1,11,60,8,0.035,0.02,10,hab_placeholder,0.005,0.015,2076,0,0,0.02167630057803468,True
1,1,12,60,8,0.035,0.02,10,hab_placeholder,0.005,0.015,2036,0,0,0.023575638506876228,True
1,1,13,60,8,0.035,0.02,10,hab_placeholder,0.005,0.015,1974,0,0,0.02634245187436677,True
1,1,14,60,8,0.035,0.02,10,hab_placeholder,0.005,0.015,1948,0,0,0.027720739219712527,True
1,1,15,60,8,0.035,0.02,10,hab_placeholder,0.005,0.015,1904,0,0,0.029411764705882353,True
1,1,16,60,8,0.035,0.02,10,hab_placeholder,0.005,0.015,1888,0,0,0.03072033898305085,True
1,1,17,60,8,0.035,0.02,10,hab_placeholder,0.005,0.015,1862,0,0,0.03276047261009667,True
1,1,18,60,8,0.035,0.02,10,hab_placeholder,0.005,0.015,5224,0,0,0.013208269525267994,True
1,1,19,60,8,0.035,0.02,10,hab_placeholder,0.005,0.015,5115,0,0,0.014858260019550342,True
1,1,20,60,8,0.035,0.02,10,hab_placeholder,0.005,0.015,5027,0,0,0.0175054704595186,True
1,1,21,60,8,0.035,0.02,10,hab_placeholder,0.005,0.015,4868,0,0,0.01972062448644207,True
1,1,22,60,8,0.035,0.02,10,hab_placeholder,0.005,0.015,4827,0,0,0.022374145431945307,True
1,1,23,60,8,0.035,0.02,10,hab_placeholder,0.005,0.015,4692,0,0,0.024296675191815855,True
1,1,24,60,8,0.035,0.02,10,hab_placeholder,0.005,0.015,4669,0,0,0.024844720496894408,True
1,1,25,60,8,0.035,0.02,10,hab_placeholder,0.005,0.015,4495,0,0,0.026918798665183537,True
1,1,26,60,8,0.035,0.02,10,hab_placeholder,0.005,0.015,4472,0,0,0.02795169946332737,True
1,1,27,60,8,0.035,0.02,10,hab_placeholder,0.005,0.015,4334,0,0,0.02976465159206276,True
1,1,28,60,8,0.035,0.02,10,hab_placeholder,0.005,0.015,4280,0,0,0.032009345794392526,True
1,1,29,60,8,0.035,0.02,10,hab_placeholder,0.005,0.015,4133,0,0,0.034357609484635857,True
1,1,30,60,8,0.035,0.02,10,hab_placeholder,0.005,0.015,4111,0,0,0.034784723911457066,True
1,1,31,60,8,0.035,0.02,10,hab_placeholder,0.005,0.015,3982,0,0,0.03691612255148167,True
1,1,32,60,8,0.035,0.02,10,hab_placeholder,0.005,0.015,3945,0,0,0.0385297845373891,True
1,1,33,60,8,0.035,0.02,10,hab_placeholder,0.005,0.015,3846,0,0,0.041341653666146644,True
1,1,34,60,8,0.035,0.02,10,hab_placeholder,0.005,0.015,3797,0,0,0.04292862786410324,True
1,1,35,60,8,0.035,0.02,10,hab_placeholder,0.005,0.015,3678,0,0,0.04404567699836868,True
