rep,year,week,sero,disease,rate,type,total_pop,n_infected,n_symptomatic,actual_sero,elim
1,1,1,0.0,0.0,1,propagule,3752,0,0,0.0,True
1,1,2,0.0,0.0,1,propagule,3755,0,0,0.0,True
1,1,3,0.0,0.0,1,propagule,3727,0,0,0.0005366246310705661,True
1,1,4,0.0,0.0,1,propagule,3746,0,0,0.000800854244527496,True
1,1,5,0.0,0.0,1,propagule,3834,0,0,0.0010432968179447052,True
1,1,6,0.0,0.0,1,propagule,3815,0,0,0.0010484927916120576,True
1,1,7,0.0,0.0,1,propagule,3788,0,0,0.0013199577613516368,True
1,1,8,0.0,0.0,1,propagule,3751,0,0,0.0010663822980538523,True
1,1,9,0.0,0.0,1,propagule,3726,0,0,0.0013419216317767043,True
1,1,10,0.0,0.0,1,propagule,3715,0,0,0.0010767160161507402,True
1,1,11,0.0,0.0,1,propagule,3694,0,0,0.0013535462912831618,True
1,1,12,0.0,0.0,1,propagule,3676,0,0,0.001088139281828074,True
1,1,13,0.0,0.0,1,propagule,3659,0,0,0.001366493577480186,True
1,1,14,0.0,0.0,1,propagule,3632,0,0,0.0008259911894273128,True
1,1,15,0.0,0.0,1,propagule,3621,0,0,0.0011046672190002762,True
1,1,16,0.0,0.0,1,propagule,3608,0,0,0.0008314855875831486,True
1,1,17,0.0,0.0,1,propagule,3586,0,0,0.0011154489682097045,True
1,1,18,0.0,0.0,1,propagule,10217,0,0,0.00029362826661446606,True
1,1,19,0.0,0.0,1,propagule,10138,0,0,0.0003945551390806865,True
1,1,20,0.0,0.0,1,propagule,9989,0,0,0.0004004404845329863,True
1,1,21,0.0,0.0,1,propagule,9862,0,0,0.00040559724193875484,True
1,1,22,0.0,0.0,1,propagule,9683,0,0,0.00041309511515026334,True
1,1,23,0.0,0.0,1,propagule,9514,0,0,0.00042043304603741857,True
1,1,24,0.0,0.0,1,propagule,9322,0,0,0.00042909246942716153,True
1,1,25,0.0,0.0,1,propagule,9181,0,0,0.00021784119376974185,True
1,1,26,0.0,0.0,1,propagule,9016,0,0,0.00044365572315882877,True
1,1,27,0.0,0.0,1,propagule,8893,0,0,0.0003373439784099854,True
1,1,28,0.0,0.0,1,propagule,8749,0,0,0.00045719510801234427,True
1,1,29,0.0,0.0,1,propagule,8612,0,0,0.00046446818392940084,True
1,1,30,0.0,0.0,1,propagule,8404,0,0,0.00047596382674916705,True
1,1,31,0.0,0.0,1,propagule,8259,0,0,0.0003632401017072285,True
1,1,32,0.0,0.0,1,propagule,8137,0,0,0.0004915816640039326,True
1,1,33,0.0,0.0,1,propagule,7967,0,0,0.00037655328228944395,True
1,1,34,0.0,0.0,1,propagule,7856,0,0,0.0005091649694501018,True
1,1,35,0.0,0.0,1,propagule,7702,0,0,0.00038950921838483513,True
1,1,36,0.0,0.0,1,propagule,7596,0,0,0.0013164823591363876,True
1,1,37,0.0,0.0,1,propagule,7486,0,0,0.0010686615014694097,True
1,1,38,0.0,0.0,1,propagule,7345,0,0,0.0014976174268209667,True
1,1,39,0.0,0.0,1,propagule,7242,0,0,0.0015189174261253798,True
1,1,40,0.0,0.0,1,propagule,7114,0,0,0.0015462468372223785,True
1,1,41,0.0,0.0,1,propagule,7011,0,0,0.0012836970474967907,True
1,1,42,0.0,0.0,1,propagule,6880,0,0,0.0014534883720930232,True
1,1,43,0.0,0.0,1,propagule,6748,0,0,0.003260225251926497,True
1,1,44,0.0,0.0,1,propagule,6692,0,0,0.0014943215780035865,True
1,1,45,0.0,0.0,1,propagule,6557,0,0,0.0016775964617965532,True
1,1,46,0.0,0.0,1,propagule,6442,0,0,0.001552312946289972,True
1,1,47,0.0,0.0,1,propagule,6326,0,0,0.001264622194119507,True
1,1,48,0.0,0.0,1,propagule,6266,0,0,0.0017555059048834983,True
1,1,49,0.0,0.0,1,propagule,6187,0,0,0.0012930337805075157,True
1,1,50,0.0,0.0,1,propagule,6138,0,0,0.0016291951775822744,True
1,1,51,0.0,0.0,1,propagule,6072,0,0,0.0013175230566534915,True
1,1,52,0.0,0.0,1,propagule,6017,0,0,0.0018281535648994515,True
1,2,1,0.0,0.0,1,propagule,5941,0,0,0.0013465746507322,True
1,2,2,0.0,0.0,1,propagule,5907,0,0,0.00186219739292365,True
1,2,3,0.0,0.0,1,propagule,5837,0,0,0.0013705670721260923,True
1,2,4,0.0,0.0,1,propagule,5798,0,0,0.0018972059330803726,True
1,2,5,0.0,0.0,1,propagule,5733,0,0,0.0013954299668585382,True
1,2,6,0.0,0.0,1,propagule,5699,0,0,0.002105632567117038,True
1,2,7,0.0,0.0,1,propagule,5627,0,0,0.0015994313133108227,True
1,2,8,0.0,0.0,1,propagule,5556,0,0,0.0021598272138228943,True
1,2,9,0.0,0.0,1,propagule,5500,0,0,0.0018181818181818182,True
1,2,10,0.0,0.0,1,propagule,5452,0,0,0.002384446074834923,True
1,2,11,0.0,0.0,1,propagule,5387,0,0,0.0020419528494523853,True
1,2,12,0.0,0.0,1,propagule,5350,0,0,0.002429906542056075,True
1,2,13,0.0,0.0,1,propagule,5285,0,0,0.0017029328287606433,True
1,2,14,0.0,0.0,1,propagule,5240,0,0,0.002480916030534351,True
1,2,15,0.0,0.0,1,propagule,5177,0,0,0.002124782692679158,True
1,2,16,0.0,0.0,1,propagule,5144,0,0,0.0027216174183514776,True
1,2,17,0.0,0.0,1,propagule,5081,0,0,0.00196811651249754,True
1,2,18,0.0,0.0,1,propagule,9091,0,0,0.0014299857001429986,True
1,2,19,0.0,0.0,1,propagule,8924,0,0,0.0011205737337516809,True
1,2,20,0.0,0.0,1,propagule,8755,0,0,0.0012564249000571101,True
1,2,21,0.0,0.0,1,propagule,8619,0,0,0.0012762501450284255,True
1,2,22,0.0,0.0,1,propagule,8510,0,0,0.0011750881316098707,True
1,2,23,0.0,0.0,1,propagule,8382,0,0,0.0011930326890956812,True
1,2,24,0.0,0.0,1,propagule,8233,0,0,0.0010931616664642293,True
1,2,25,0.0,0.0,1,propagule,8070,0,0,0.0009913258983890955,True
1,2,26,0.0,0.0,1,propagule,7986,0,0,0.0010017530678687703,True
1,2,27,0.0,0.0,1,propagule,7862,0,0,0.0010175527855507504,True
1,2,28,0.0,0.0,1,propagule,7746,0,0,0.0010327911179963851,True
1,2,29,0.0,0.0,1,propagule,7619,0,0,0.001050006562541016,True
1,2,30,0.0,0.0,1,propagule,7529,0,0,0.0010625581086465667,True
1,2,31,0.0,0.0,1,propagule,7408,0,0,0.0010799136069114472,True
1,2,32,0.0,0.0,1,propagule,7281,0,0,0.0010987501716797144,True
1,2,33,0.0,0.0,1,propagule,7180,0,0,0.0011142061281337048,True
1,2,34,0.0,0.0,1,propagule,7061,0,0,0.001132983996601048,True
1,2,35,0.0,0.0,1,propagule,6950,0,0,0.0011510791366906475,True
1,2,36,0.0,0.0,1,propagule,6851,0,0,0.0018975332068311196,True
1,2,37,0.0,0.0,1,propagule,6754,0,0,0.0011844832691738228,True
1,2,38,0.0,0.0,1,propagule,6682,0,0,0.0019455252918287938,True
1,2,39,0.0,0.0,1,propagule,6580,0,0,0.0013677811550151975,True
1,2,40,0.0,0.0,1,propagule,6504,0,0,0.001998769987699877,True
1,2,41,0.0,0.0,1,propagule,6400,0,0,0.00140625,True
1,2,42,0.0,0.0,1,propagule,6282,0,0,0.0020694046482012097,True
1,2,43,0.0,0.0,1,propagule,6119,0,0,0.0026148063409053767,True
1,2,44,0.0,0.0,1,propagule,6126,0,0,0.0019588638589618022,True
1,2,45,0.0,0.0,1,propagule,6051,0,0,0.001487357461576599,True
1,2,46,0.0,0.0,1,propagule,5994,0,0,0.0018351685018351686,True
1,2,47,0.0,0.0,1,propagule,5903,0,0,0.0015246484838217856,True
1,2,48,0.0,0.0,1,propagule,5864,0,0,0.0018758526603001365,True
1,2,49,0.0,0.0,1,propagule,5790,0,0,0.0015544041450777201,True
1,2,50,0.0,0.0,1,propagule,5748,0,0,0.0019137091162143354,True
1,2,51,0.0,0.0,1,propagule,5688,0,0,0.0015822784810126582,True
1,2,52,0.0,0.0,1,propagule,5642,0,0,0.0021269053527118043,True
1,3,1,0.0,0.0,1,propagule,5581,0,0,0.001612614226841068,True
1,3,2,0.0,0.0,1,propagule,5539,0,0,0.002166456038996209,True
1,3,3,0.0,0.0,1,propagule,5498,0,0,0.0018188432157148053,True
1,3,4,0.0,0.0,1,propagule,5456,0,0,0.0021994134897360706,True
1,3,5,0.0,0.0,1,propagule,5406,0,0,0.0020347761746207916,True
1,3,6,0.0,0.0,1,propagule,5355,0,0,0.002054154995331466,True
1,3,7,0.0,0.0,1,propagule,5296,0,0,0.0020770392749244714,True
1,3,8,0.0,0.0,1,propagule,5238,0,0,0.002290950744558992,True
1,3,9,0.0,0.0,1,propagule,5185,0,0,0.0021215043394406945,True
1,3,10,0.0,0.0,1,propagule,5139,0,0,0.002335084646818447,True
1,3,11,0.0,0.0,1,propagule,5075,0,0,0.0023645320197044333,True
1,3,12,0.0,0.0,1,propagule,5017,0,0,0.002391867649990034,True
1,3,13,0.0,0.0,1,propagule,4974,0,0,0.0028146361077603537,True
1,3,14,0.0,0.0,1,propagule,4933,0,0,0.0028380295965943643,True
1,3,15,0.0,0.0,1,propagule,4873,0,0,0.002872973527601067,True
1,3,16,0.0,0.0,1,propagule,4818,0,0,0.0029057700290577005,True
1,3,17,0.0,0.0,1,propagule,4767,0,0,0.002936857562408223,True
1,3,18,0.0,0.0,1,propagule,10406,0,0,0.0014414760714972132,True
1,3,19,0.0,0.0,1,propagule,10248,0,0,0.0014637002341920376,True
