rep,year,week,sero,disease,rate,type,total_pop,n_infected,n_symptomatic,actual_sero,elim
1,1,1,0.0,0.0,1,propagule,3687,0,0,0.0,True
1,1,2,0.0,0.0,1,propagule,3685,0,0,0.000271370420624152,True
1,1,3,0.0,0.0,1,propagule,3668,0,0,0.0005452562704471102,True
1,1,4,0.0,0.0,1,propagule,3672,0,0,0.0010893246187363835,True
1,1,5,0.0,0.0,1,propagule,3771,0,0,0.0026518164942985947,True
1,1,6,0.0,0.0,1,propagule,3759,0,0,0.003458366586858207,True
1,1,7,0.0,0.0,1,propagule,3746,0,0,0.0034703683929524828,True
1,1,8,0.0,0.0,1,propagule,3719,0,0,0.0034955633234740524,True
1,1,9,0.0,0.0,1,propagule,3698,0,0,0.003515413737155219,True
1,1,10,0.0,0.0,1,propagule,3673,0,0,0.0035393411380343046,True
1,1,11,0.0,0.0,1,propagule,3659,0,0,0.003552883301448483,True
1,1,12,0.0,0.0,1,propagule,3635,0,0,0.003576341127922971,True
1,1,13,0.0,0.0,1,propagule,3618,0,0,0.0035931453841901604,True
1,1,14,0.0,0.0,1,propagule,3599,0,0,0.003612114476243401,True
1,1,15,0.0,0.0,1,propagule,3588,0,0,0.0036231884057971015,True
1,1,16,0.0,0.0,1,propagule,3566,0,0,0.0036455412226584407,True
1,1,17,0.0,0.0,1,propagule,3550,0,0,0.0036619718309859155,True
1,1,18,0.0,0.0,1,propagule,10168,0,0,0.0012785208497246264,True
1,1,19,0.0,0.0,1,propagule,9936,0,0,0.0013083735909822866,True
1,1,20,0.0,0.0,1,propagule,9716,0,0,0.0013379991766158913,True
1,1,21,0.0,0.0,1,propagule,9525,0,0,0.0013648293963254593,True
1,1,22,0.0,0.0,1,propagule,9317,0,0,0.001395298915960073,True
1,1,23,0.0,0.0,1,propagule,9061,0,0,0.0014347202295552368,True
1,1,24,0.0,0.0,1,propagule,8985,0,0,0.0014468558708959378,True
1,1,25,0.0,0.0,1,propagule,8725,0,0,0.001489971346704871,True
1,1,26,0.0,0.0,1,propagule,8603,0,0,0.0015111007787980938,True
1,1,27,0.0,0.0,1,propagule,8399,0,0,0.0015478033099178474,True
1,1,28,0.0,0.0,1,propagule,8248,0,0,0.0015761396702230843,True
1,1,29,0.0,0.0,1,propagule,8084,0,0,0.0016081147946561108,True
1,1,30,0.0,0.0,1,propagule,7940,0,0,0.00163727959697733,True
1,1,31,0.0,0.0,1,propagule,7797,0,0,0.0016673079389508785,True
1,1,32,0.0,0.0,1,propagule,7621,0,0,0.0017058128854481039,True
1,1,33,0.0,0.0,1,propagule,7507,0,0,0.0017317170640735314,True
1,1,34,0.0,0.0,1,propagule,7361,0,0,0.0016302132862382828,True
1,1,35,0.0,0.0,1,propagule,7273,0,0,0.0017874329712635776,True
1,1,36,0.0,0.0,1,propagule,7132,0,0,0.0037857543466068423,True
1,1,37,0.0,0.0,1,propagule,7044,0,0,0.002271436683702442,True
1,1,38,0.0,0.0,1,propagule,6909,0,0,0.0036184686640613694,True
1,1,39,0.0,0.0,1,propagule,6839,0,0,0.0024857435297558125,True
1,1,40,0.0,0.0,1,propagule,6692,0,0,0.002988643156007173,True
1,1,41,0.0,0.0,1,propagule,6581,0,0,0.002583194043458441,True
1,1,42,0.0,0.0,1,propagule,6483,0,0,0.00308499151627333,True
1,1,43,0.0,0.0,1,propagule,6295,0,0,0.0041302621127879266,True
1,1,44,0.0,0.0,1,propagule,6312,0,0,0.0030101394169835234,True
1,1,45,0.0,0.0,1,propagule,6237,0,0,0.002244668911335578,True
1,1,46,0.0,0.0,1,propagule,6122,0,0,0.00277687030382228,True
1,1,47,0.0,0.0,1,propagule,6001,0,0,0.0023329445092484585,True
1,1,48,0.0,0.0,1,propagule,5893,0,0,0.0025453928389614798,True
1,1,49,0.0,0.0,1,propagule,5857,0,0,0.002390302202492744,True
1,1,50,0.0,0.0,1,propagule,5751,0,0,0.002434359241870979,True
1,1,51,0.0,0.0,1,propagule,5694,0,0,0.0024587284861257463,True
1,1,52,0.0,0.0,1,propagule,5593,0,0,0.0026819238333631325,True
1,2,1,0.0,0.0,1,propagule,5557,0,0,0.002699298182472557,True
1,2,2,0.0,0.0,1,propagule,5459,0,0,0.0025645722659827807,True
1,2,3,0.0,0.0,1,propagule,5409,0,0,0.002958032908116103,True
1,2,4,0.0,0.0,1,propagule,5326,0,0,0.002816372512204281,True
1,2,5,0.0,0.0,1,propagule,5263,0,0,0.003230096902907087,True
1,2,6,0.0,0.0,1,propagule,5189,0,0,0.0032761611100404703,True
1,2,7,0.0,0.0,1,propagule,5160,0,0,0.0031007751937984496,True
1,2,8,0.0,0.0,1,propagule,5084,0,0,0.0027537372147915028,True
1,2,9,0.0,0.0,1,propagule,5027,0,0,0.0027849612094688683,True
1,2,10,0.0,0.0,1,propagule,4947,0,0,0.0026278552658176675,True
1,2,11,0.0,0.0,1,propagule,4896,0,0,0.0028594771241830064,True
1,2,12,0.0,0.0,1,propagule,4831,0,0,0.00310494721589733,True
1,2,13,0.0,0.0,1,propagule,4792,0,0,0.002921535893155259,True
1,2,14,0.0,0.0,1,propagule,4733,0,0,0.003169237270230298,True
1,2,15,0.0,0.0,1,propagule,4680,0,0,0.003418803418803419,True
1,2,16,0.0,0.0,1,propagule,4617,0,0,0.003248862897985705,True
1,2,17,0.0,0.0,1,propagule,4575,0,0,0.003715846994535519,True
1,2,18,0.0,0.0,1,propagule,8230,0,0,0.0020656136087484813,True
1,2,19,0.0,0.0,1,propagule,8105,0,0,0.0020974706971005554,True
1,2,20,0.0,0.0,1,propagule,7926,0,0,0.002271006813020439,True
1,2,21,0.0,0.0,1,propagule,7791,0,0,0.0020536516493389807,True
1,2,22,0.0,0.0,1,propagule,7661,0,0,0.0020885001957968935,True
1,2,23,0.0,0.0,1,propagule,7468,0,0,0.0021424745581146223,True
1,2,24,0.0,0.0,1,propagule,7382,0,0,0.002302898943375779,True
1,2,25,0.0,0.0,1,propagule,7191,0,0,0.002225003476567932,True
1,2,26,0.0,0.0,1,propagule,6998,0,0,0.002429265504429837,True
1,2,27,0.0,0.0,1,propagule,6847,0,0,0.0023367898349642177,True
1,2,28,0.0,0.0,1,propagule,6740,0,0,0.002225519287833828,True
1,2,29,0.0,0.0,1,propagule,6593,0,0,0.0024268163203397543,True
1,2,30,0.0,0.0,1,propagule,6477,0,0,0.002315886984715146,True
1,2,31,0.0,0.0,1,propagule,6371,0,0,0.0025113796892167633,True
1,2,32,0.0,0.0,1,propagule,6270,0,0,0.0023923444976076554,True
1,2,33,0.0,0.0,1,propagule,6184,0,0,0.00258732212160414,True
1,2,34,0.0,0.0,1,propagule,6103,0,0,0.002621661477961658,True
1,2,35,0.0,0.0,1,propagule,5999,0,0,0.0028338056342723785,True
1,2,36,0.0,0.0,1,propagule,5915,0,0,0.003043110735418428,True
1,2,37,0.0,0.0,1,propagule,5836,0,0,0.003427004797806717,True
1,2,38,0.0,0.0,1,propagule,5747,0,0,0.003306072733600139,True
1,2,39,0.0,0.0,1,propagule,5670,0,0,0.0031746031746031746,True
1,2,40,0.0,0.0,1,propagule,5586,0,0,0.0026852846401718583,True
1,2,41,0.0,0.0,1,propagule,5528,0,0,0.002894356005788712,True
1,2,42,0.0,0.0,1,propagule,5433,0,0,0.0025768452052273147,True
1,2,43,0.0,0.0,1,propagule,5318,0,0,0.00376081233546446,True
1,2,44,0.0,0.0,1,propagule,5243,0,0,0.002860957467098989,True
1,2,45,0.0,0.0,1,propagule,5177,0,0,0.003283755070504153,True
1,2,46,0.0,0.0,1,propagule,5062,0,0,0.002765705254839984,True
1,2,47,0.0,0.0,1,propagule,5007,0,0,0.003395246654683443,True
1,2,48,0.0,0.0,1,propagule,4940,0,0,0.002834008097165992,True
1,2,49,0.0,0.0,1,propagule,4880,0,0,0.004098360655737705,True
1,2,50,0.0,0.0,1,propagule,4824,0,0,0.002902155887230514,True
1,2,51,0.0,0.0,1,propagule,4793,0,0,0.0039641143334028794,True
1,2,52,0.0,0.0,1,propagule,4737,0,0,0.0031665611146295125,True
