"","X","rep","year","week","sero","disease","rate","type","total_pop","n_infected","n_symptomatic","actual_sero","elim"
"1",1,1,1,1,0.1,0.03,1.5,"propagule",2786,0,0,0.101938262742283,"True"
"2",2,1,1,2,0.1,0.03,1.5,"propagule",2744,0,0,0.103134110787172,"True"
"3",3,1,1,3,0.1,0.03,1.5,"propagule",2686,0,0,0.104988830975428,"True"
"4",4,1,1,4,0.1,0.03,1.5,"propagule",2676,0,0,0.105007473841555,"True"
"5",5,1,1,5,0.1,0.03,1.5,"propagule",2633,0,0,0.108621344473984,"True"
"6",6,1,1,6,0.1,0.03,1.5,"propagule",2606,0,0,0.109746738296239,"True"
"7",7,1,1,7,0.1,0.03,1.5,"propagule",2557,0,0,0.111067657411029,"True"
"8",8,1,1,8,0.1,0.03,1.5,"propagule",2535,0,0,0.113609467455621,"True"
"9",9,1,1,9,0.1,0.03,1.5,"propagule",2515,0,0,0.114512922465209,"True"
"10",10,1,1,10,0.1,0.03,1.5,"propagule",2487,0,0,0.1145958986731,"True"
"11",11,1,1,11,0.1,0.03,1.5,"propagule",2463,0,0,0.114088509947219,"True"
"12",12,1,1,12,0.1,0.03,1.5,"propagule",2434,0,0,0.117502054231717,"True"
"13",13,1,1,13,0.1,0.03,1.5,"propagule",2427,0,0,0.119489081170169,"True"
"14",14,1,1,14,0.1,0.03,1.5,"propagule",2413,0,0,0.120182345627849,"True"
"15",15,1,1,15,0.1,0.03,1.5,"propagule",2396,0,0,0.121452420701169,"True"
"16",16,1,1,16,0.1,0.03,1.5,"propagule",2376,0,0,0.122895622895623,"True"
"17",17,1,1,17,0.1,0.03,1.5,"propagule",2357,0,0,0.126007636826474,"True"
"18",18,1,1,18,0.1,0.03,1.5,"propagule",6959,0,0,0.0444029314556689,"True"
"19",19,1,1,19,0.1,0.03,1.5,"propagule",6871,0,0,0.0474457866394993,"True"
"20",20,1,1,20,0.1,0.03,1.5,"propagule",6724,0,0,0.0496728138013087,"True"
"21",21,1,1,21,0.1,0.03,1.5,"propagule",6578,0,0,0.0535117056856187,"True"
"22",22,1,1,22,0.1,0.03,1.5,"propagule",6446,0,0,0.0552280484021098,"True"
"23",23,1,1,23,0.1,0.03,1.5,"propagule",6325,0,0,0.0572332015810277,"True"
"24",24,1,1,24,0.1,0.03,1.5,"propagule",6176,0,0,0.0586139896373057,"True"
"25",25,1,1,25,0.1,0.03,1.5,"propagule",6052,0,0,0.0609715796430932,"True"
"26",26,1,1,26,0.1,0.03,1.5,"propagule",5905,0,0,0.0626587637595258,"True"
"27",27,1,1,27,0.1,0.03,1.5,"propagule",5809,0,0,0.0647271475296953,"True"
"28",28,1,1,28,0.1,0.03,1.5,"propagule",5707,0,0,0.066234448922376,"True"
"29",29,1,1,29,0.1,0.03,1.5,"propagule",5609,0,0,0.0681048315207702,"True"
"30",30,1,1,30,0.1,0.03,1.5,"propagule",5502,0,0,0.0705198109778262,"True"
"31",31,1,1,31,0.1,0.03,1.5,"propagule",5393,0,0,0.0739847951047654,"True"
"32",32,1,1,32,0.1,0.03,1.5,"propagule",5290,0,0,0.0758034026465028,"True"
"33",33,1,1,33,0.1,0.03,1.5,"propagule",5164,0,0,0.0778466305189775,"True"
"34",34,1,1,34,0.1,0.03,1.5,"propagule",5078,0,0,0.0801496652225286,"True"
"35",35,1,1,35,0.1,0.03,1.5,"propagule",4956,0,0,0.137610976594027,"True"
"36",36,1,1,36,0.1,0.03,1.5,"propagule",4881,0,0,0.139725466093014,"True"
"37",37,1,1,37,0.1,0.03,1.5,"propagule",4776,0,0,0.14321608040201,"True"
"38",38,1,1,38,0.1,0.03,1.5,"propagule",4731,0,0,0.146692031283027,"True"
"39",39,1,1,39,0.1,0.03,1.5,"propagule",4689,0,0,0.148645766687993,"True"
"40",40,1,1,40,0.1,0.03,1.5,"propagule",4630,0,0,0.151187904967603,"True"
"41",41,1,1,41,0.1,0.03,1.5,"propagule",4684,0,0,0.161400512382579,"True"
"42",42,1,1,42,0.1,0.03,1.5,"propagule",4660,0,0,0.16480686695279,"True"
"43",43,1,1,43,0.1,0.03,1.5,"propagule",4643,0,0,0.165625673056214,"True"
"44",44,1,1,44,0.1,0.03,1.5,"propagule",4627,0,0,0.172033715150205,"True"
"45",45,1,1,45,0.1,0.03,1.5,"propagule",4604,0,0,0.173110338835795,"True"
"46",46,1,1,46,0.1,0.03,1.5,"propagule",4497,0,0,0.168779186124083,"True"
"47",47,1,1,47,0.1,0.03,1.5,"propagule",4454,0,0,0.169735069600359,"True"
"48",48,1,1,48,0.1,0.03,1.5,"propagule",4407,0,0,0.170410710233719,"True"
"49",49,1,1,49,0.1,0.03,1.5,"propagule",4352,0,0,0.170955882352941,"True"
"50",50,1,1,50,0.1,0.03,1.5,"propagule",4297,0,0,0.173842215499185,"True"
"51",51,1,1,51,0.1,0.03,1.5,"propagule",4251,0,0,0.173841449070807,"True"
"52",52,1,1,52,0.1,0.03,1.5,"propagule",4206,0,0,0.17546362339515,"True"
"53",53,1,2,1,0.1,0.03,1.5,"propagule",4144,10,0,0.176640926640927,"False"
"54",54,1,2,2,0.1,0.03,1.5,"propagule",4097,10,0,0.179643641689041,"False"
"55",55,1,2,3,0.1,0.03,1.5,"propagule",4044,10,1,0.181256181998022,"False"
"56",56,1,2,4,0.1,0.03,1.5,"propagule",3997,11,4,0.184138103577683,"False"
"57",57,1,2,5,0.1,0.03,1.5,"propagule",3956,13,7,0.18427704752275,"False"
"58",58,1,2,6,0.1,0.03,1.5,"propagule",3899,13,6,0.186971018209797,"False"
"59",59,1,2,7,0.1,0.03,1.5,"propagule",3848,11,5,0.189449064449064,"False"
"60",60,1,2,8,0.1,0.03,1.5,"propagule",3801,15,4,0.191002367797948,"False"
"61",61,1,2,9,0.1,0.03,1.5,"propagule",3746,13,2,0.193539775760812,"False"
"62",62,1,2,10,0.1,0.03,1.5,"propagule",3680,13,6,0.194836956521739,"False"
"63",63,1,2,11,0.1,0.03,1.5,"propagule",3618,14,8,0.195688225538972,"False"
"64",64,1,2,12,0.1,0.03,1.5,"propagule",3576,12,6,0.197706935123042,"False"
"65",65,1,2,13,0.1,0.03,1.5,"propagule",3535,9,2,0.198585572842999,"False"
"66",66,1,2,14,0.1,0.03,1.5,"propagule",3500,7,2,0.199428571428571,"False"
"67",67,1,2,15,0.1,0.03,1.5,"propagule",3459,12,5,0.200925122867881,"False"
"68",68,1,2,16,0.1,0.03,1.5,"propagule",3411,13,5,0.202286719437115,"False"
"69",69,1,2,17,0.1,0.03,1.5,"propagule",3372,11,3,0.204626334519573,"False"
"70",70,1,2,18,0.1,0.03,1.5,"propagule",5936,12,2,0.116913746630728,"False"
"71",71,1,2,19,0.1,0.03,1.5,"propagule",5862,12,3,0.11856021835551,"False"
"72",72,1,2,20,0.1,0.03,1.5,"propagule",5768,16,5,0.121879334257975,"False"
"73",73,1,2,21,0.1,0.03,1.5,"propagule",5666,20,5,0.124426403106248,"False"
"74",74,1,2,22,0.1,0.03,1.5,"propagule",5560,16,8,0.126438848920863,"False"
"75",75,1,2,23,0.1,0.03,1.5,"propagule",5441,20,9,0.129020400661643,"False"
"76",76,1,2,24,0.1,0.03,1.5,"propagule",5330,26,5,0.132082551594747,"False"
"77",77,1,2,25,0.1,0.03,1.5,"propagule",5217,28,8,0.134560092006901,"False"
"78",78,1,2,26,0.1,0.03,1.5,"propagule",5133,44,12,0.1371517631015,"False"
"79",79,1,2,27,0.1,0.03,1.5,"propagule",5030,39,13,0.140357852882704,"False"
"80",80,1,2,28,0.1,0.03,1.5,"propagule",4894,40,22,0.142827952595014,"False"
"81",81,1,2,29,0.1,0.03,1.5,"propagule",4784,38,17,0.14569397993311,"False"
"82",82,1,2,30,0.1,0.03,1.5,"propagule",4679,31,8,0.147894849326779,"False"
"83",83,1,2,31,0.1,0.03,1.5,"propagule",4608,31,12,0.149305555555556,"False"
"84",84,1,2,32,0.1,0.03,1.5,"propagule",4509,29,11,0.15014415613218,"False"
"85",85,1,2,33,0.1,0.03,1.5,"propagule",4410,23,10,0.153514739229025,"False"
"86",86,1,2,34,0.1,0.03,1.5,"propagule",4332,27,13,0.156509695290859,"False"
"87",87,1,2,35,0.1,0.03,1.5,"propagule",4264,22,7,0.220684803001876,"False"
"88",88,1,2,36,0.1,0.03,1.5,"propagule",4153,17,3,0.225379243920058,"False"
"89",89,1,2,37,0.1,0.03,1.5,"propagule",4086,16,5,0.226627508565835,"False"
"90",90,1,2,38,0.1,0.03,1.5,"propagule",4036,18,9,0.22794846382557,"False"
"91",91,1,2,39,0.1,0.03,1.5,"propagule",3997,17,11,0.229672254190643,"False"
"92",92,1,2,40,0.1,0.03,1.5,"propagule",3952,18,7,0.231781376518219,"False"
"93",93,1,2,41,0.1,0.03,1.5,"propagule",4093,19,5,0.252382115807476,"False"
"94",94,1,2,42,0.1,0.03,1.5,"propagule",4066,20,6,0.254549926217413,"False"
"95",95,1,2,43,0.1,0.03,1.5,"propagule",4009,23,8,0.256921925667249,"False"
"96",96,1,2,44,0.1,0.03,1.5,"propagule",3992,22,8,0.261773547094188,"False"
"97",97,1,2,45,0.1,0.03,1.5,"propagule",3994,25,10,0.265898848272409,"False"
"98",98,1,2,46,0.1,0.03,1.5,"propagule",3859,24,10,0.259134490800726,"False"
"99",99,1,2,47,0.1,0.03,1.5,"propagule",3829,21,10,0.258291982240794,"False"
"100",100,1,2,48,0.1,0.03,1.5,"propagule",3784,19,7,0.260042283298097,"False"
"101",101,1,2,49,0.1,0.03,1.5,"propagule",3751,17,7,0.262596640895761,"False"
"102",102,1,2,50,0.1,0.03,1.5,"propagule",3734,21,8,0.26486341724692,"False"
"103",103,1,2,51,0.1,0.03,1.5,"propagule",3690,17,3,0.266937669376694,"False"
"104",104,1,2,52,0.1,0.03,1.5,"propagule",3666,15,5,0.269503546099291,"False"
"105",105,1,3,1,0.1,0.03,1.5,"propagule",3636,17,8,0.271177117711771,"False"
"106",106,1,3,2,0.1,0.03,1.5,"propagule",3605,17,9,0.274063800277393,"False"
"107",107,1,3,3,0.1,0.03,1.5,"propagule",3573,15,8,0.275958578225581,"False"
"108",108,1,3,4,0.1,0.03,1.5,"propagule",3548,15,7,0.278184892897407,"False"
"109",109,1,3,5,0.1,0.03,1.5,"propagule",3526,15,6,0.27793533749291,"False"
"110",110,1,3,6,0.1,0.03,1.5,"propagule",3492,14,4,0.282646048109966,"False"
"111",111,1,3,7,0.1,0.03,1.5,"propagule",3464,12,2,0.285219399538106,"False"
"112",112,1,3,8,0.1,0.03,1.5,"propagule",3437,13,4,0.285423334303171,"False"
"113",113,1,3,9,0.1,0.03,1.5,"propagule",3394,14,6,0.285798467884502,"False"
"114",114,1,3,10,0.1,0.03,1.5,"propagule",3356,13,6,0.288140643623361,"False"
"115",115,1,3,11,0.1,0.03,1.5,"propagule",3312,12,5,0.291364734299517,"False"
"116",116,1,3,12,0.1,0.03,1.5,"propagule",3272,12,2,0.292176039119804,"False"
"117",117,1,3,13,0.1,0.03,1.5,"propagule",3233,13,5,0.294463346736777,"False"
"118",118,1,3,14,0.1,0.03,1.5,"propagule",3212,16,7,0.296077210460772,"False"
"119",119,1,3,15,0.1,0.03,1.5,"propagule",3182,14,5,0.297925832809554,"False"
"120",120,1,3,16,0.1,0.03,1.5,"propagule",3152,13,6,0.299175126903553,"False"
"121",121,1,3,17,0.1,0.03,1.5,"propagule",3116,15,4,0.303915275994865,"False"
"122",122,1,3,18,0.1,0.03,1.5,"propagule",6937,11,3,0.136514343376099,"False"
"123",123,1,3,19,0.1,0.03,1.5,"propagule",6861,20,4,0.139046786182772,"False"
"124",124,1,3,20,0.1,0.03,1.5,"propagule",6705,22,9,0.141685309470544,"False"
"125",125,1,3,21,0.1,0.03,1.5,"propagule",6544,23,10,0.143795843520782,"False"
"126",126,1,3,22,0.1,0.03,1.5,"propagule",6396,19,5,0.146028767979987,"False"
