"","rep","year","week","sero","disease","rate","type","total_pop","n_infected","n_symptomatic","actual_sero","elim"
"1",1,1,1,0.1,0,1,"propagule",2711,0,0,0.101438583548506,"True"
"2",1,1,2,0.1,0,1,"propagule",2684,0,0,0.103204172876304,"True"
"3",1,1,3,0.1,0,1,"propagule",2602,0,0,0.108378170637971,"True"
"4",1,1,4,0.1,0,1,"propagule",2528,0,0,0.108386075949367,"True"
"5",1,1,5,0.1,0,1,"propagule",2481,0,0,0.110036275695284,"True"
"6",1,1,6,0.1,0,1,"propagule",2411,0,0,0.11157196184156,"True"
"7",1,1,7,0.1,0,1,"propagule",2356,0,0,0.112478777589134,"True"
"8",1,1,8,0.1,0,1,"propagule",2298,0,0,0.11053089643168,"True"
"9",1,1,9,0.1,0,1,"propagule",2218,0,0,0.112714156898106,"True"
"10",1,1,10,0.1,0,1,"propagule",2184,0,0,0.113553113553114,"True"
"11",1,1,11,0.1,0,1,"propagule",2086,0,0,0.11313518696069,"True"
"12",1,1,12,0.1,0,1,"propagule",2068,0,0,0.116537717601547,"True"
"13",1,1,13,0.1,0,1,"propagule",1992,0,0,0.117971887550201,"True"
"14",1,1,14,0.1,0,1,"propagule",1969,0,0,0.120873539867953,"True"
"15",1,1,15,0.1,0,1,"propagule",1910,0,0,0.123560209424084,"True"
"16",1,1,16,0.1,0,1,"propagule",1896,0,0,0.125,"True"
"17",1,1,17,0.1,0,1,"propagule",1871,0,0,0.129877071084981,"True"
"18",1,1,18,0.1,0,1,"propagule",5472,0,0,0.045687134502924,"True"
"19",1,1,19,0.1,0,1,"propagule",5373,0,0,0.0482039828773497,"True"
"20",1,1,20,0.1,0,1,"propagule",5316,0,0,0.0507900677200903,"True"
"21",1,1,21,0.1,0,1,"propagule",5219,0,0,0.0519256562559877,"True"
"22",1,1,22,0.1,0,1,"propagule",5155,0,0,0.0541222114451988,"True"
"23",1,1,23,0.1,0,1,"propagule",5022,0,0,0.0551573078454799,"True"
"24",1,1,24,0.1,0,1,"propagule",4905,0,0,0.0574923547400612,"True"
"25",1,1,25,0.1,0,1,"propagule",4782,0,0,0.0604349644500209,"True"
"26",1,1,26,0.1,0,1,"propagule",4718,0,0,0.0621025858414582,"True"
"27",1,1,27,0.1,0,1,"propagule",4590,0,0,0.0633986928104575,"True"
"28",1,1,28,0.1,0,1,"propagule",4507,0,0,0.0643443532283115,"True"
"29",1,1,29,0.1,0,1,"propagule",4397,0,0,0.0670911985444621,"True"
"30",1,1,30,0.1,0,1,"propagule",4300,0,0,0.0681395348837209,"True"
"31",1,1,31,0.1,0,1,"propagule",4197,0,0,0.0700500357398142,"True"
"32",1,1,32,0.1,0,1,"propagule",4089,0,0,0.0706774272438249,"True"
"33",1,1,33,0.1,0,1,"propagule",3999,0,0,0.0732683170792698,"True"
"34",1,1,34,0.1,0,1,"propagule",3945,0,0,0.0740177439797212,"True"
"35",1,1,35,0.1,0,1,"propagule",3875,0,0,0.136516129032258,"True"
"36",1,1,36,0.1,0,1,"propagule",3799,0,0,0.138457488812845,"True"
"37",1,1,37,0.1,0,1,"propagule",3728,0,0,0.140021459227468,"True"
"38",1,1,38,0.1,0,1,"propagule",3702,0,0,0.14235548352242,"True"
"39",1,1,39,0.1,0,1,"propagule",3653,0,0,0.144538735286066,"True"
"40",1,1,40,0.1,0,1,"propagule",3616,0,0,0.148230088495575,"True"
"41",1,1,41,0.1,0,1,"propagule",3752,0,0,0.167910447761194,"True"
"42",1,1,42,0.1,0,1,"propagule",3778,0,0,0.174430915828481,"True"
"43",1,1,43,0.1,0,1,"propagule",3758,0,0,0.175625332623736,"True"
"44",1,1,44,0.1,0,1,"propagule",3747,0,0,0.177475313584201,"True"
"45",1,1,45,0.1,0,1,"propagule",3759,0,0,0.183825485501463,"True"
"46",1,1,46,0.1,0,1,"propagule",3620,0,0,0.176243093922652,"True"
"47",1,1,47,0.1,0,1,"propagule",3563,0,0,0.17597530171204,"True"
"48",1,1,48,0.1,0,1,"propagule",3537,0,0,0.17726887192536,"True"
"49",1,1,49,0.1,0,1,"propagule",3500,0,0,0.179714285714286,"True"
"50",1,1,50,0.1,0,1,"propagule",3467,0,0,0.181136429189501,"True"
"51",1,1,51,0.1,0,1,"propagule",3430,0,0,0.181924198250729,"True"
"52",1,1,52,0.1,0,1,"propagule",3397,0,0,0.183691492493377,"True"
"53",1,2,1,0.1,0,1,"propagule",3371,6,0,0.185404924354791,"False"
"54",1,2,2,0.1,0,1,"propagule",3341,6,0,0.186471116432206,"False"
"55",1,2,3,0.1,0,1,"propagule",3308,6,1,0.188029020556227,"False"
"56",1,2,4,0.1,0,1,"propagule",3272,6,3,0.190709046454768,"False"
"57",1,2,5,0.1,0,1,"propagule",3216,5,4,0.192164179104478,"False"
"58",1,2,6,0.1,0,1,"propagule",3197,4,3,0.196121363778542,"False"
"59",1,2,7,0.1,0,1,"propagule",3163,2,1,0.200126462219412,"False"
"60",1,2,8,0.1,0,1,"propagule",3126,1,1,0.201215611004479,"False"
"61",1,2,9,0.1,0,1,"propagule",3091,1,1,0.202199935296021,"False"
"62",1,2,10,0.1,0,1,"propagule",3061,0,0,0.202221496243058,"False"
"63",1,2,11,0.1,0,1,"propagule",3029,0,0,0.205678441729944,"False"
"64",1,2,12,0.1,0,1,"propagule",3001,0,0,0.205931356214595,"False"
"65",1,2,13,0.1,0,1,"propagule",2974,0,0,0.208473436449227,"False"
"66",1,2,14,0.1,0,1,"propagule",2936,0,0,0.209128065395095,"False"
"67",1,2,15,0.1,0,1,"propagule",2916,0,0,0.211934156378601,"False"
"68",1,2,16,0.1,0,1,"propagule",2885,0,0,0.212478336221837,"False"
"69",1,2,17,0.1,0,1,"propagule",2851,0,0,0.213609259908804,"False"
"70",1,2,18,0.1,0,1,"propagule",5010,0,0,0.122554890219561,"False"
"71",1,2,19,0.1,0,1,"propagule",4901,0,0,0.125076514996939,"False"
"72",1,2,20,0.1,0,1,"propagule",4834,0,0,0.128051303268515,"False"
"73",1,2,21,0.1,0,1,"propagule",4709,0,0,0.131238054788702,"False"
"74",1,2,22,0.1,0,1,"propagule",4613,0,0,0.132451766746152,"False"
"75",1,2,23,0.1,0,1,"propagule",4524,0,0,0.135941644562334,"False"
"76",1,2,24,0.1,0,1,"propagule",4460,0,0,0.137668161434978,"False"
"77",1,2,25,0.1,0,1,"propagule",4366,0,0,0.140174072377462,"False"
"78",1,2,26,0.1,0,1,"propagule",4275,0,0,0.140584795321637,"False"
"79",1,2,27,0.1,0,1,"propagule",4154,0,0,0.143716899374097,"False"
"80",1,2,28,0.1,0,1,"propagule",4116,0,0,0.146015549076774,"False"
"81",1,2,29,0.1,0,1,"propagule",4051,0,0,0.14835843001728,"False"
"82",1,2,30,0.1,0,1,"propagule",3965,0,0,0.150567465321564,"False"
"83",1,2,31,0.1,0,1,"propagule",3851,1,1,0.154245650480395,"False"
"84",1,2,32,0.1,0,1,"propagule",3769,0,0,0.156540196338551,"False"
"85",1,2,33,0.1,0,1,"propagule",3684,0,0,0.159880564603692,"False"
"86",1,2,34,0.1,0,1,"propagule",3661,0,0,0.160065555859055,"False"
"87",1,2,35,0.1,0,1,"propagule",3556,0,0,0.221597300337458,"False"
"88",1,2,36,0.1,0,1,"propagule",3519,0,0,0.224495595339585,"False"
"89",1,2,37,0.1,0,1,"propagule",3441,0,0,0.229293809938971,"False"
"90",1,2,38,0.1,0,1,"propagule",3413,0,0,0.231174919425725,"False"
"91",1,2,39,0.1,0,1,"propagule",3370,0,0,0.233234421364985,"False"
"92",1,2,40,0.1,0,1,"propagule",3355,0,0,0.234575260804769,"False"
"93",1,2,41,0.1,0,1,"propagule",3572,0,0,0.262318029115342,"True"
"94",1,2,42,0.1,0,1,"propagule",3576,0,0,0.269574944071588,"True"
"95",1,2,43,0.1,0,1,"propagule",3586,0,0,0.271332961517011,"True"
"96",1,2,44,0.1,0,1,"propagule",3601,0,0,0.268814218272702,"True"
"97",1,2,45,0.1,0,1,"propagule",3554,0,0,0.274338773213281,"True"
"98",1,2,46,0.1,0,1,"propagule",3405,0,0,0.264023494860499,"True"
"99",1,2,47,0.1,0,1,"propagule",3378,0,0,0.262877442273535,"True"
"100",1,2,48,0.1,0,1,"propagule",3343,0,0,0.262638348788513,"True"
"101",1,2,49,0.1,0,1,"propagule",3309,0,0,0.265034753702025,"True"
"102",1,2,50,0.1,0,1,"propagule",3283,0,0,0.264087724642096,"True"
"103",1,2,51,0.1,0,1,"propagule",3261,0,0,0.265869365225391,"True"
"104",1,2,52,0.1,0,1,"propagule",3236,0,0,0.266996291718171,"True"
"105",1,3,1,0.1,0,1,"propagule",3204,0,0,0.269975031210986,"True"
"106",1,3,2,0.1,0,1,"propagule",3183,0,0,0.272698711907006,"True"
"107",1,3,3,0.1,0,1,"propagule",3143,0,0,0.271714922048998,"True"
"108",1,3,4,0.1,0,1,"propagule",3121,0,0,0.274271066965716,"True"
"109",1,3,5,0.1,0,1,"propagule",3075,0,0,0.273821138211382,"True"
"110",1,3,6,0.1,0,1,"propagule",3035,0,0,0.276771004942339,"True"
"111",1,3,7,0.1,0,1,"propagule",3008,0,0,0.277593085106383,"True"
"112",1,3,8,0.1,0,1,"propagule",2965,0,0,0.276897133220911,"True"
"113",1,3,9,0.1,0,1,"propagule",2943,0,0,0.277268093781855,"True"
"114",1,3,10,0.1,0,1,"propagule",2927,0,0,0.277417150666211,"True"
"115",1,3,11,0.1,0,1,"propagule",2904,0,0,0.278236914600551,"True"
"116",1,3,12,0.1,0,1,"propagule",2874,0,0,0.28044537230341,"True"
"117",1,3,13,0.1,0,1,"propagule",2839,0,0,0.282141599154632,"True"
