rep,year,week,sero,disease,rate,type,total_pop,n_infected,n_symptomatic,actual_sero,elim
1,1,1,0.1,0.06,1.5,propagule,2773,0,0,0.10782545979084024,True
1,1,2,0.1,0.06,1.5,propagule,2722,0,0,0.11058045554739163,True
1,1,3,0.1,0.06,1.5,propagule,2636,0,0,0.11001517450682853,True
1,1,4,0.1,0.06,1.5,propagule,2571,0,0,0.11240762349280435,True
1,1,5,0.1,0.06,1.5,propagule,2480,0,0,0.11491935483870967,True
1,1,6,0.1,0.06,1.5,propagule,2415,0,0,0.11511387163561076,True
1,1,7,0.1,0.06,1.5,propagule,2359,0,0,0.11572700296735905,True
1,1,8,0.1,0.06,1.5,propagule,2301,0,0,0.12038244241634072,True
1,1,9,0.1,0.06,1.5,propagule,2234,0,0,0.12175470008952552,True
1,1,10,0.1,0.06,1.5,propagule,2180,0,0,0.12155963302752294,True
1,1,11,0.1,0.06,1.5,propagule,2126,0,0,0.12464722483537159,True
1,1,12,0.1,0.06,1.5,propagule,2090,0,0,0.12822966507177033,True
1,1,13,0.1,0.06,1.5,propagule,2039,0,0,0.13094654242275625,True
1,1,14,0.1,0.06,1.5,propagule,2011,0,0,0.13326703132769765,True
1,1,15,0.1,0.06,1.5,propagule,1984,0,0,0.13709677419354838,True
1,1,16,0.1,0.06,1.5,propagule,1964,0,0,0.1415478615071283,True
1,1,17,0.1,0.06,1.5,propagule,1941,0,0,0.14270994332818135,True
1,1,18,0.1,0.06,1.5,propagule,5647,0,0,0.04976093500973969,True
1,1,19,0.1,0.06,1.5,propagule,5533,0,0,0.0536779324055666,True
1,1,20,0.1,0.06,1.5,propagule,5423,0,0,0.055504333394799925,True
1,1,21,0.1,0.06,1.5,propagule,5338,0,0,0.05695016860247284,True
1,1,22,0.1,0.06,1.5,propagule,5206,0,0,0.059354590856703804,True
1,1,23,0.1,0.06,1.5,propagule,5069,0,0,0.0629315446833695,True
1,1,24,0.1,0.06,1.5,propagule,4943,0,0,0.06433340076876391,True
1,1,25,0.1,0.06,1.5,propagule,4802,0,0,0.06684714702207413,True
1,1,26,0.1,0.06,1.5,propagule,4725,0,0,0.06835978835978836,True
1,1,27,0.1,0.06,1.5,propagule,4587,0,0,0.07063440156965337,True
1,1,28,0.1,0.06,1.5,propagule,4467,0,0,0.07186030893216924,True
1,1,29,0.1,0.06,1.5,propagule,4372,0,0,0.07456541628545288,True
1,1,30,0.1,0.06,1.5,propagule,4306,0,0,0.07663725034835114,True
1,1,31,0.1,0.06,1.5,propagule,4216,0,0,0.07874762808349146,True
1,1,32,0.1,0.06,1.5,propagule,4154,0,0,0.08208955223880597,True
1,1,33,0.1,0.06,1.5,propagule,4082,0,0,0.08304752572268496,True
1,1,34,0.1,0.06,1.5,propagule,4010,0,0,0.08478802992518704,True
1,1,35,0.1,0.06,1.5,propagule,3918,0,0,0.14522715671260847,True
1,1,36,0.1,0.06,1.5,propagule,3849,0,0,0.1491296440633931,True
1,1,37,0.1,0.06,1.5,propagule,3767,0,0,0.1499867268383329,True
1,1,38,0.1,0.06,1.5,propagule,3728,0,0,0.15101931330472104,True
1,1,39,0.1,0.06,1.5,propagule,3691,0,0,0.15361690598753724,True
1,1,40,0.1,0.06,1.5,propagule,3644,0,0,0.15614709110867178,True
1,1,41,0.1,0.06,1.5,propagule,3799,0,0,0.17609897341405634,True
1,1,42,0.1,0.06,1.5,propagule,3798,0,0,0.17588204318062137,True
1,1,43,0.1,0.06,1.5,propagule,3772,0,0,0.179745493107105,True
1,1,44,0.1,0.06,1.5,propagule,3788,0,0,0.18268215417106654,True
1,1,45,0.1,0.06,1.5,propagule,3814,0,0,0.18982695332983743,True
1,1,46,0.1,0.06,1.5,propagule,3648,0,0,0.1787280701754386,True
1,1,47,0.1,0.06,1.5,propagule,3620,0,0,0.18011049723756906,True
1,1,48,0.1,0.06,1.5,propagule,3584,0,0,0.18080357142857142,True
1,1,49,0.1,0.06,1.5,propagule,3555,0,0,0.18340365682137835,True
1,1,50,0.1,0.06,1.5,propagule,3533,0,0,0.18426266628927257,True
1,1,51,0.1,0.06,1.5,propagule,3494,0,0,0.18689181453921008,True
1,1,52,0.1,0.06,1.5,propagule,3456,0,0,0.1875,True
1,2,1,0.1,0.06,1.5,propagule,3413,5,0,0.18751831233518898,False
1,2,2,0.1,0.06,1.5,propagule,3375,5,0,0.19051851851851853,False
1,2,3,0.1,0.06,1.5,propagule,3340,5,2,0.19161676646706588,False
1,2,4,0.1,0.06,1.5,propagule,3310,6,3,0.19456193353474321,False
1,2,5,0.1,0.06,1.5,propagule,3275,6,2,0.19877862595419848,False
1,2,6,0.1,0.06,1.5,propagule,3235,9,1,0.20154559505409583,False
1,2,7,0.1,0.06,1.5,propagule,3203,8,2,0.20106150483921323,False
1,2,8,0.1,0.06,1.5,propagule,3165,8,4,0.2018957345971564,False
1,2,9,0.1,0.06,1.5,propagule,3124,10,3,0.20422535211267606,False
1,2,10,0.1,0.06,1.5,propagule,3087,7,3,0.20472951085195984,False
1,2,11,0.1,0.06,1.5,propagule,3043,7,5,0.20571804140650674,False
1,2,12,0.1,0.06,1.5,propagule,3002,5,2,0.20752831445702866,False
1,2,13,0.1,0.06,1.5,propagule,2970,3,2,0.20942760942760943,False
1,2,14,0.1,0.06,1.5,propagule,2937,7,2,0.2083758937691522,False
1,2,15,0.1,0.06,1.5,propagule,2909,4,1,0.21003781368167757,False
1,2,16,0.1,0.06,1.5,propagule,2883,5,2,0.21193201526188,False
1,2,17,0.1,0.06,1.5,propagule,2855,5,1,0.21541155866900175,False
1,2,18,0.1,0.06,1.5,propagule,5143,4,1,0.12074664592650204,False
1,2,19,0.1,0.06,1.5,propagule,5045,4,4,0.12111000991080277,False
1,2,20,0.1,0.06,1.5,propagule,4924,4,3,0.12388302193338749,False
1,2,21,0.1,0.06,1.5,propagule,4776,1,1,0.12625628140703518,False
1,2,22,0.1,0.06,1.5,propagule,4679,2,1,0.12930113272066682,False
1,2,23,0.1,0.06,1.5,propagule,4603,1,1,0.13143601998696502,False
1,2,24,0.1,0.06,1.5,propagule,4531,1,1,0.13131758993599646,False
1,2,25,0.1,0.06,1.5,propagule,4430,0,0,0.13205417607223477,False
1,2,26,0.1,0.06,1.5,propagule,4386,0,0,0.13429092567259462,False
1,2,27,0.1,0.06,1.5,propagule,4307,0,0,0.13721848154167635,False
1,2,28,0.1,0.06,1.5,propagule,4268,0,0,0.1380037488284911,False
1,2,29,0.1,0.06,1.5,propagule,4179,0,0,0.1414213926776741,False
1,2,30,0.1,0.06,1.5,propagule,4090,0,0,0.1449877750611247,False
1,2,31,0.1,0.06,1.5,propagule,3991,0,0,0.14808318717113506,False
1,2,32,0.1,0.06,1.5,propagule,3903,0,0,0.15116576992057393,False
1,2,33,0.1,0.06,1.5,propagule,3842,0,0,0.15512753774076002,False
1,2,34,0.1,0.06,1.5,propagule,3800,0,0,0.1563157894736842,False
1,2,35,0.1,0.06,1.5,propagule,3752,0,0,0.22468017057569295,False
1,2,36,0.1,0.06,1.5,propagule,3706,0,0,0.226389638424177,False
1,2,37,0.1,0.06,1.5,propagule,3649,0,0,0.2291038640723486,False
1,2,38,0.1,0.06,1.5,propagule,3602,0,0,0.23209328151027206,False
1,2,39,0.1,0.06,1.5,propagule,3568,0,0,0.23570627802690583,False
1,2,40,0.1,0.06,1.5,propagule,3526,0,0,0.237379466817924,True
1,2,41,0.1,0.06,1.5,propagule,3749,0,0,0.2624699919978661,True
1,2,42,0.1,0.06,1.5,propagule,3744,0,0,0.26495726495726496,True
1,2,43,0.1,0.06,1.5,propagule,3755,0,0,0.27030625832223704,False
1,2,44,0.1,0.06,1.5,propagule,3768,0,0,0.27388535031847133,False
1,2,45,0.1,0.06,1.5,propagule,3737,0,0,0.2726786192132727,False
1,2,46,0.1,0.06,1.5,propagule,3566,0,0,0.2610768367919237,False
1,2,47,0.1,0.06,1.5,propagule,3536,0,0,0.26187782805429866,False
1,2,48,0.1,0.06,1.5,propagule,3500,1,0,0.26257142857142857,False
1,2,49,0.1,0.06,1.5,propagule,3469,0,0,0.26145863361199195,False
1,2,50,0.1,0.06,1.5,propagule,3438,0,0,0.26090750436300175,False
