rep,year,week,sero,disease,rate,type,total_pop,n_infected,n_symptomatic,actual_sero,elim
1,1,1,0.2,0.03,1,wave,2754,0,0,0.19535221496005808,True
1,1,2,0.2,0.03,1,wave,2725,0,0,0.19926605504587155,True
1,1,3,0.2,0.03,1,wave,2667,0,0,0.19985001874765654,True
1,1,4,0.2,0.03,1,wave,2632,0,0,0.20402735562310031,True
1,1,5,0.2,0.03,1,wave,2556,0,0,0.20500782472613457,True
1,1,6,0.2,0.03,1,wave,2508,0,0,0.20454545454545456,True
1,1,7,0.2,0.03,1,wave,2475,0,0,0.20646464646464646,True
1,1,8,0.2,0.03,1,wave,2449,0,0,0.2078399346672111,True
1,1,9,0.2,0.03,1,wave,2409,0,0,0.2083852220838522,True
1,1,10,0.2,0.03,1,wave,2361,0,0,0.21135112240576026,True
1,1,11,0.2,0.03,1,wave,2297,0,0,0.2107096212451023,True
1,1,12,0.2,0.03,1,wave,2252,0,0,0.21269982238010657,True
1,1,13,0.2,0.03,1,wave,2210,0,0,0.2149321266968326,True
1,1,14,0.2,0.03,1,wave,2176,0,0,0.2182904411764706,True
1,1,15,0.2,0.03,1,wave,2139,0,0,0.22206638616175783,True
1,1,16,0.2,0.03,1,wave,2096,0,0,0.22328244274809161,True
1,1,17,0.2,0.03,1,wave,2049,0,0,0.22498779892630552,True
1,1,18,0.2,0.03,1,wave,5988,0,0,0.07765531062124248,True
1,1,19,0.2,0.03,1,wave,5872,0,0,0.07970027247956403,True
1,1,20,0.2,0.03,1,wave,5737,0,0,0.08453895764336761,True
1,1,21,0.2,0.03,1,wave,5621,0,0,0.08610567514677103,True
1,1,22,0.2,0.03,1,wave,5499,0,0,0.08928896162938717,True
1,1,23,0.2,0.03,1,wave,5351,0,0,0.09269295458792749,True
1,1,24,0.2,0.03,1,wave,5206,0,0,0.09642719938532462,True
1,1,25,0.2,0.03,1,wave,5022,0,0,0.09876543209876543,True
1,1,26,0.2,0.03,1,wave,4931,0,0,0.1013993104846887,True
1,1,27,0.2,0.03,1,wave,4809,0,0,0.10355583281347473,True
1,1,28,0.2,0.03,1,wave,4693,0,0,0.1061154911570424,True
1,1,29,0.2,0.03,1,wave,4591,0,0,0.10890873448050534,True
1,1,30,0.2,0.03,1,wave,4469,0,0,0.11210561646900873,True
1,1,31,0.2,0.03,1,wave,4377,0,0,0.11446196024674435,True
1,1,32,0.2,0.03,1,wave,4309,0,0,0.1169644929217916,True
1,1,33,0.2,0.03,1,wave,4216,0,0,0.12144212523719165,True
1,1,34,0.2,0.03,1,wave,4117,0,0,0.1248481904299247,True
1,1,35,0.2,0.03,1,wave,4019,0,0,0.24881811395869619,True
1,1,36,0.2,0.03,1,wave,3946,0,0,0.2524075012671059,True
1,1,37,0.2,0.03,1,wave,3844,0,0,0.2546826222684703,True
1,1,38,0.2,0.03,1,wave,3800,0,0,0.25763157894736843,True
1,1,39,0.2,0.03,1,wave,3726,0,0,0.26060118089103596,True
1,1,40,0.2,0.03,1,wave,3668,0,0,0.26308615049073064,True
1,1,41,0.2,0.03,1,wave,3594,0,0,0.2643294379521425,True
1,1,42,0.2,0.03,1,wave,3552,0,0,0.26548423423423423,True
1,1,43,0.2,0.03,1,wave,3747,0,0,0.2981051507872965,True
1,1,44,0.2,0.03,1,wave,3605,0,0,0.29653259361997225,True
1,1,45,0.2,0.03,1,wave,3479,0,0,0.2926128197757976,True
1,1,46,0.2,0.03,1,wave,3415,0,0,0.2913616398243045,True
1,1,47,0.2,0.03,1,wave,3377,0,0,0.29049452176488005,True
1,1,48,0.2,0.03,1,wave,3321,0,0,0.2920806985847636,True
1,1,49,0.2,0.03,1,wave,3271,0,0,0.2931825129929685,True
1,1,50,0.2,0.03,1,wave,3241,0,0,0.2958963282937365,True
1,1,51,0.2,0.03,1,wave,3186,0,0,0.2953546767106089,True
1,1,52,0.2,0.03,1,wave,3139,0,0,0.2962726983115642,True
1,2,1,0.2,0.03,1,wave,3097,8,0,0.2973845657087504,False
1,2,2,0.2,0.03,1,wave,3032,7,0,0.3011213720316623,False
1,2,3,0.2,0.03,1,wave,2998,7,1,0.3028685790527018,False
1,2,4,0.2,0.03,1,wave,2960,8,1,0.3064189189189189,False
1,2,5,0.2,0.03,1,wave,2916,7,1,0.3048696844993141,False
1,2,6,0.2,0.03,1,wave,2869,8,3,0.3119553851516208,False
1,2,7,0.2,0.03,1,wave,2820,7,3,0.31453900709219856,False
1,2,8,0.2,0.03,1,wave,2758,6,4,0.31689630166787525,False
1,2,9,0.2,0.03,1,wave,2703,6,3,0.31927487976322605,False
1,2,10,0.2,0.03,1,wave,2669,3,0,0.32221805919820157,False
1,2,11,0.2,0.03,1,wave,2638,3,0,0.32221379833206976,False
1,2,12,0.2,0.03,1,wave,2601,3,2,0.3233371780084583,False
1,2,13,0.2,0.03,1,wave,2561,5,2,0.32526356891839125,False
1,2,14,0.2,0.03,1,wave,2534,3,1,0.3271507498026835,False
1,2,15,0.2,0.03,1,wave,2500,3,1,0.3272,False
