"","X","rep","year","week","sero","disease","rate","type","total_pop","n_infected","n_symptomatic","actual_sero","elim"
"1",1,1,1,1,0.3,0.015,1,"propagule",2707,0,0,0.296268932397488,"True"
"2",2,1,1,2,0.3,0.015,1,"propagule",2682,0,0,0.299030574198359,"True"
"3",3,1,1,3,0.3,0.015,1,"propagule",2615,0,0,0.29980879541109,"True"
"4",4,1,1,4,0.3,0.015,1,"propagule",2591,0,0,0.299884214588962,"True"
"5",5,1,1,5,0.3,0.015,1,"propagule",2561,0,0,0.299882858258493,"True"
"6",6,1,1,6,0.3,0.015,1,"propagule",2539,0,0,0.300118156754628,"True"
"7",7,1,1,7,0.3,0.015,1,"propagule",2502,0,0,0.303357314148681,"True"
"8",8,1,1,8,0.3,0.015,1,"propagule",2480,0,0,0.303225806451613,"True"
"9",9,1,1,9,0.3,0.015,1,"propagule",2397,0,0,0.307884856070088,"True"
"10",10,1,1,10,0.3,0.015,1,"propagule",2389,0,0,0.310590205106739,"True"
"11",11,1,1,11,0.3,0.015,1,"propagule",2336,0,0,0.310359589041096,"True"
"12",12,1,1,12,0.3,0.015,1,"propagule",2311,0,0,0.31068801384682,"True"
"13",13,1,1,13,0.3,0.015,1,"propagule",2263,0,0,0.311975254087494,"True"
"14",14,1,1,14,0.3,0.015,1,"propagule",2221,0,0,0.312922107158937,"True"
"15",15,1,1,15,0.3,0.015,1,"propagule",2194,0,0,0.312670920692799,"True"
"16",16,1,1,16,0.3,0.015,1,"propagule",2172,0,0,0.314456721915285,"True"
"17",17,1,1,17,0.3,0.015,1,"propagule",2153,0,0,0.315373896888063,"True"
"18",18,1,1,18,0.3,0.015,1,"propagule",6054,0,0,0.112983151635282,"True"
"19",19,1,1,19,0.3,0.015,1,"propagule",5941,0,0,0.114627167143579,"True"
"20",20,1,1,20,0.3,0.015,1,"propagule",5867,0,0,0.115902505539458,"True"
"21",21,1,1,21,0.3,0.015,1,"propagule",5743,0,0,0.119101514887689,"True"
"22",22,1,1,22,0.3,0.015,1,"propagule",5635,0,0,0.121206743566992,"True"
"23",23,1,1,23,0.3,0.015,1,"propagule",5553,0,0,0.123536826940393,"True"
"24",24,1,1,24,0.3,0.015,1,"propagule",5463,0,0,0.126121178839465,"True"
"25",25,1,1,25,0.3,0.015,1,"propagule",5370,0,0,0.128677839851024,"True"
"26",26,1,1,26,0.3,0.015,1,"propagule",5268,0,0,0.132118451025057,"True"
"27",27,1,1,27,0.3,0.015,1,"propagule",5169,0,0,0.134648868253047,"True"
"28",28,1,1,28,0.3,0.015,1,"propagule",5084,0,0,0.13552321007081,"True"
"29",29,1,1,29,0.3,0.015,1,"propagule",4976,0,0,0.140675241157556,"True"
"30",30,1,1,30,0.3,0.015,1,"propagule",4898,0,0,0.144140465496121,"True"
"31",31,1,1,31,0.3,0.015,1,"propagule",4805,0,0,0.145889698231009,"True"
"32",32,1,1,32,0.3,0.015,1,"propagule",4721,0,0,0.14806185130269,"True"
"33",33,1,1,33,0.3,0.015,1,"propagule",4642,0,0,0.149289099526066,"True"
"34",34,1,1,34,0.3,0.015,1,"propagule",4540,0,0,0.153083700440529,"True"
"35",35,1,1,35,0.3,0.015,1,"propagule",4426,0,0,0.314279258924537,"True"
"36",36,1,1,36,0.3,0.015,1,"propagule",4359,0,0,0.317045193851801,"True"
"37",37,1,1,37,0.3,0.015,1,"propagule",4262,0,0,0.32238385734397,"True"
"38",38,1,1,38,0.3,0.015,1,"propagule",4200,0,0,0.327619047619048,"True"
"39",39,1,1,39,0.3,0.015,1,"propagule",4144,0,0,0.329150579150579,"True"
"40",40,1,1,40,0.3,0.015,1,"propagule",4100,0,0,0.331463414634146,"True"
"41",41,1,1,41,0.3,0.015,1,"propagule",4155,0,0,0.339109506618532,"True"
"42",42,1,1,42,0.3,0.015,1,"propagule",4140,0,0,0.336231884057971,"True"
"43",43,1,1,43,0.3,0.015,1,"propagule",4076,0,0,0.340529931305201,"True"
"44",44,1,1,44,0.3,0.015,1,"propagule",4043,0,0,0.342567400445214,"True"
"45",45,1,1,45,0.3,0.015,1,"propagule",4039,0,0,0.346620450606586,"True"
"46",46,1,1,46,0.3,0.015,1,"propagule",3923,0,0,0.344889115472852,"True"
"47",47,1,1,47,0.3,0.015,1,"propagule",3894,0,0,0.350025680534155,"True"
"48",48,1,1,48,0.3,0.015,1,"propagule",3872,0,0,0.349948347107438,"True"
"49",49,1,1,49,0.3,0.015,1,"propagule",3847,0,0,0.351182739797245,"True"
"50",50,1,1,50,0.3,0.015,1,"propagule",3817,0,0,0.352370971967514,"True"
"51",51,1,1,51,0.3,0.015,1,"propagule",3780,0,0,0.353439153439153,"True"
"52",52,1,1,52,0.3,0.015,1,"propagule",3738,0,0,0.353932584269663,"True"
"53",53,1,2,1,0.3,0.015,1,"propagule",3705,7,0,0.354655870445344,"False"
"54",54,1,2,2,0.3,0.015,1,"propagule",3661,7,0,0.353728489483748,"False"
"55",55,1,2,3,0.3,0.015,1,"propagule",3626,7,0,0.353833425261997,"False"
"56",56,1,2,4,0.3,0.015,1,"propagule",3583,7,2,0.355567959810215,"False"
"57",57,1,2,5,0.3,0.015,1,"propagule",3550,7,3,0.357464788732394,"False"
"58",58,1,2,6,0.3,0.015,1,"propagule",3497,5,3,0.358307120388905,"False"
"59",59,1,2,7,0.3,0.015,1,"propagule",3450,7,3,0.359710144927536,"False"
"60",60,1,2,8,0.3,0.015,1,"propagule",3404,6,1,0.362514688601645,"False"
"61",61,1,2,9,0.3,0.015,1,"propagule",3369,5,2,0.362125259720985,"False"
"62",62,1,2,10,0.3,0.015,1,"propagule",3339,6,3,0.364180892482779,"False"
