"","X","rep","year","week","sero","disease","rate","type","total_pop","n_infected","n_symptomatic","actual_sero","elim"
"1",1,1,1,1,0.4,0,0.5,"propagule",2667,0,0,0.395200599925009,"True"
"2",2,1,1,2,0.4,0,0.5,"propagule",2630,0,0,0.398479087452471,"True"
"3",3,1,1,3,0.4,0,0.5,"propagule",2568,0,0,0.397196261682243,"True"
"4",4,1,1,4,0.4,0,0.5,"propagule",2533,0,0,0.3999210422424,"True"
"5",5,1,1,5,0.4,0,0.5,"propagule",2436,0,0,0.403530377668309,"True"
"6",6,1,1,6,0.4,0,0.5,"propagule",2384,0,0,0.406040268456376,"True"
"7",7,1,1,7,0.4,0,0.5,"propagule",2333,0,0,0.407629661380197,"True"
"8",8,1,1,8,0.4,0,0.5,"propagule",2242,0,0,0.407225691347012,"True"
"9",9,1,1,9,0.4,0,0.5,"propagule",2200,0,0,0.41,"True"
"10",10,1,1,10,0.4,0,0.5,"propagule",2138,0,0,0.408325537885875,"True"
"11",11,1,1,11,0.4,0,0.5,"propagule",2071,0,0,0.40994688556253,"True"
"12",12,1,1,12,0.4,0,0.5,"propagule",2005,0,0,0.412967581047382,"True"
"13",13,1,1,13,0.4,0,0.5,"propagule",1927,0,0,0.416709911779969,"True"
"14",14,1,1,14,0.4,0,0.5,"propagule",1872,0,0,0.419337606837607,"True"
"15",15,1,1,15,0.4,0,0.5,"propagule",1857,0,0,0.417878298330641,"True"
"16",16,1,1,16,0.4,0,0.5,"propagule",1810,0,0,0.424309392265193,"True"
"17",17,1,1,17,0.4,0,0.5,"propagule",1761,0,0,0.422487223168654,"True"
"18",18,1,1,18,0.4,0,0.5,"propagule",5014,0,0,0.148583964898285,"True"
"19",19,1,1,19,0.4,0,0.5,"propagule",4889,0,0,0.150951114747392,"True"
"20",20,1,1,20,0.4,0,0.5,"propagule",4767,0,0,0.153555695405916,"True"
"21",21,1,1,21,0.4,0,0.5,"propagule",4636,0,0,0.155522001725626,"True"
"22",22,1,1,22,0.4,0,0.5,"propagule",4491,0,0,0.158761968381207,"True"
"23",23,1,1,23,0.4,0,0.5,"propagule",4381,0,0,0.16160693905501,"True"
