rep,year,week,sero,disease,rate,type,total_pop,n_infected,n_symptomatic,actual_sero,elim
32,1,1,0.4,0.03,2.0,wave,2746,0,0,0.3896576839038602,True
32,1,2,0.4,0.03,2.0,wave,2710,0,0,0.3896678966789668,True
32,1,3,0.4,0.03,2.0,wave,2656,0,0,0.3881777108433735,True
32,1,4,0.4,0.03,2.0,wave,2593,0,0,0.39143848823756267,True
32,1,5,0.4,0.03,2.0,wave,2550,0,0,0.39215686274509803,True
32,1,6,0.4,0.03,2.0,wave,2526,0,0,0.39311163895486934,True
32,1,7,0.4,0.03,2.0,wave,2490,0,0,0.39036144578313253,True
32,1,8,0.4,0.03,2.0,wave,2473,0,0,0.3914274160938132,True
32,1,9,0.4,0.03,2.0,wave,2454,0,0,0.39568052159739203,True
32,1,10,0.4,0.03,2.0,wave,2435,0,0,0.39753593429158113,True
32,1,11,0.4,0.03,2.0,wave,2427,0,0,0.3980222496909765,True
32,1,12,0.4,0.03,2.0,wave,2412,0,0,0.4009121061359867,True
32,1,13,0.4,0.03,2.0,wave,2410,0,0,0.4004149377593361,True
32,1,14,0.4,0.03,2.0,wave,2396,0,0,0.40275459098497496,True
32,1,15,0.4,0.03,2.0,wave,2381,0,0,0.4044519109617808,True
32,1,16,0.4,0.03,2.0,wave,2364,0,0,0.4069373942470389,True
32,1,17,0.4,0.03,2.0,wave,2353,0,0,0.4105397365065873,True
32,1,18,0.4,0.03,2.0,wave,6774,0,0,0.1427516976675524,True
32,1,19,0.4,0.03,2.0,wave,6690,0,0,0.1452914798206278,True
32,1,20,0.4,0.03,2.0,wave,6588,0,0,0.1470856102003643,True
32,1,21,0.4,0.03,2.0,wave,6416,0,0,0.15134039900249377,True
32,1,22,0.4,0.03,2.0,wave,6305,0,0,0.1547977795400476,True
32,1,23,0.4,0.03,2.0,wave,6178,0,0,0.15749433473616056,True
32,1,24,0.4,0.03,2.0,wave,6061,0,0,0.16036957597756146,True
32,1,25,0.4,0.03,2.0,wave,5932,0,0,0.1633513149022252,True
32,1,26,0.4,0.03,2.0,wave,5838,0,0,0.16666666666666666,True
32,1,27,0.4,0.03,2.0,wave,5738,0,0,0.16991983269431857,True
32,1,28,0.4,0.03,2.0,wave,5629,0,0,0.17267720731923966,True
32,1,29,0.4,0.03,2.0,wave,5516,0,0,0.17530819434372732,True
32,1,30,0.4,0.03,2.0,wave,5425,0,0,0.17714285714285713,True
32,1,31,0.4,0.03,2.0,wave,5329,0,0,0.17939575905423155,True
32,1,32,0.4,0.03,2.0,wave,5223,0,0,0.1820792647903504,True
32,1,33,0.4,0.03,2.0,wave,5126,0,0,0.18611002731174406,True
32,1,34,0.4,0.03,2.0,wave,5025,0,0,0.19024875621890547,True
32,1,35,0.4,0.03,2.0,wave,4938,0,0,0.40299716484406645,True
32,1,36,0.4,0.03,2.0,wave,4848,0,0,0.4049092409240924,True
32,1,37,0.4,0.03,2.0,wave,4773,0,0,0.40812905929185,True
32,1,38,0.4,0.03,2.0,wave,4705,0,0,0.40913921360255046,True
32,1,39,0.4,0.03,2.0,wave,4659,0,0,0.40974458038205624,True
32,1,40,0.4,0.03,2.0,wave,4614,0,0,0.4115734720416125,True
32,1,41,0.4,0.03,2.0,wave,4630,0,0,0.41533477321814255,True
32,1,42,0.4,0.03,2.0,wave,4615,0,0,0.4162513542795233,True
32,1,43,0.4,0.03,2.0,wave,4616,0,0,0.41811091854419413,True
32,1,44,0.4,0.03,2.0,wave,4592,0,0,0.41877177700348434,True
32,1,45,0.4,0.03,2.0,wave,4584,0,0,0.4190663176265271,True
32,1,46,0.4,0.03,2.0,wave,4496,0,0,0.4192615658362989,True
32,1,47,0.4,0.03,2.0,wave,4458,0,0,0.4190219829519964,True
32,1,48,0.4,0.03,2.0,wave,4414,0,0,0.4188944268237426,True
32,1,49,0.4,0.03,2.0,wave,4384,0,0,0.4199361313868613,True
32,1,50,0.4,0.03,2.0,wave,4319,0,0,0.42023616577911554,True
32,1,51,0.4,0.03,2.0,wave,4281,0,0,0.42116327960756833,True
32,1,52,0.4,0.03,2.0,wave,4232,0,0,0.42438563327032136,True
32,2,1,0.4,0.03,2.0,wave,4198,7,0,0.4252024773701763,False
32,2,2,0.4,0.03,2.0,wave,4156,7,0,0.4266121270452358,False
32,2,3,0.4,0.03,2.0,wave,4110,7,3,0.42846715328467155,False
32,2,4,0.4,0.03,2.0,wave,4044,15,4,0.42927794263105834,False
32,2,5,0.4,0.03,2.0,wave,4016,11,6,0.43177290836653387,False
32,2,6,0.4,0.03,2.0,wave,3959,15,5,0.4309168982066178,False
32,2,7,0.4,0.03,2.0,wave,3910,10,1,0.43427109974424555,False
32,2,8,0.4,0.03,2.0,wave,3862,10,2,0.43500776799585705,False
32,2,9,0.4,0.03,2.0,wave,3821,9,4,0.435488092122481,False
32,2,10,0.4,0.03,2.0,wave,3775,10,6,0.43629139072847684,False
32,2,11,0.4,0.03,2.0,wave,3724,13,4,0.44065520945220193,False
32,2,12,0.4,0.03,2.0,wave,3674,11,3,0.4422972237343495,False
32,2,13,0.4,0.03,2.0,wave,3632,15,4,0.44383259911894274,False
32,2,14,0.4,0.03,2.0,wave,3592,14,6,0.4437639198218263,False
32,2,15,0.4,0.03,2.0,wave,3548,14,7,0.4439120631341601,False
32,2,16,0.4,0.03,2.0,wave,3501,13,5,0.4458726078263353,False
32,2,17,0.4,0.03,2.0,wave,3462,13,5,0.44714038128249567,False
32,2,18,0.4,0.03,2.0,wave,6099,17,7,0.2538121003443187,False
32,2,19,0.4,0.03,2.0,wave,5953,18,8,0.2573492356794893,False
32,2,20,0.4,0.03,2.0,wave,5845,16,5,0.2602224123182207,False
32,2,21,0.4,0.03,2.0,wave,5726,15,5,0.26388403772266855,False
32,2,22,0.4,0.03,2.0,wave,5634,23,7,0.2665956691515797,False
32,2,23,0.4,0.03,2.0,wave,5517,24,8,0.270436831611383,False
32,2,24,0.4,0.03,2.0,wave,5435,21,8,0.27230910763569455,False
32,2,25,0.4,0.03,2.0,wave,5354,21,11,0.2749346283152783,False
32,2,26,0.4,0.03,2.0,wave,5258,22,10,0.27729174591099276,False
32,2,27,0.4,0.03,2.0,wave,5168,17,6,0.2805727554179567,False
32,2,28,0.4,0.03,2.0,wave,5054,18,8,0.2831420656905421,False
32,2,29,0.4,0.03,2.0,wave,4930,18,10,0.2876267748478702,False
32,2,30,0.4,0.03,2.0,wave,4841,16,7,0.2902292914687048,False
32,2,31,0.4,0.03,2.0,wave,4742,17,3,0.29502319696330664,False
32,2,32,0.4,0.03,2.0,wave,4652,17,1,0.29750644883920896,False
32,2,33,0.4,0.03,2.0,wave,4581,16,6,0.30277232045404934,False
32,2,34,0.4,0.03,2.0,wave,4484,18,10,0.3066458519179304,False
32,2,35,0.4,0.03,2.0,wave,4396,15,7,0.5104640582347588,False
32,2,36,0.4,0.03,2.0,wave,4335,11,7,0.5125720876585929,False
32,2,37,0.4,0.03,2.0,wave,4263,12,6,0.5141918836500118,False
32,2,38,0.4,0.03,2.0,wave,4210,10,3,0.5159144893111639,False
32,2,39,0.4,0.03,2.0,wave,4164,11,4,0.5172910662824207,False
32,2,40,0.4,0.03,2.0,wave,4120,10,6,0.5191747572815534,False
32,2,41,0.4,0.03,2.0,wave,4219,9,4,0.5245318795923205,False
32,2,42,0.4,0.03,2.0,wave,4184,5,0,0.5236615678776291,False
32,2,43,0.4,0.03,2.0,wave,4183,5,4,0.5271336361463065,False
32,2,44,0.4,0.03,2.0,wave,4169,8,4,0.5272247541376829,False
32,2,45,0.4,0.03,2.0,wave,4117,4,0,0.5292688851105174,False
32,2,46,0.4,0.03,2.0,wave,4024,4,3,0.5300695825049702,False
32,2,47,0.4,0.03,2.0,wave,4003,4,4,0.5283537346989757,False
32,2,48,0.4,0.03,2.0,wave,3955,1,1,0.5304677623261694,False
32,2,49,0.4,0.03,2.0,wave,3932,1,1,0.5320447609359105,False
32,2,50,0.4,0.03,2.0,wave,3892,1,1,0.5318602261048304,False
32,2,51,0.4,0.03,2.0,wave,3853,0,0,0.5333506358681547,True
32,2,52,0.4,0.03,2.0,wave,3798,0,0,0.5326487625065824,True
32,3,1,0.4,0.03,2.0,wave,3775,0,0,0.5345695364238411,True
32,3,2,0.4,0.03,2.0,wave,3734,0,0,0.53588644884842,True
32,3,3,0.4,0.03,2.0,wave,3721,0,0,0.5372211771029293,True
32,3,4,0.4,0.03,2.0,wave,3680,0,0,0.5377717391304347,True
32,3,5,0.4,0.03,2.0,wave,3649,0,0,0.5395998903809263,True
32,3,6,0.4,0.03,2.0,wave,3604,0,0,0.5394006659267481,True
32,3,7,0.4,0.03,2.0,wave,3586,0,0,0.5401561628555493,True
32,3,8,0.4,0.03,2.0,wave,3547,0,0,0.5398928672117282,True
32,3,9,0.4,0.03,2.0,wave,3517,0,0,0.5422234859255047,True
32,3,10,0.4,0.03,2.0,wave,3476,0,0,0.5402761795166858,True
32,3,11,0.4,0.03,2.0,wave,3441,0,0,0.5422842197035745,True
32,3,12,0.4,0.03,2.0,wave,3401,0,0,0.5433695971773008,True
32,3,13,0.4,0.03,2.0,wave,3376,0,0,0.5447274881516587,True
32,3,14,0.4,0.03,2.0,wave,3328,0,0,0.5438701923076923,True
32,3,15,0.4,0.03,2.0,wave,3303,0,0,0.5449591280653951,True
32,3,16,0.4,0.03,2.0,wave,3272,0,0,0.5452322738386308,True
32,3,17,0.4,0.03,2.0,wave,3257,0,0,0.5446730119742094,True
32,3,18,0.4,0.03,2.0,wave,7123,0,0,0.24764846272637933,True
