rep,year,week,sero,disease,rate,type,total_pop,n_infected,n_symptomatic,actual_sero,elim
1,1,1,0.4,0.06,2.0,wave,2731,0,0,0.4082753570120835,True
1,1,2,0.4,0.06,2.0,wave,2677,0,0,0.4090399701158013,True
1,1,3,0.4,0.06,2.0,wave,2671,0,0,0.4103332085361288,True
1,1,4,0.4,0.06,2.0,wave,2653,0,0,0.41387108933283073,True
1,1,5,0.4,0.06,2.0,wave,2608,0,0,0.4133435582822086,True
1,1,6,0.4,0.06,2.0,wave,2584,0,0,0.41408668730650156,True
1,1,7,0.4,0.06,2.0,wave,2555,0,0,0.4152641878669276,True
1,1,8,0.4,0.06,2.0,wave,2513,0,0,0.4146438519697573,True
1,1,9,0.4,0.06,2.0,wave,2509,0,0,0.4172977281785572,True
1,1,10,0.4,0.06,2.0,wave,2481,0,0,0.4191858121725111,True
1,1,11,0.4,0.06,2.0,wave,2461,0,0,0.42096708655018283,True
1,1,12,0.4,0.06,2.0,wave,2440,0,0,0.42213114754098363,True
1,1,13,0.4,0.06,2.0,wave,2430,0,0,0.42098765432098767,True
1,1,14,0.4,0.06,2.0,wave,2410,0,0,0.42489626556016596,True
1,1,15,0.4,0.06,2.0,wave,2394,0,0,0.4243943191311612,True
1,1,16,0.4,0.06,2.0,wave,2380,0,0,0.4260504201680672,True
1,1,17,0.4,0.06,2.0,wave,2350,0,0,0.4251063829787234,True
1,1,18,0.4,0.06,2.0,wave,6810,0,0,0.14757709251101322,True
1,1,19,0.4,0.06,2.0,wave,6682,0,0,0.1493564800957797,True
1,1,20,0.4,0.06,2.0,wave,6559,0,0,0.1526147278548559,True
1,1,21,0.4,0.06,2.0,wave,6491,0,0,0.1539054074872901,True
1,1,22,0.4,0.06,2.0,wave,6372,0,0,0.1578782172002511,True
1,1,23,0.4,0.06,2.0,wave,6254,0,0,0.16149664214902462,True
1,1,24,0.4,0.06,2.0,wave,6137,0,0,0.16473847156591168,True
1,1,25,0.4,0.06,2.0,wave,6009,0,0,0.16674987518721918,True
1,1,26,0.4,0.06,2.0,wave,5901,0,0,0.16895441450601592,True
1,1,27,0.4,0.06,2.0,wave,5781,0,0,0.17159660958311712,True
1,1,28,0.4,0.06,2.0,wave,5666,0,0,0.17366749029297565,True
1,1,29,0.4,0.06,2.0,wave,5563,0,0,0.1767032176882977,True
1,1,30,0.4,0.06,2.0,wave,5485,0,0,0.17958067456700091,True
1,1,31,0.4,0.06,2.0,wave,5401,0,0,0.18163303092019997,True
1,1,32,0.4,0.06,2.0,wave,5294,0,0,0.1847374386097469,True
1,1,33,0.4,0.06,2.0,wave,5191,0,0,0.18898092853014833,True
1,1,34,0.4,0.06,2.0,wave,5090,0,0,0.1925343811394892,True
1,1,35,0.4,0.06,2.0,wave,5003,0,0,0.4019588247051769,True
1,1,36,0.4,0.06,2.0,wave,4921,0,0,0.4062182483235115,True
1,1,37,0.4,0.06,2.0,wave,4817,0,0,0.40917583558231263,True
1,1,38,0.4,0.06,2.0,wave,4770,0,0,0.41048218029350103,True
1,1,39,0.4,0.06,2.0,wave,4720,0,0,0.41334745762711866,True
1,1,40,0.4,0.06,2.0,wave,4667,0,0,0.41568459395757446,True
1,1,41,0.4,0.06,2.0,wave,4674,0,0,0.4150620453572957,True
1,1,42,0.4,0.06,2.0,wave,4637,0,0,0.42053051541945224,True
