"","X","rep","year","week","sero","disease","rate","type","total_pop","n_infected","n_symptomatic","actual_sero","elim"
"1",1,1,1,1,0.5,0.06,1,"wave",2816,0,0,0.482599431818182,"True"
"2",2,1,1,2,0.5,0.06,1,"wave",2780,0,0,0.483093525179856,"True"
"3",3,1,1,3,0.5,0.06,1,"wave",2685,0,0,0.48342644320298,"True"
"4",4,1,1,4,0.5,0.06,1,"wave",2652,0,0,0.48604826546003,"True"
"5",5,1,1,5,0.5,0.06,1,"wave",2605,0,0,0.487140115163148,"True"
"6",6,1,1,6,0.5,0.06,1,"wave",2569,0,0,0.486181393538342,"True"
"7",7,1,1,7,0.5,0.06,1,"wave",2536,0,0,0.488564668769716,"True"
"8",8,1,1,8,0.5,0.06,1,"wave",2513,0,0,0.487067250298448,"True"
"9",9,1,1,9,0.5,0.06,1,"wave",2492,0,0,0.489165329052969,"True"
"10",10,1,1,10,0.5,0.06,1,"wave",2435,0,0,0.493223819301848,"True"
"11",11,1,1,11,0.5,0.06,1,"wave",2397,0,0,0.492282019190655,"True"
"12",12,1,1,12,0.5,0.06,1,"wave",2371,0,0,0.493884436946436,"True"
"13",13,1,1,13,0.5,0.06,1,"wave",2360,0,0,0.495762711864407,"True"
"14",14,1,1,14,0.5,0.06,1,"wave",2336,0,0,0.49486301369863,"True"
"15",15,1,1,15,0.5,0.06,1,"wave",2309,0,0,0.498484192291035,"True"
"16",16,1,1,16,0.5,0.06,1,"wave",2265,0,0,0.49757174392936,"True"
"17",17,1,1,17,0.5,0.06,1,"wave",2243,0,0,0.49799375835934,"True"
"18",18,1,1,18,0.5,0.06,1,"wave",6445,0,0,0.174398758727696,"True"
"19",19,1,1,19,0.5,0.06,1,"wave",6263,0,0,0.177710362446112,"True"
"20",20,1,1,20,0.5,0.06,1,"wave",6125,0,0,0.180081632653061,"True"
"21",21,1,1,21,0.5,0.06,1,"wave",5991,0,0,0.183775663495243,"True"
"22",22,1,1,22,0.5,0.06,1,"wave",5865,0,0,0.186700767263427,"True"
"23",23,1,1,23,0.5,0.06,1,"wave",5747,0,0,0.190708195580303,"True"
"24",24,1,1,24,0.5,0.06,1,"wave",5631,0,0,0.193926478423015,"True"
"25",25,1,1,25,0.5,0.06,1,"wave",5511,0,0,0.196334603520232,"True"
"26",26,1,1,26,0.5,0.06,1,"wave",5398,0,0,0.199147832530567,"True"
"27",27,1,1,27,0.5,0.06,1,"wave",5250,0,0,0.202857142857143,"True"
"28",28,1,1,28,0.5,0.06,1,"wave",5139,0,0,0.205292858532788,"True"
"29",29,1,1,29,0.5,0.06,1,"wave",5058,0,0,0.208382759984183,"True"
"30",30,1,1,30,0.5,0.06,1,"wave",4836,0,0,0.209057071960298,"True"
"31",31,1,1,31,0.5,0.06,1,"wave",4725,0,0,0.212275132275132,"True"
"32",32,1,1,32,0.5,0.06,1,"wave",4585,0,0,0.215267175572519,"True"
"33",33,1,1,33,0.5,0.06,1,"wave",4509,0,0,0.217786648924373,"True"
"34",34,1,1,34,0.5,0.06,1,"wave",4418,0,0,0.22000905387053,"True"
"35",35,1,1,35,0.5,0.06,1,"wave",4311,0,0,0.468800742287172,"True"
"36",36,1,1,36,0.5,0.06,1,"wave",4229,0,0,0.471506266256798,"True"
"37",37,1,1,37,0.5,0.06,1,"wave",4174,0,0,0.473406804024916,"True"
"38",38,1,1,38,0.5,0.06,1,"wave",4123,0,0,0.474896919718651,"True"
"39",39,1,1,39,0.5,0.06,1,"wave",4081,0,0,0.476598872825288,"True"
"40",40,1,1,40,0.5,0.06,1,"wave",4018,0,0,0.478098556495769,"True"
"41",41,1,1,41,0.5,0.06,1,"wave",4070,0,0,0.477886977886978,"True"
"42",42,1,1,42,0.5,0.06,1,"wave",4011,0,0,0.480927449513837,"True"
"43",43,1,1,43,0.5,0.06,1,"wave",3930,0,0,0.479898218829517,"True"
"44",44,1,1,44,0.5,0.06,1,"wave",3922,0,0,0.480877103518613,"True"
"45",45,1,1,45,0.5,0.06,1,"wave",3898,0,0,0.483324781939456,"True"
"46",46,1,1,46,0.5,0.06,1,"wave",3808,0,0,0.484243697478992,"True"
"47",47,1,1,47,0.5,0.06,1,"wave",3762,0,0,0.485380116959064,"True"
"48",48,1,1,48,0.5,0.06,1,"wave",3729,0,0,0.486189326897291,"True"
"49",49,1,1,49,0.5,0.06,1,"wave",3702,0,0,0.487034035656402,"True"
"50",50,1,1,50,0.5,0.06,1,"wave",3660,0,0,0.486612021857924,"True"
"51",51,1,1,51,0.5,0.06,1,"wave",3640,0,0,0.488461538461538,"True"
"52",52,1,1,52,0.5,0.06,1,"wave",3608,0,0,0.489190687361419,"True"
"53",53,1,2,1,0.5,0.06,1,"wave",3575,7,0,0.491188811188811,"False"
"54",54,1,2,2,0.5,0.06,1,"wave",3550,7,0,0.490140845070423,"False"
"55",55,1,2,3,0.5,0.06,1,"wave",3510,7,0,0.49002849002849,"False"
"56",56,1,2,4,0.5,0.06,1,"wave",3483,7,3,0.490668963537181,"False"
"57",57,1,2,5,0.5,0.06,1,"wave",3453,12,3,0.491167101071532,"False"
"58",58,1,2,6,0.5,0.06,1,"wave",3402,9,2,0.494415049970606,"False"
"59",59,1,2,7,0.5,0.06,1,"wave",3367,11,5,0.496584496584497,"False"
"60",60,1,2,8,0.5,0.06,1,"wave",3337,15,7,0.498351813005694,"False"
"61",61,1,2,9,0.5,0.06,1,"wave",3295,18,4,0.501365705614568,"False"
"62",62,1,2,10,0.5,0.06,1,"wave",3270,14,2,0.503058103975535,"False"
"63",63,1,2,11,0.5,0.06,1,"wave",3227,19,4,0.503873566780291,"False"
"64",64,1,2,12,0.5,0.06,1,"wave",3197,22,6,0.505161088520488,"False"
"65",65,1,2,13,0.5,0.06,1,"wave",3167,23,9,0.508999052731291,"False"
"66",66,1,2,14,0.5,0.06,1,"wave",3136,25,7,0.509885204081633,"False"
"67",67,1,2,15,0.5,0.06,1,"wave",3111,22,7,0.51173256187721,"False"
"68",68,1,2,16,0.5,0.06,1,"wave",3069,23,10,0.513522319973933,"False"
"69",69,1,2,17,0.5,0.06,1,"wave",3038,25,7,0.513495720868993,"False"
"70",70,1,2,18,0.5,0.06,1,"wave",5300,26,9,0.292641509433962,"False"
"71",71,1,2,19,0.5,0.06,1,"wave",5247,41,14,0.294263388603011,"False"
"72",72,1,2,20,0.5,0.06,1,"wave",5144,47,11,0.298211508553655,"False"
"73",73,1,2,21,0.5,0.06,1,"wave",5026,42,9,0.301432550736172,"False"
