rep,year,week,sero,disease,rate,type,total_pop,n_infected,n_symptomatic,actual_sero,elim
1,1,1,0.5,0.06,2,propagule,2903,0,0,0.496038580778505,True
1,1,2,0.5,0.06,2,propagule,2848,0,0,0.4961376404494382,True
1,1,3,0.5,0.06,2,propagule,2799,0,0,0.4955341193283315,True
1,1,4,0.5,0.06,2,propagule,2780,0,0,0.4956834532374101,True
1,1,5,0.5,0.06,2,propagule,2741,0,0,0.4968989419919737,True
1,1,6,0.5,0.06,2,propagule,2725,0,0,0.5001834862385321,True
1,1,7,0.5,0.06,2,propagule,2676,0,0,0.5029895366218237,True
1,1,8,0.5,0.06,2,propagule,2655,0,0,0.5043314500941619,True
1,1,9,0.5,0.06,2,propagule,2627,0,0,0.5074229158736201,True
1,1,10,0.5,0.06,2,propagule,2599,0,0,0.5055790688726434,True
1,1,11,0.5,0.06,2,propagule,2557,0,0,0.5091904575674618,True
1,1,12,0.5,0.06,2,propagule,2531,0,0,0.5088897668905571,True
1,1,13,0.5,0.06,2,propagule,2481,0,0,0.5106811769447803,True
1,1,14,0.5,0.06,2,propagule,2448,0,0,0.5098039215686274,True
1,1,15,0.5,0.06,2,propagule,2423,0,0,0.5092860090796533,True
1,1,16,0.5,0.06,2,propagule,2406,0,0,0.5087281795511222,True
1,1,17,0.5,0.06,2,propagule,2372,0,0,0.5084317032040472,True
1,1,18,0.5,0.06,2,propagule,6720,0,0,0.17946428571428572,True
1,1,19,0.5,0.06,2,propagule,6597,0,0,0.18265878429589208,True
1,1,20,0.5,0.06,2,propagule,6468,0,0,0.1859925788497217,True
1,1,21,0.5,0.06,2,propagule,6286,0,0,0.18867324212535794,True
1,1,22,0.5,0.06,2,propagule,6102,0,0,0.19370698131760078,True
1,1,23,0.5,0.06,2,propagule,5899,0,0,0.19664349889811833,True
1,1,24,0.5,0.06,2,propagule,5811,0,0,0.19841679573223198,True
1,1,25,0.5,0.06,2,propagule,5638,0,0,0.20148989003192622,True
1,1,26,0.5,0.06,2,propagule,5547,0,0,0.2047953848927348,True
1,1,27,0.5,0.06,2,propagule,5401,0,0,0.2079244584336234,True
1,1,28,0.5,0.06,2,propagule,5301,0,0,0.2109036030937559,True
1,1,29,0.5,0.06,2,propagule,5212,0,0,0.2146968534151957,True
1,1,30,0.5,0.06,2,propagule,5094,0,0,0.21967020023557127,True
1,1,31,0.5,0.06,2,propagule,5007,0,0,0.22288795686039545,True
1,1,32,0.5,0.06,2,propagule,4906,0,0,0.22808805544231553,True
1,1,33,0.5,0.06,2,propagule,4825,0,0,0.23378238341968913,True
1,1,34,0.5,0.06,2,propagule,4774,0,0,0.23607038123167157,True
1,1,35,0.5,0.06,2,propagule,4730,0,0,0.4913319238900634,True
1,1,36,0.5,0.06,2,propagule,4656,0,0,0.4952749140893471,True
1,1,37,0.5,0.06,2,propagule,4577,0,0,0.49901682324666813,True
1,1,38,0.5,0.06,2,propagule,4518,0,0,0.5022133687472333,True
1,1,39,0.5,0.06,2,propagule,4449,0,0,0.5039334681951,True
1,1,40,0.5,0.06,2,propagule,4372,0,0,0.505032021957914,True
1,1,41,0.5,0.06,2,propagule,4316,0,0,0.508109360518999,True
1,1,42,0.5,0.06,2,propagule,4255,0,0,0.5123384253819037,True
1,1,43,0.5,0.06,2,propagule,4182,0,0,0.5172166427546628,True
1,1,44,0.5,0.06,2,propagule,4028,0,0,0.522343594836147,True
1,1,45,0.5,0.06,2,propagule,3884,0,0,0.5267765190525232,True
1,1,46,0.5,0.06,2,propagule,3766,0,0,0.528146574614976,True
1,1,47,0.5,0.06,2,propagule,3665,0,0,0.5304229195088677,True
1,1,48,0.5,0.06,2,propagule,3603,0,0,0.5320566194837635,True
1,1,49,0.5,0.06,2,propagule,3566,0,0,0.5339315759955132,True
1,1,50,0.5,0.06,2,propagule,3503,0,0,0.5395375392520697,True
1,1,51,0.5,0.06,2,propagule,3475,0,0,0.543021582733813,True
1,1,52,0.5,0.06,2,propagule,3429,0,0,0.5453484981044037,True
1,2,1,0.5,0.06,2,propagule,3405,8,0,0.5459618208516887,False
1,2,2,0.5,0.06,2,propagule,3360,8,0,0.5464285714285714,False
1,2,3,0.5,0.06,2,propagule,3343,8,1,0.5483099012862698,False
1,2,4,0.5,0.06,2,propagule,3291,8,2,0.5493770890306897,False
1,2,5,0.5,0.06,2,propagule,3267,7,1,0.5506580961126416,False
1,2,6,0.5,0.06,2,propagule,3218,5,2,0.5546923555003107,False
1,2,7,0.5,0.06,2,propagule,3189,9,3,0.5544057698338037,False
1,2,8,0.5,0.06,2,propagule,3148,14,1,0.5552731893265566,False
1,2,9,0.5,0.06,2,propagule,3106,13,5,0.5569864777849324,False
1,2,10,0.5,0.06,2,propagule,3063,19,9,0.5595821090434214,False
1,2,11,0.5,0.06,2,propagule,3003,20,7,0.5597735597735598,False
1,2,12,0.5,0.06,2,propagule,2957,23,5,0.5657761244504566,False
1,2,13,0.5,0.06,2,propagule,2913,23,5,0.566083075866804,False
1,2,14,0.5,0.06,2,propagule,2882,31,6,0.5669673837612769,False
1,2,15,0.5,0.06,2,propagule,2836,31,13,0.5705218617771509,False
1,2,16,0.5,0.06,2,propagule,2799,32,16,0.5698463737048947,False
1,2,17,0.5,0.06,2,propagule,2742,27,15,0.574033552151714,False
1,2,18,0.5,0.06,2,propagule,5320,24,15,0.293796992481203,False
1,2,19,0.5,0.06,2,propagule,5180,29,8,0.2996138996138996,False
1,2,20,0.5,0.06,2,propagule,5066,35,10,0.30635609948677456,False
1,2,21,0.5,0.06,2,propagule,4952,49,10,0.31037964458804523,False
1,2,22,0.5,0.06,2,propagule,4851,44,11,0.3156050298907442,False
