"","rep","year","week","sero","disease","rate","type","total_pop","n_infected","n_symptomatic","actual_sero","elim"
"1",1,1,1,0.6,0.045,1.5,"wave",2883,0,0,0.598335067637877,"True"
"2",1,1,2,0.6,0.045,1.5,"wave",2836,0,0,0.595204513399154,"True"
"3",1,1,3,0.6,0.045,1.5,"wave",2753,0,0,0.596077006901562,"True"
"4",1,1,4,0.6,0.045,1.5,"wave",2708,0,0,0.599704579025111,"True"
"5",1,1,5,0.6,0.045,1.5,"wave",2662,0,0,0.59992486851991,"True"
"6",1,1,6,0.6,0.045,1.5,"wave",2626,0,0,0.598629093678599,"True"
"7",1,1,7,0.6,0.045,1.5,"wave",2571,0,0,0.599377674056787,"True"
"8",1,1,8,0.6,0.045,1.5,"wave",2528,0,0,0.600474683544304,"True"
"9",1,1,9,0.6,0.045,1.5,"wave",2464,0,0,0.602272727272727,"True"
"10",1,1,10,0.6,0.045,1.5,"wave",2434,0,0,0.600657354149548,"True"
"11",1,1,11,0.6,0.045,1.5,"wave",2384,0,0,0.599832214765101,"True"
"12",1,1,12,0.6,0.045,1.5,"wave",2342,0,0,0.602049530315969,"True"
"13",1,1,13,0.6,0.045,1.5,"wave",2290,0,0,0.602183406113537,"True"
"14",1,1,14,0.6,0.045,1.5,"wave",2248,0,0,0.60364768683274,"True"
"15",1,1,15,0.6,0.045,1.5,"wave",2224,0,0,0.60431654676259,"True"
"16",1,1,16,0.6,0.045,1.5,"wave",2211,0,0,0.603799185888738,"True"
"17",1,1,17,0.6,0.045,1.5,"wave",2182,0,0,0.604949587534372,"True"
"18",1,1,18,0.6,0.045,1.5,"wave",6077,0,0,0.213098568372552,"True"
"19",1,1,19,0.6,0.045,1.5,"wave",5973,0,0,0.21613929348736,"True"
"20",1,1,20,0.6,0.045,1.5,"wave",5781,0,0,0.221760941013665,"True"
"21",1,1,21,0.6,0.045,1.5,"wave",5593,0,0,0.225639191846952,"True"
"22",1,1,22,0.6,0.045,1.5,"wave",5459,0,0,0.228796482872321,"True"
"23",1,1,23,0.6,0.045,1.5,"wave",5337,0,0,0.23327712197864,"True"
"24",1,1,24,0.6,0.045,1.5,"wave",5210,0,0,0.235700575815739,"True"
"25",1,1,25,0.6,0.045,1.5,"wave",5049,0,0,0.236878589819766,"True"
"26",1,1,26,0.6,0.045,1.5,"wave",4884,0,0,0.241605241605242,"True"
"27",1,1,27,0.6,0.045,1.5,"wave",4776,0,0,0.243509212730318,"True"
"28",1,1,28,0.6,0.045,1.5,"wave",4677,0,0,0.2473807996579,"True"
"29",1,1,29,0.6,0.045,1.5,"wave",4568,0,0,0.249343257443082,"True"
"30",1,1,30,0.6,0.045,1.5,"wave",4481,0,0,0.253738004909618,"True"
"31",1,1,31,0.6,0.045,1.5,"wave",4392,0,0,0.256375227686703,"True"
"32",1,1,32,0.6,0.045,1.5,"wave",4310,0,0,0.259396751740139,"True"
"33",1,1,33,0.6,0.045,1.5,"wave",4215,0,0,0.261209964412811,"True"
"34",1,1,34,0.6,0.045,1.5,"wave",4089,0,0,0.265590608950844,"True"
"35",1,1,35,0.6,0.045,1.5,"wave",4000,0,0,0.5345,"True"
"36",1,1,36,0.6,0.045,1.5,"wave",3926,0,0,0.535914416709119,"True"
"37",1,1,37,0.6,0.045,1.5,"wave",3852,0,0,0.536604361370717,"True"
"38",1,1,38,0.6,0.045,1.5,"wave",3814,0,0,0.538017829050865,"True"
"39",1,1,39,0.6,0.045,1.5,"wave",3775,0,0,0.539602649006622,"True"
"40",1,1,40,0.6,0.045,1.5,"wave",3714,0,0,0.540387722132472,"True"
"41",1,1,41,0.6,0.045,1.5,"wave",3766,0,0,0.537440254912374,"True"
"42",1,1,42,0.6,0.045,1.5,"wave",3726,0,0,0.533816425120773,"True"
"43",1,1,43,0.6,0.045,1.5,"wave",3665,0,0,0.536152796725784,"True"
"44",1,1,44,0.6,0.045,1.5,"wave",3661,0,0,0.535919147773832,"True"
