"","rep","year","week","sero","disease","rate","type","total_pop","n_infected","n_symptomatic","actual_sero","elim"
"1",1,1,1,0.6,0.06,1,"propagule",2743,0,0,0.590594239883339,"True"
"2",1,1,2,0.6,0.06,1,"propagule",2733,0,0,0.59348701061105,"True"
"3",1,1,3,0.6,0.06,1,"propagule",2658,0,0,0.592174567343868,"True"
"4",1,1,4,0.6,0.06,1,"propagule",2615,0,0,0.596940726577438,"True"
"5",1,1,5,0.6,0.06,1,"propagule",2557,0,0,0.596793116933907,"True"
"6",1,1,6,0.6,0.06,1,"propagule",2521,0,0,0.597381991273304,"True"
"7",1,1,7,0.6,0.06,1,"propagule",2480,0,0,0.597983870967742,"True"
"8",1,1,8,0.6,0.06,1,"propagule",2452,0,0,0.597063621533442,"True"
"9",1,1,9,0.6,0.06,1,"propagule",2410,0,0,0.598755186721992,"True"
"10",1,1,10,0.6,0.06,1,"propagule",2412,0,0,0.601160862354892,"True"
"11",1,1,11,0.6,0.06,1,"propagule",2387,0,0,0.600754084625052,"True"
"12",1,1,12,0.6,0.06,1,"propagule",2372,0,0,0.602445193929174,"True"
"13",1,1,13,0.6,0.06,1,"propagule",2344,0,0,0.60537542662116,"True"
"14",1,1,14,0.6,0.06,1,"propagule",2332,0,0,0.607204116638079,"True"
"15",1,1,15,0.6,0.06,1,"propagule",2310,0,0,0.608225108225108,"True"
"16",1,1,16,0.6,0.06,1,"propagule",2294,0,0,0.60767218831735,"True"
"17",1,1,17,0.6,0.06,1,"propagule",2271,0,0,0.608542492294144,"True"
"18",1,1,18,0.6,0.06,1,"propagule",6473,0,0,0.213656727946856,"True"
"19",1,1,19,0.6,0.06,1,"propagule",6314,0,0,0.215711118150143,"True"
"20",1,1,20,0.6,0.06,1,"propagule",6222,0,0,0.219704275152684,"True"
"21",1,1,21,0.6,0.06,1,"propagule",6061,0,0,0.22257053291536,"True"
"22",1,1,22,0.6,0.06,1,"propagule",5939,0,0,0.226300724027614,"True"
"23",1,1,23,0.6,0.06,1,"propagule",5807,0,0,0.230755984157052,"True"
"24",1,1,24,0.6,0.06,1,"propagule",5726,0,0,0.233496332518337,"True"
"25",1,1,25,0.6,0.06,1,"propagule",5583,0,0,0.23625291062153,"True"
"26",1,1,26,0.6,0.06,1,"propagule",5514,0,0,0.238121146173377,"True"
"27",1,1,27,0.6,0.06,1,"propagule",5378,0,0,0.241167720342135,"True"
"28",1,1,28,0.6,0.06,1,"propagule",5315,0,0,0.244214487300094,"True"
"29",1,1,29,0.6,0.06,1,"propagule",5212,0,0,0.24712202609363,"True"
"30",1,1,30,0.6,0.06,1,"propagule",5097,0,0,0.251128114577202,"True"
"31",1,1,31,0.6,0.06,1,"propagule",4997,0,0,0.254552731638983,"True"
"32",1,1,32,0.6,0.06,1,"propagule",4912,0,0,0.258754071661238,"True"
"33",1,1,33,0.6,0.06,1,"propagule",4824,0,0,0.26181592039801,"True"
"34",1,1,34,0.6,0.06,1,"propagule",4757,0,0,0.265293252049611,"True"
"35",1,1,35,0.6,0.06,1,"propagule",4670,0,0,0.533190578158458,"True"
"36",1,1,36,0.6,0.06,1,"propagule",4587,0,0,0.534554174841945,"True"
"37",1,1,37,0.6,0.06,1,"propagule",4506,0,0,0.53728362183755,"True"
"38",1,1,38,0.6,0.06,1,"propagule",4437,0,0,0.540004507550147,"True"
"39",1,1,39,0.6,0.06,1,"propagule",4372,0,0,0.543458371454712,"True"
"40",1,1,40,0.6,0.06,1,"propagule",4315,0,0,0.544380069524913,"True"
"41",1,1,41,0.6,0.06,1,"propagule",4423,0,0,0.54510513226317,"True"
"42",1,1,42,0.6,0.06,1,"propagule",4417,0,0,0.546298392574145,"True"
"43",1,1,43,0.6,0.06,1,"propagule",4383,0,0,0.546885694729637,"True"
"44",1,1,44,0.6,0.06,1,"propagule",4339,0,0,0.54805254666974,"True"
"45",1,1,45,0.6,0.06,1,"propagule",4351,0,0,0.54585152838428,"True"
"46",1,1,46,0.6,0.06,1,"propagule",4225,0,0,0.548165680473373,"True"
"47",1,1,47,0.6,0.06,1,"propagule",4184,0,0,0.551625239005736,"True"
"48",1,1,48,0.6,0.06,1,"propagule",4167,0,0,0.552435805135589,"True"
"49",1,1,49,0.6,0.06,1,"propagule",4128,0,0,0.552567829457364,"True"
"50",1,1,50,0.6,0.06,1,"propagule",4093,0,0,0.554361104324456,"True"
"51",1,1,51,0.6,0.06,1,"propagule",4044,0,0,0.554401582591494,"True"
"52",1,1,52,0.6,0.06,1,"propagule",4012,0,0,0.555084745762712,"True"
"53",1,2,1,0.6,0.06,1,"propagule",3969,7,0,0.556815318720081,"False"
"54",1,2,2,0.6,0.06,1,"propagule",3933,7,0,0.557335367404017,"False"
"55",1,2,3,0.6,0.06,1,"propagule",3901,7,0,0.559087413483722,"False"
"56",1,2,4,0.6,0.06,1,"propagule",3866,7,3,0.561045007759959,"False"
"57",1,2,5,0.6,0.06,1,"propagule",3821,8,5,0.558230829625752,"False"
"58",1,2,6,0.6,0.06,1,"propagule",3784,5,3,0.560782241014799,"False"
"59",1,2,7,0.6,0.06,1,"propagule",3753,4,2,0.563815614175326,"False"
"60",1,2,8,0.6,0.06,1,"propagule",3714,3,2,0.563543349488422,"False"
"61",1,2,9,0.6,0.06,1,"propagule",3663,2,2,0.561834561834562,"False"
"62",1,2,10,0.6,0.06,1,"propagule",3621,1,1,0.567246616956642,"False"
"63",1,2,11,0.6,0.06,1,"propagule",3586,0,0,0.56664807585053,"True"
"64",1,2,12,0.6,0.06,1,"propagule",3546,0,0,0.567681895093063,"True"
"65",1,2,13,0.6,0.06,1,"propagule",3517,0,0,0.570088143303952,"True"
"66",1,2,14,0.6,0.06,1,"propagule",3481,0,0,0.57454754380925,"True"
"67",1,2,15,0.6,0.06,1,"propagule",3434,0,0,0.57251019219569,"True"
