"","X","rep","year","week","sero","disease","rate","type","total_pop","n_infected","n_symptomatic","actual_sero","elim"
"1",1,1,1,1,0.6,0,1,"wave",2661,0,0,0.602780909432544,"True"
"2",2,1,1,2,0.6,0,1,"wave",2616,0,0,0.605122324159021,"True"
"3",3,1,1,3,0.6,0,1,"wave",2544,0,0,0.604559748427673,"True"
"4",4,1,1,4,0.6,0,1,"wave",2490,0,0,0.608032128514056,"True"
"5",5,1,1,5,0.6,0,1,"wave",2435,0,0,0.607802874743327,"True"
"6",6,1,1,6,0.6,0,1,"wave",2386,0,0,0.6081307627829,"True"
"7",7,1,1,7,0.6,0,1,"wave",2338,0,0,0.608212147134303,"True"
"8",8,1,1,8,0.6,0,1,"wave",2284,0,0,0.610332749562172,"True"
"9",9,1,1,9,0.6,0,1,"wave",2247,0,0,0.611036938139742,"True"
"10",10,1,1,10,0.6,0,1,"wave",2192,0,0,0.610401459854015,"True"
"11",11,1,1,11,0.6,0,1,"wave",2127,0,0,0.615890926187118,"True"
"12",12,1,1,12,0.6,0,1,"wave",2094,0,0,0.617000955109838,"True"
"13",13,1,1,13,0.6,0,1,"wave",2050,0,0,0.62,"True"
"14",14,1,1,14,0.6,0,1,"wave",2026,0,0,0.62142152023692,"True"
"15",15,1,1,15,0.6,0,1,"wave",2001,0,0,0.623688155922039,"True"
"16",16,1,1,16,0.6,0,1,"wave",1960,0,0,0.623469387755102,"True"
"17",17,1,1,17,0.6,0,1,"wave",1936,0,0,0.625,"True"
"18",18,1,1,18,0.6,0,1,"wave",5634,0,0,0.214412495562655,"True"
"19",19,1,1,19,0.6,0,1,"wave",5514,0,0,0.216358360536815,"True"
"20",20,1,1,20,0.6,0,1,"wave",5317,0,0,0.220801203686289,"True"
"21",21,1,1,21,0.6,0,1,"wave",5216,0,0,0.224884969325153,"True"
"22",22,1,1,22,0.6,0,1,"wave",5069,0,0,0.22963109094496,"True"
"23",23,1,1,23,0.6,0,1,"wave",4968,0,0,0.23389694041868,"True"
"24",24,1,1,24,0.6,0,1,"wave",4841,0,0,0.236314810989465,"True"
"25",25,1,1,25,0.6,0,1,"wave",4719,0,0,0.240728968001695,"True"
"26",26,1,1,26,0.6,0,1,"wave",4602,0,0,0.24380704041721,"True"
"27",27,1,1,27,0.6,0,1,"wave",4510,0,0,0.246119733924612,"True"
"28",28,1,1,28,0.6,0,1,"wave",4380,0,0,0.249771689497717,"True"
"29",29,1,1,29,0.6,0,1,"wave",4256,0,0,0.254934210526316,"True"
"30",30,1,1,30,0.6,0,1,"wave",4164,0,0,0.257684918347743,"True"
"31",31,1,1,31,0.6,0,1,"wave",4070,0,0,0.261670761670762,"True"
"32",32,1,1,32,0.6,0,1,"wave",3988,0,0,0.26579739217653,"True"
"33",33,1,1,33,0.6,0,1,"wave",3928,0,0,0.270112016293279,"True"
"34",34,1,1,34,0.6,0,1,"wave",3842,0,0,0.274596564289433,"True"
"35",35,1,1,35,0.6,0,1,"wave",3768,0,0,0.546974522292994,"True"
"36",36,1,1,36,0.6,0,1,"wave",3705,0,0,0.550067476383266,"True"
"37",37,1,1,37,0.6,0,1,"wave",3632,0,0,0.550660792951542,"True"
"38",38,1,1,38,0.6,0,1,"wave",3595,0,0,0.55076495132128,"True"
"39",39,1,1,39,0.6,0,1,"wave",3559,0,0,0.550154537791514,"True"
"40",40,1,1,40,0.6,0,1,"wave",3512,0,0,0.551822323462415,"True"
"41",41,1,1,41,0.6,0,1,"wave",3592,0,0,0.548997772828508,"True"
