"","X","rep","year","week","sero","disease","rate","type","total_pop","n_infected","n_symptomatic","actual_sero","elim"
"1",1,1,1,1,0.7,0.045,0.5,"wave",2682,0,0,0.703952274422073,"True"
"2",2,1,1,2,0.7,0.045,0.5,"wave",2660,0,0,0.70187969924812,"True"
"3",3,1,1,3,0.7,0.045,0.5,"wave",2576,0,0,0.703804347826087,"True"
"4",4,1,1,4,0.7,0.045,0.5,"wave",2557,0,0,0.705123191239734,"True"
"5",5,1,1,5,0.7,0.045,0.5,"wave",2506,0,0,0.706703910614525,"True"
"6",6,1,1,6,0.7,0.045,0.5,"wave",2482,0,0,0.708299758259468,"True"
"7",7,1,1,7,0.7,0.045,0.5,"wave",2423,0,0,0.711101939744119,"True"
"8",8,1,1,8,0.7,0.045,0.5,"wave",2380,0,0,0.712605042016807,"True"
"9",9,1,1,9,0.7,0.045,0.5,"wave",2325,0,0,0.715268817204301,"True"
"10",10,1,1,10,0.7,0.045,0.5,"wave",2305,0,0,0.715835140997831,"True"
"11",11,1,1,11,0.7,0.045,0.5,"wave",2278,0,0,0.71729587357331,"True"
"12",12,1,1,12,0.7,0.045,0.5,"wave",2261,0,0,0.715612560813799,"True"
"13",13,1,1,13,0.7,0.045,0.5,"wave",2233,0,0,0.718316166592029,"True"
"14",14,1,1,14,0.7,0.045,0.5,"wave",2235,0,0,0.718120805369127,"True"
"15",15,1,1,15,0.7,0.045,0.5,"wave",2197,0,0,0.720072826581702,"True"
"16",16,1,1,16,0.7,0.045,0.5,"wave",2195,0,0,0.719362186788155,"True"
"17",17,1,1,17,0.7,0.045,0.5,"wave",2177,0,0,0.719797887000459,"True"
"18",18,1,1,18,0.7,0.045,0.5,"wave",6603,0,0,0.237013478721793,"True"
"19",19,1,1,19,0.7,0.045,0.5,"wave",6476,0,0,0.240117356392835,"True"
"20",20,1,1,20,0.7,0.045,0.5,"wave",6365,0,0,0.242576590730558,"True"
"21",21,1,1,21,0.7,0.045,0.5,"wave",6211,0,0,0.246176139108034,"True"
"22",22,1,1,22,0.7,0.045,0.5,"wave",6084,0,0,0.250328731097962,"True"
"23",23,1,1,23,0.7,0.045,0.5,"wave",5880,0,0,0.255102040816327,"True"
"24",24,1,1,24,0.7,0.045,0.5,"wave",5770,0,0,0.259098786828423,"True"
"25",25,1,1,25,0.7,0.045,0.5,"wave",5622,0,0,0.263251511917467,"True"
"26",26,1,1,26,0.7,0.045,0.5,"wave",5549,0,0,0.26581366011894,"True"
"27",27,1,1,27,0.7,0.045,0.5,"wave",5390,0,0,0.271243042671614,"True"
"28",28,1,1,28,0.7,0.045,0.5,"wave",5324,0,0,0.274229902329076,"True"
"29",29,1,1,29,0.7,0.045,0.5,"wave",5204,0,0,0.277671022290546,"True"
"30",30,1,1,30,0.7,0.045,0.5,"wave",5117,0,0,0.280437756497948,"True"
"31",31,1,1,31,0.7,0.045,0.5,"wave",5008,0,0,0.28314696485623,"True"
