"","rep","year","week","sero","disease","rate","type","total_pop","n_infected","n_symptomatic","actual_sero","elim"
"1",1,1,1,0.7,0.045,2.5,"propagule",2826,0,0,0.704175513092711,"True"
"2",1,1,2,0.7,0.045,2.5,"propagule",2825,0,0,0.702654867256637,"True"
"3",1,1,3,0.7,0.045,2.5,"propagule",2770,0,0,0.703249097472924,"True"
"4",1,1,4,0.7,0.045,2.5,"propagule",2754,0,0,0.705882352941177,"True"
"5",1,1,5,0.7,0.045,2.5,"propagule",2706,0,0,0.70509977827051,"True"
"6",1,1,6,0.7,0.045,2.5,"propagule",2679,0,0,0.706233669279582,"True"
"7",1,1,7,0.7,0.045,2.5,"propagule",2618,0,0,0.705118411000764,"True"
"8",1,1,8,0.7,0.045,2.5,"propagule",2597,0,0,0.706584520600693,"True"
"9",1,1,9,0.7,0.045,2.5,"propagule",2549,0,0,0.707728520988623,"True"
"10",1,1,10,0.7,0.045,2.5,"propagule",2528,0,0,0.708069620253165,"True"
"11",1,1,11,0.7,0.045,2.5,"propagule",2487,0,0,0.710092480900684,"True"
"12",1,1,12,0.7,0.045,2.5,"propagule",2463,0,0,0.710921640276086,"True"
"13",1,1,13,0.7,0.045,2.5,"propagule",2448,0,0,0.709967320261438,"True"
"14",1,1,14,0.7,0.045,2.5,"propagule",2387,0,0,0.711772098868873,"True"
"15",1,1,15,0.7,0.045,2.5,"propagule",2374,0,0,0.7106149957877,"True"
"16",1,1,16,0.7,0.045,2.5,"propagule",2341,0,0,0.71123451516446,"True"
"17",1,1,17,0.7,0.045,2.5,"propagule",2295,0,0,0.710239651416122,"True"
"18",1,1,18,0.7,0.045,2.5,"propagule",6505,0,0,0.247348193697156,"True"
"19",1,1,19,0.7,0.045,2.5,"propagule",6351,0,0,0.25019681939852,"True"
"20",1,1,20,0.7,0.045,2.5,"propagule",6195,0,0,0.254721549636804,"True"
"21",1,1,21,0.7,0.045,2.5,"propagule",6072,0,0,0.258069828722003,"True"
"22",1,1,22,0.7,0.045,2.5,"propagule",5922,0,0,0.261735900033772,"True"
"23",1,1,23,0.7,0.045,2.5,"propagule",5787,0,0,0.264731294280283,"True"
"24",1,1,24,0.7,0.045,2.5,"propagule",5634,0,0,0.268015619453319,"True"
