rep,year,week,sero,disease,rate,type,total_pop,n_infected,n_symptomatic,actual_sero,elim
38,1,1,0.7,0.03,1.0,propagule,2686,0,0,0.6950856291883842,True
38,1,2,0.7,0.03,1.0,propagule,2658,0,0,0.6945071482317532,True
38,1,3,0.7,0.03,1.0,propagule,2588,0,0,0.6920401854714064,True
38,1,4,0.7,0.03,1.0,propagule,2546,0,0,0.6920659858601729,True
38,1,5,0.7,0.03,1.0,propagule,2509,0,0,0.6911119968114787,True
38,1,6,0.7,0.03,1.0,propagule,2486,0,0,0.6902654867256637,True
38,1,7,0.7,0.03,1.0,propagule,2433,0,0,0.6929716399506781,True
38,1,8,0.7,0.03,1.0,propagule,2401,0,0,0.6922115785089547,True
38,1,9,0.7,0.03,1.0,propagule,2363,0,0,0.6953025814642404,True
38,1,10,0.7,0.03,1.0,propagule,2327,0,0,0.6944563816072196,True
38,1,11,0.7,0.03,1.0,propagule,2299,0,0,0.6955197912135711,True
38,1,12,0.7,0.03,1.0,propagule,2291,0,0,0.6966390222610214,True
38,1,13,0.7,0.03,1.0,propagule,2260,0,0,0.6951327433628318,True
38,1,14,0.7,0.03,1.0,propagule,2233,0,0,0.6932377966860725,True
38,1,15,0.7,0.03,1.0,propagule,2225,0,0,0.6948314606741574,True
38,1,16,0.7,0.03,1.0,propagule,2178,0,0,0.6937557392102847,True
38,1,17,0.7,0.03,1.0,propagule,2170,0,0,0.6967741935483871,True
38,1,18,0.7,0.03,1.0,propagule,6143,0,0,0.24629659775354062,True
38,1,19,0.7,0.03,1.0,propagule,6007,0,0,0.24854336607291494,True
38,1,20,0.7,0.03,1.0,propagule,5883,0,0,0.25021247662757096,True
38,1,21,0.7,0.03,1.0,propagule,5769,0,0,0.25377015080603227,True
38,1,22,0.7,0.03,1.0,propagule,5647,0,0,0.2569505932353462,True
38,1,23,0.7,0.03,1.0,propagule,5540,0,0,0.26010830324909745,True
38,1,24,0.7,0.03,1.0,propagule,5409,0,0,0.26234054353854686,True
38,1,25,0.7,0.03,1.0,propagule,5292,0,0,0.26643990929705214,True
38,1,26,0.7,0.03,1.0,propagule,5196,0,0,0.26963048498845266,True
38,1,27,0.7,0.03,1.0,propagule,5081,0,0,0.2741586301909073,True
38,1,28,0.7,0.03,1.0,propagule,4979,0,0,0.27555734083149225,True
38,1,29,0.7,0.03,1.0,propagule,4864,0,0,0.2800164473684211,True
38,1,30,0.7,0.03,1.0,propagule,4782,0,0,0.28544542032622333,True
38,1,31,0.7,0.03,1.0,propagule,4707,0,0,0.2889313787975356,True
38,1,32,0.7,0.03,1.0,propagule,4616,0,0,0.2920277296360485,True
38,1,33,0.7,0.03,1.0,propagule,4535,0,0,0.29614112458654906,True
38,1,34,0.7,0.03,1.0,propagule,4451,0,0,0.2999325994158616,True
38,1,35,0.7,0.03,1.0,propagule,4371,0,0,0.5886524822695035,True
38,1,36,0.7,0.03,1.0,propagule,4312,0,0,0.588821892393321,True
38,1,37,0.7,0.03,1.0,propagule,4257,0,0,0.5914963589382194,True
38,1,38,0.7,0.03,1.0,propagule,4206,0,0,0.5922491678554446,True
38,1,39,0.7,0.03,1.0,propagule,4144,0,0,0.5941119691119691,True
38,1,40,0.7,0.03,1.0,propagule,4107,0,0,0.5945945945945946,True
38,1,41,0.7,0.03,1.0,propagule,4191,0,0,0.5948460987831067,True
