"","rep","year","week","sero","disease","rate","type","total_pop","n_infected","n_symptomatic","actual_sero","elim"
"1",1,1,1,0.8,0,0.5,"propagule",2902,0,0,0.801860785665059,"True"
"2",1,1,2,0.8,0,0.5,"propagule",2862,0,0,0.802236198462614,"True"
"3",1,1,3,0.8,0,0.5,"propagule",2800,0,0,0.803928571428571,"True"
"4",1,1,4,0.8,0,0.5,"propagule",2776,0,0,0.801873198847262,"True"
"5",1,1,5,0.8,0,0.5,"propagule",2709,0,0,0.803617571059432,"True"
"6",1,1,6,0.8,0,0.5,"propagule",2707,0,0,0.803472478758774,"True"
"7",1,1,7,0.8,0,0.5,"propagule",2671,0,0,0.805316360913516,"True"
"8",1,1,8,0.8,0,0.5,"propagule",2659,0,0,0.804813839789394,"True"
"9",1,1,9,0.8,0,0.5,"propagule",2622,0,0,0.80511060259344,"True"
"10",1,1,10,0.8,0,0.5,"propagule",2617,0,0,0.804738249904471,"True"
"11",1,1,11,0.8,0,0.5,"propagule",2568,0,0,0.803738317757009,"True"
"12",1,1,12,0.8,0,0.5,"propagule",2555,0,0,0.803913894324853,"True"
"13",1,1,13,0.8,0,0.5,"propagule",2515,0,0,0.803180914512923,"True"
"14",1,1,14,0.8,0,0.5,"propagule",2503,0,0,0.803036356372353,"True"
"15",1,1,15,0.8,0,0.5,"propagule",2476,0,0,0.804119547657512,"True"
"16",1,1,16,0.8,0,0.5,"propagule",2465,0,0,0.804056795131846,"True"
"17",1,1,17,0.8,0,0.5,"propagule",2430,0,0,0.805761316872428,"True"
"18",1,1,18,0.8,0,0.5,"propagule",7077,0,0,0.276670905751024,"True"
"19",1,1,19,0.8,0,0.5,"propagule",6968,0,0,0.279563719862227,"True"
"20",1,1,20,0.8,0,0.5,"propagule",6864,0,0,0.28277972027972,"True"
"21",1,1,21,0.8,0,0.5,"propagule",6715,0,0,0.287118391660462,"True"
"22",1,1,22,0.8,0,0.5,"propagule",6552,0,0,0.291819291819292,"True"
