"","rep","year","week","sero","disease","rate","type","total_pop","n_infected","n_symptomatic","actual_sero","elim"
"1",1,1,1,0.8,0,2,"wave",2840,0,0,0.796478873239437,"True"
"2",1,1,2,0.8,0,2,"wave",2788,0,0,0.796628407460545,"True"
"3",1,1,3,0.8,0,2,"wave",2733,0,0,0.798024149286498,"True"
"4",1,1,4,0.8,0,2,"wave",2704,0,0,0.799926035502959,"True"
"5",1,1,5,0.8,0,2,"wave",2683,0,0,0.798732761833768,"True"
"6",1,1,6,0.8,0,2,"wave",2671,0,0,0.800074878322726,"True"
"7",1,1,7,0.8,0,2,"wave",2645,0,0,0.798487712665406,"True"
"8",1,1,8,0.8,0,2,"wave",2629,0,0,0.798782807151008,"True"
"9",1,1,9,0.8,0,2,"wave",2604,0,0,0.798387096774194,"True"
"10",1,1,10,0.8,0,2,"wave",2592,0,0,0.798996913580247,"True"
"11",1,1,11,0.8,0,2,"wave",2565,0,0,0.8,"True"
"12",1,1,12,0.8,0,2,"wave",2546,0,0,0.800864100549882,"True"
"13",1,1,13,0.8,0,2,"wave",2532,0,0,0.802527646129542,"True"
"14",1,1,14,0.8,0,2,"wave",2508,0,0,0.802232854864434,"True"
"15",1,1,15,0.8,0,2,"wave",2490,0,0,0.803614457831325,"True"
"16",1,1,16,0.8,0,2,"wave",2475,0,0,0.803636363636364,"True"
"17",1,1,17,0.8,0,2,"wave",2462,0,0,0.803411860276198,"True"
"18",1,1,18,0.8,0,2,"wave",6796,0,0,0.288846380223661,"True"
"19",1,1,19,0.8,0,2,"wave",6693,0,0,0.291647990437771,"True"
"20",1,1,20,0.8,0,2,"wave",6577,0,0,0.295727535350464,"True"
"21",1,1,21,0.8,0,2,"wave",6472,0,0,0.298825710754017,"True"
"22",1,1,22,0.8,0,2,"wave",6372,0,0,0.301946013810421,"True"
"23",1,1,23,0.8,0,2,"wave",6235,0,0,0.306816359262229,"True"
"24",1,1,24,0.8,0,2,"wave",6123,0,0,0.310142087212151,"True"
"25",1,1,25,0.8,0,2,"wave",5996,0,0,0.312041360907272,"True"
"26",1,1,26,0.8,0,2,"wave",5760,0,0,0.315972222222222,"True"
"27",1,1,27,0.8,0,2,"wave",5637,0,0,0.320737981195671,"True"
"28",1,1,28,0.8,0,2,"wave",5521,0,0,0.323129867777577,"True"
"29",1,1,29,0.8,0,2,"wave",5428,0,0,0.327192336035372,"True"
"30",1,1,30,0.8,0,2,"wave",5303,0,0,0.33151046577409,"True"
"31",1,1,31,0.8,0,2,"wave",5217,0,0,0.335441824803527,"True"
"32",1,1,32,0.8,0,2,"wave",5142,0,0,0.338778685336445,"True"
"33",1,1,33,0.8,0,2,"wave",5063,0,0,0.340707090657713,"True"
"34",1,1,34,0.8,0,2,"wave",4936,0,0,0.345421393841167,"True"
"35",1,1,35,0.8,0,2,"wave",4834,0,0,0.638808440215143,"True"
"36",1,1,36,0.8,0,2,"wave",4774,0,0,0.639715123586091,"True"
"37",1,1,37,0.8,0,2,"wave",4692,0,0,0.642156862745098,"True"
"38",1,1,38,0.8,0,2,"wave",4646,0,0,0.642488161859664,"True"
"39",1,1,39,0.8,0,2,"wave",4586,0,0,0.64544265154819,"True"
"40",1,1,40,0.8,0,2,"wave",4539,0,0,0.645076007931262,"True"
"41",1,1,41,0.8,0,2,"wave",4567,0,0,0.641340048171666,"True"
"42",1,1,42,0.8,0,2,"wave",4546,0,0,0.638583369995601,"True"
"43",1,1,43,0.8,0,2,"wave",4526,0,0,0.640300486080424,"True"
"44",1,1,44,0.8,0,2,"wave",4513,0,0,0.642809660979393,"True"
"45",1,1,45,0.8,0,2,"wave",4519,0,0,0.641956184996681,"True"
"46",1,1,46,0.8,0,2,"wave",4437,0,0,0.641875140860942,"True"
"47",1,1,47,0.8,0,2,"wave",4403,0,0,0.643197819668408,"True"
"48",1,1,48,0.8,0,2,"wave",4368,0,0,0.644230769230769,"True"
"49",1,1,49,0.8,0,2,"wave",4328,0,0,0.646256931608133,"True"
"50",1,1,50,0.8,0,2,"wave",4271,0,0,0.646921095762117,"True"
"51",1,1,51,0.8,0,2,"wave",4234,0,0,0.647614548889939,"True"
"52",1,1,52,0.8,0,2,"wave",4203,0,0,0.648108493932905,"True"
"53",1,2,1,0.8,0,2,"wave",4165,7,0,0.648499399759904,"False"
"54",1,2,2,0.8,0,2,"wave",4115,7,0,0.648845686512758,"False"
"55",1,2,3,0.8,0,2,"wave",4065,6,1,0.65239852398524,"False"
"56",1,2,4,0.8,0,2,"wave",4027,7,4,0.652594983858952,"False"
"57",1,2,5,0.8,0,2,"wave",3994,9,5,0.654732098147221,"False"
"58",1,2,6,0.8,0,2,"wave",3962,9,3,0.653962645128723,"False"
"59",1,2,7,0.8,0,2,"wave",3918,8,2,0.657223072996427,"False"
"60",1,2,8,0.8,0,2,"wave",3882,7,4,0.655589902112313,"False"
"61",1,2,9,0.8,0,2,"wave",3861,6,4,0.660709660709661,"False"
"62",1,2,10,0.8,0,2,"wave",3819,3,1,0.661691542288557,"False"
"63",1,2,11,0.8,0,2,"wave",3776,2,1,0.663135593220339,"False"
"64",1,2,12,0.8,0,2,"wave",3732,2,1,0.664790996784566,"False"
"65",1,2,13,0.8,0,2,"wave",3699,1,0,0.664503919978373,"False"
"66",1,2,14,0.8,0,2,"wave",3660,1,1,0.666120218579235,"False"
"67",1,2,15,0.8,0,2,"wave",3629,1,1,0.667401488013227,"False"
"68",1,2,16,0.8,0,2,"wave",3591,0,0,0.668894458368143,"True"
"69",1,2,17,0.8,0,2,"wave",3550,0,0,0.669295774647887,"True"
"70",1,2,18,0.8,0,2,"wave",6335,0,0,0.373007103393844,"True"
"71",1,2,19,0.8,0,2,"wave",6223,0,0,0.374578177727784,"True"
"72",1,2,20,0.8,0,2,"wave",6092,0,0,0.377872619829284,"True"
"73",1,2,21,0.8,0,2,"wave",6009,0,0,0.382759194541521,"True"
"74",1,2,22,0.8,0,2,"wave",5896,0,0,0.385345997286296,"True"
"75",1,2,23,0.8,0,2,"wave",5778,0,0,0.38975424022153,"True"
"76",1,2,24,0.8,0,2,"wave",5691,0,0,0.392022491653488,"True"
"77",1,2,25,0.8,0,2,"wave",5585,0,0,0.396060877350045,"True"
"78",1,2,26,0.8,0,2,"wave",5510,0,0,0.400907441016334,"True"
"79",1,2,27,0.8,0,2,"wave",5418,0,0,0.404946474713917,"True"
"80",1,2,28,0.8,0,2,"wave",5285,0,0,0.409839167455061,"True"
"81",1,2,29,0.8,0,2,"wave",5199,0,0,0.412386997499519,"True"
"82",1,2,30,0.8,0,2,"wave",5072,0,0,0.417586750788644,"True"
"83",1,2,31,0.8,0,2,"wave",4953,0,0,0.421562689279225,"True"
"84",1,2,32,0.8,0,2,"wave",4883,0,0,0.424329305754659,"True"
"85",1,2,33,0.8,0,2,"wave",4758,0,0,0.429802437999159,"True"
"86",1,2,34,0.8,0,2,"wave",4662,0,0,0.433290433290433,"True"
"87",1,2,35,0.8,0,2,"wave",4536,0,0,0.739197530864197,"True"
"88",1,2,36,0.8,0,2,"wave",4428,0,0,0.74096657633243,"True"
"89",1,2,37,0.8,0,2,"wave",4330,0,0,0.741108545034642,"True"
"90",1,2,38,0.8,0,2,"wave",4270,0,0,0.741217798594848,"True"
"91",1,2,39,0.8,0,2,"wave",4226,0,0,0.741836251774728,"True"
"92",1,2,40,0.8,0,2,"wave",4176,0,0,0.743295019157088,"True"
"93",1,2,41,0.8,0,2,"wave",4216,0,0,0.740986717267552,"True"
"94",1,2,42,0.8,0,2,"wave",4211,0,0,0.740679173592971,"True"
"95",1,2,43,0.8,0,2,"wave",4191,0,0,0.738248628012408,"True"
