"","X","rep","year","week","sero","disease","rate","type","total_pop","n_infected","n_symptomatic","actual_sero","elim"
"1",1,1,1,1,0,0.03,1.5,"propagule",2662,0,0,0.102178812922615,"True"
"2",2,1,1,2,0,0.03,1.5,"propagule",2639,0,0,0.103069344448655,"True"
"3",3,1,1,3,0,0.03,1.5,"propagule",2545,0,0,0.105304518664047,"True"
"4",4,1,1,4,0,0.03,1.5,"propagule",2503,0,0,0.106272473032361,"True"
"5",5,1,1,5,0,0.03,1.5,"propagule",2444,0,0,0.112929623567921,"True"
"6",6,1,1,6,0,0.03,1.5,"propagule",2370,0,0,0.110126582278481,"True"
"7",7,1,1,7,0,0.03,1.5,"propagule",2306,0,0,0.111882046834345,"True"
"8",8,1,1,8,0,0.03,1.5,"propagule",2230,0,0,0.112556053811659,"True"
"9",9,1,1,9,0,0.03,1.5,"propagule",2148,0,0,0.114525139664804,"True"
"10",10,1,1,10,0,0.03,1.5,"propagule",2088,0,0,0.115421455938697,"True"
"11",11,1,1,11,0,0.03,1.5,"propagule",2028,0,0,0.119329388560158,"True"
"12",12,1,1,12,0,0.03,1.5,"propagule",1955,0,0,0.122762148337596,"True"
"13",13,1,1,13,0,0.03,1.5,"propagule",1924,0,0,0.125779625779626,"True"
"14",14,1,1,14,0,0.03,1.5,"propagule",1854,0,0,0.127292340884574,"True"
"15",15,1,1,15,0,0.03,1.5,"propagule",1800,0,0,0.128333333333333,"True"
"16",16,1,1,16,0,0.03,1.5,"propagule",1739,0,0,0.129959746981024,"True"
"17",17,1,1,17,0,0.03,1.5,"propagule",1704,0,0,0.132629107981221,"True"
"18",18,1,1,18,0,0.03,1.5,"propagule",4881,0,0,0.0477361196476132,"True"
"19",19,1,1,19,0,0.03,1.5,"propagule",4668,0,0,0.0503427592116538,"True"
"20",20,1,1,20,0,0.03,1.5,"propagule",4539,0,0,0.0533157083057942,"True"
"21",21,1,1,21,0,0.03,1.5,"propagule",4319,0,0,0.055336883537856,"True"
"22",22,1,1,22,0,0.03,1.5,"propagule",4175,0,0,0.0572455089820359,"True"
"23",23,1,1,23,0,0.03,1.5,"propagule",4056,0,0,0.0591715976331361,"True"
"24",24,1,1,24,0,0.03,1.5,"propagule",3971,0,0,0.0616973054646185,"True"
"25",25,1,1,25,0,0.03,1.5,"propagule",3869,0,0,0.0638407857327475,"True"
"26",26,1,1,26,0,0.03,1.5,"propagule",3804,0,0,0.0665089379600421,"True"
"27",27,1,1,27,0,0.03,1.5,"propagule",3635,0,0,0.069050894085282,"True"
"28",28,1,1,28,0,0.03,1.5,"propagule",3540,0,0,0.0703389830508475,"True"
"29",29,1,1,29,0,0.03,1.5,"propagule",3451,0,0,0.0738916256157636,"True"
"30",30,1,1,30,0,0.03,1.5,"propagule",3357,0,0,0.0756627941614537,"True"
"31",31,1,1,31,0,0.03,1.5,"propagule",3281,0,0,0.0783297775068577,"True"
"32",32,1,1,32,0,0.03,1.5,"propagule",3206,0,0,0.0801621958827199,"True"
"33",33,1,1,33,0,0.03,1.5,"propagule",3158,0,0,0.0816972767574414,"True"
"34",34,1,1,34,0,0.03,1.5,"propagule",3102,0,0,0.084461637653127,"True"
"35",35,1,1,35,0,0.03,1.5,"propagule",3049,0,0,0.0859298130534601,"True"
"36",36,1,1,36,0,0.03,1.5,"propagule",3004,0,0,0.0875499334221039,"True"
"37",37,1,1,37,0,0.03,1.5,"propagule",2945,0,0,0.0899830220713073,"True"
"38",38,1,1,38,0,0.03,1.5,"propagule",2899,0,0,0.0917557778544326,"True"
"39",39,1,1,39,0,0.03,1.5,"propagule",2824,0,0,0.0927762039660057,"True"
"40",40,1,1,40,0,0.03,1.5,"propagule",2773,0,0,0.0948431301839163,"True"
"41",41,1,1,41,0,0.03,1.5,"propagule",2935,0,0,0.126064735945486,"True"
"42",42,1,1,42,0,0.03,1.5,"propagule",2954,0,0,0.13439404197698,"True"
"43",43,1,1,43,0,0.03,1.5,"propagule",2936,0,0,0.138964577656676,"True"
"44",44,1,1,44,0,0.03,1.5,"propagule",2918,0,0,0.143248800548321,"True"
"45",45,1,1,45,0,0.03,1.5,"propagule",2951,0,0,0.151135208403931,"True"
"46",46,1,1,46,0,0.03,1.5,"propagule",2834,0,0,0.140084685956246,"True"
"47",47,1,1,47,0,0.03,1.5,"propagule",2775,0,0,0.137657657657658,"True"
"48",48,1,1,48,0,0.03,1.5,"propagule",2763,0,0,0.137169743032935,"True"
"49",49,1,1,49,0,0.03,1.5,"propagule",2761,0,0,0.139442231075697,"True"
"50",50,1,1,50,0,0.03,1.5,"propagule",2755,0,0,0.143012704174229,"True"
"51",51,1,1,51,0,0.03,1.5,"propagule",2741,0,0,0.144837650492521,"True"
"52",52,1,1,52,0,0.03,1.5,"propagule",2730,0,0,0.147252747252747,"True"
"53",53,1,2,1,0,0.03,1.5,"propagule",2704,8,0,0.14792899408284,"False"
"54",54,1,2,2,0,0.03,1.5,"propagule",2675,7,0,0.151401869158879,"False"
"55",55,1,2,3,0,0.03,1.5,"propagule",2648,7,0,0.153323262839879,"False"
"56",56,1,2,4,0,0.03,1.5,"propagule",2617,7,3,0.155903706534199,"False"
"57",57,1,2,5,0,0.03,1.5,"propagule",2579,9,3,0.154711128344319,"False"
