"","rep","year","week","sero","disease","rate","type","total_pop","n_infected","n_symptomatic","actual_sero","elim"
"1",1,1,1,0,0.03,1,"wave",2712,0,0,0.103613569321534,"True"
"2",1,1,2,0,0.03,1,"wave",2673,0,0,0.10512532734755,"True"
"3",1,1,3,0,0.03,1,"wave",2589,0,0,0.109694862881421,"True"
"4",1,1,4,0,0.03,1,"wave",2516,0,0,0.108903020667727,"True"
"5",1,1,5,0,0.03,1,"wave",2420,0,0,0.11198347107438,"True"
"6",1,1,6,0,0.03,1,"wave",2354,0,0,0.112574341546304,"True"
"7",1,1,7,0,0.03,1,"wave",2288,0,0,0.11451048951049,"True"
"8",1,1,8,0,0.03,1,"wave",2212,0,0,0.118444846292948,"True"
"9",1,1,9,0,0.03,1,"wave",2166,0,0,0.122345337026777,"True"
"10",1,1,10,0,0.03,1,"wave",2099,0,0,0.122915674130538,"True"
"11",1,1,11,0,0.03,1,"wave",2012,0,0,0.124254473161034,"True"
"12",1,1,12,0,0.03,1,"wave",1959,0,0,0.127105666156202,"True"
"13",1,1,13,0,0.03,1,"wave",1883,0,0,0.126925119490175,"True"
"14",1,1,14,0,0.03,1,"wave",1848,0,0,0.128246753246753,"True"
"15",1,1,15,0,0.03,1,"wave",1788,0,0,0.130313199105145,"True"
"16",1,1,16,0,0.03,1,"wave",1728,0,0,0.131944444444444,"True"
"17",1,1,17,0,0.03,1,"wave",1686,0,0,0.137010676156584,"True"
"18",1,1,18,0,0.03,1,"wave",4868,0,0,0.0490961380443714,"True"
"19",1,1,19,0,0.03,1,"wave",4627,0,0,0.0518694618543333,"True"
"20",1,1,20,0,0.03,1,"wave",4521,0,0,0.055297500552975,"True"
"21",1,1,21,0,0.03,1,"wave",4388,0,0,0.0574293527803099,"True"
"22",1,1,22,0,0.03,1,"wave",4310,0,0,0.059860788863109,"True"
"23",1,1,23,0,0.03,1,"wave",4215,0,0,0.0633451957295374,"True"
"24",1,1,24,0,0.03,1,"wave",4131,0,0,0.0670539820866618,"True"
"25",1,1,25,0,0.03,1,"wave",4070,0,0,0.07002457002457,"True"
"26",1,1,26,0,0.03,1,"wave",3990,0,0,0.07468671679198,"True"
"27",1,1,27,0,0.03,1,"wave",3868,0,0,0.0765253360910031,"True"
"28",1,1,28,0,0.03,1,"wave",3795,0,0,0.077733860342556,"True"
"29",1,1,29,0,0.03,1,"wave",3722,0,0,0.0781837721655024,"True"
"30",1,1,30,0,0.03,1,"wave",3650,0,0,0.0786301369863014,"True"
"31",1,1,31,0,0.03,1,"wave",3555,0,0,0.0810126582278481,"True"
"32",1,1,32,0,0.03,1,"wave",3496,0,0,0.0820938215102975,"True"
"33",1,1,33,0,0.03,1,"wave",3383,0,0,0.0863139225539462,"True"
"34",1,1,34,0,0.03,1,"wave",3312,0,0,0.0893719806763285,"True"
"35",1,1,35,0,0.03,1,"wave",3262,0,0,0.0913549969343961,"True"
"36",1,1,36,0,0.03,1,"wave",3241,0,0,0.095649490897871,"True"
"37",1,1,37,0,0.03,1,"wave",3176,0,0,0.100755667506297,"True"
"38",1,1,38,0,0.03,1,"wave",3146,0,0,0.102987921169739,"True"
"39",1,1,39,0,0.03,1,"wave",3102,0,0,0.104771115409413,"True"
"40",1,1,40,0,0.03,1,"wave",3078,0,0,0.10688758934373,"True"
"41",1,1,41,0,0.03,1,"wave",3315,0,0,0.143589743589744,"True"
"42",1,1,42,0,0.03,1,"wave",3347,0,0,0.14669853600239,"True"
"43",1,1,43,0,0.03,1,"wave",3345,0,0,0.15067264573991,"True"
"44",1,1,44,0,0.03,1,"wave",3328,0,0,0.158353365384615,"True"
"45",1,1,45,0,0.03,1,"wave",3305,0,0,0.160060514372163,"True"
"46",1,1,46,0,0.03,1,"wave",3130,0,0,0.145047923322684,"True"
"47",1,1,47,0,0.03,1,"wave",3071,0,0,0.142950179094757,"True"
"48",1,1,48,0,0.03,1,"wave",3060,0,0,0.144117647058824,"True"
"49",1,1,49,0,0.03,1,"wave",3012,0,0,0.145750332005312,"True"
"50",1,1,50,0,0.03,1,"wave",2983,0,0,0.145155883338921,"True"
"51",1,1,51,0,0.03,1,"wave",2943,0,0,0.144410465511383,"True"
"52",1,1,52,0,0.03,1,"wave",2937,0,0,0.147769833163092,"True"
"53",1,2,1,0,0.03,1,"wave",2896,7,0,0.149861878453039,"False"
"54",1,2,2,0,0.03,1,"wave",2883,7,0,0.149843912591051,"False"
"55",1,2,3,0,0.03,1,"wave",2857,7,2,0.152957647882394,"False"
"56",1,2,4,0,0.03,1,"wave",2839,10,2,0.153927439239169,"False"
"57",1,2,5,0,0.03,1,"wave",2783,8,1,0.156665468918433,"False"
"58",1,2,6,0,0.03,1,"wave",2763,12,5,0.159247195077814,"False"
"59",1,2,7,0,0.03,1,"wave",2715,22,6,0.160220994475138,"False"
"60",1,2,8,0,0.03,1,"wave",2697,19,5,0.162773451983686,"False"
"61",1,2,9,0,0.03,1,"wave",2656,26,5,0.163780120481928,"False"
"62",1,2,10,0,0.03,1,"wave",2632,27,8,0.164893617021277,"False"
"63",1,2,11,0,0.03,1,"wave",2567,33,9,0.165562913907285,"False"
"64",1,2,12,0,0.03,1,"wave",2532,34,11,0.167851500789889,"False"
"65",1,2,13,0,0.03,1,"wave",2494,41,17,0.169607056936648,"False"
"66",1,2,14,0,0.03,1,"wave",2469,37,17,0.168894289185905,"False"
"67",1,2,15,0,0.03,1,"wave",2430,34,13,0.17037037037037,"False"
"68",1,2,16,0,0.03,1,"wave",2409,29,9,0.171025321710253,"False"
"69",1,2,17,0,0.03,1,"wave",2376,28,11,0.1746632996633,"False"
"70",1,2,18,0,0.03,1,"wave",4136,30,12,0.0998549323017408,"False"
"71",1,2,19,0,0.03,1,"wave",4036,35,12,0.100842418235877,"False"
"72",1,2,20,0,0.03,1,"wave",3957,37,12,0.104624715693707,"False"
"73",1,2,21,0,0.03,1,"wave",3811,36,11,0.107845709787457,"False"
"74",1,2,22,0,0.03,1,"wave",3741,42,10,0.109596364608393,"False"
"75",1,2,23,0,0.03,1,"wave",3677,53,17,0.112863747620343,"False"
"76",1,2,24,0,0.03,1,"wave",3640,56,23,0.115934065934066,"False"
"77",1,2,25,0,0.03,1,"wave",3509,53,24,0.1196922200057,"False"
"78",1,2,26,0,0.03,1,"wave",3464,49,20,0.122690531177829,"False"
"79",1,2,27,0,0.03,1,"wave",3368,40,13,0.125593824228029,"False"
"80",1,2,28,0,0.03,1,"wave",3294,42,15,0.128415300546448,"False"
"81",1,2,29,0,0.03,1,"wave",3199,39,18,0.132854016880275,"False"
"82",1,2,30,0,0.03,1,"wave",3144,37,13,0.137086513994911,"False"
"83",1,2,31,0,0.03,1,"wave",3035,34,11,0.141021416803954,"False"
"84",1,2,32,0,0.03,1,"wave",2985,31,14,0.142043551088777,"False"
"85",1,2,33,0,0.03,1,"wave",2927,27,12,0.144858216604031,"False"
"86",1,2,34,0,0.03,1,"wave",2856,28,9,0.146708683473389,"False"
"87",1,2,35,0,0.03,1,"wave",2804,26,12,0.151925820256776,"False"
"88",1,2,36,0,0.03,1,"wave",2760,30,12,0.152898550724638,"False"
"89",1,2,37,0,0.03,1,"wave",2692,23,8,0.156389301634473,"False"
"90",1,2,38,0,0.03,1,"wave",2673,20,12,0.15712682379349,"False"
"91",1,2,39,0,0.03,1,"wave",2633,25,11,0.161412837067983,"False"
"92",1,2,40,0,0.03,1,"wave",2614,19,11,0.162203519510329,"False"
"93",1,2,41,0,0.03,1,"wave",2926,27,11,0.21326042378674,"False"
"94",1,2,42,0,0.03,1,"wave",2927,16,6,0.219678852066963,"False"
"95",1,2,43,0,0.03,1,"wave",2923,16,7,0.222716387273349,"False"
"96",1,2,44,0,0.03,1,"wave",2934,16,7,0.231083844580777,"False"
"97",1,2,45,0,0.03,1,"wave",2910,14,4,0.232989690721649,"False"
"98",1,2,46,0,0.03,1,"wave",2716,13,6,0.207290132547865,"False"
"99",1,2,47,0,0.03,1,"wave",2661,16,6,0.204058624577227,"False"
"100",1,2,48,0,0.03,1,"wave",2641,14,5,0.204089360090875,"False"
"101",1,2,49,0,0.03,1,"wave",2607,14,6,0.202148062907557,"False"
"102",1,2,50,0,0.03,1,"wave",2593,16,7,0.205167759352102,"False"
"103",1,2,51,0,0.03,1,"wave",2558,16,7,0.204847537138389,"False"
"104",1,2,52,0,0.03,1,"wave",2549,17,6,0.208709297763829,"False"
"105",1,3,1,0,0.03,1,"wave",2512,20,5,0.208200636942675,"False"
"106",1,3,2,0,0.03,1,"wave",2516,20,4,0.211446740858506,"False"
"107",1,3,3,0,0.03,1,"wave",2486,20,4,0.211584875301689,"False"
"108",1,3,4,0,0.03,1,"wave",2459,17,9,0.213908092720618,"False"
"109",1,3,5,0,0.03,1,"wave",2436,17,12,0.216338259441708,"False"
"110",1,3,6,0,0.03,1,"wave",2402,11,8,0.217735220649459,"False"
