"","rep","year","week","sero","disease","rate","type","total_pop","n_infected","n_symptomatic","actual_sero","elim"
"1",1,1,1,0,0.045,0.5,"propagule",2660,0,0,0.109774436090226,"True"
"2",1,1,2,0,0.045,0.5,"propagule",2637,0,0,0.111869548729617,"True"
"3",1,1,3,0,0.045,0.5,"propagule",2546,0,0,0.112725844461901,"True"
"4",1,1,4,0,0.045,0.5,"propagule",2513,0,0,0.115797851173896,"True"
"5",1,1,5,0,0.045,0.5,"propagule",2460,0,0,0.115447154471545,"True"
"6",1,1,6,0,0.045,0.5,"propagule",2413,0,0,0.117695814338997,"True"
"7",1,1,7,0,0.045,0.5,"propagule",2361,0,0,0.11986446421008,"True"
"8",1,1,8,0,0.045,0.5,"propagule",2308,0,0,0.123050259965338,"True"
"9",1,1,9,0,0.045,0.5,"propagule",2276,0,0,0.12390158172232,"True"
"10",1,1,10,0,0.045,0.5,"propagule",2225,0,0,0.125842696629213,"True"
"11",1,1,11,0,0.045,0.5,"propagule",2192,0,0,0.12728102189781,"True"
"12",1,1,12,0,0.045,0.5,"propagule",2163,0,0,0.124364308830328,"True"
"13",1,1,13,0,0.045,0.5,"propagule",2133,0,0,0.127988748241913,"True"
"14",1,1,14,0,0.045,0.5,"propagule",2106,0,0,0.129154795821462,"True"
"15",1,1,15,0,0.045,0.5,"propagule",2086,0,0,0.13039309683605,"True"
"16",1,1,16,0,0.045,0.5,"propagule",2071,0,0,0.131337518107195,"True"
"17",1,1,17,0,0.045,0.5,"propagule",2057,0,0,0.133689839572193,"True"
"18",1,1,18,0,0.045,0.5,"propagule",5737,0,0,0.0500261460693742,"True"
"19",1,1,19,0,0.045,0.5,"propagule",5642,0,0,0.0521091811414392,"True"
"20",1,1,20,0,0.045,0.5,"propagule",5502,0,0,0.0552526354053072,"True"
"21",1,1,21,0,0.045,0.5,"propagule",5391,0,0,0.0565757744388796,"True"
"22",1,1,22,0,0.045,0.5,"propagule",5234,0,0,0.0582728314864348,"True"
"23",1,1,23,0,0.045,0.5,"propagule",5109,0,0,0.0600900371892738,"True"
"24",1,1,24,0,0.045,0.5,"propagule",4937,0,0,0.061980960097225,"True"
"25",1,1,25,0,0.045,0.5,"propagule",4853,0,0,0.0638780135998352,"True"
"26",1,1,26,0,0.045,0.5,"propagule",4752,0,0,0.0677609427609428,"True"
