"","X","rep","year","week","sero","disease","rate","type","total_pop","n_infected","n_symptomatic","actual_sero","elim"
"1",1,1,1,1,0,0.045,2.5,"wave",2784,0,0,0.110272988505747,"True"
"2",2,1,1,2,0,0.045,2.5,"wave",2759,0,0,0.110909749909387,"True"
"3",3,1,1,3,0,0.045,2.5,"wave",2703,0,0,0.112837587865335,"True"
"4",4,1,1,4,0,0.045,2.5,"wave",2678,0,0,0.113890963405527,"True"
"5",5,1,1,5,0,0.045,2.5,"wave",2667,0,0,0.115485564304462,"True"
"6",6,1,1,6,0,0.045,2.5,"wave",2663,0,0,0.11828764551258,"True"
"7",7,1,1,7,0,0.045,2.5,"wave",2638,0,0,0.118650492797574,"True"
"8",8,1,1,8,0,0.045,2.5,"wave",2632,0,0,0.120060790273556,"True"
"9",9,1,1,9,0,0.045,2.5,"wave",2616,0,0,0.123088685015291,"True"
"10",10,1,1,10,0,0.045,2.5,"wave",2594,0,0,0.124518118735544,"True"
"11",11,1,1,11,0,0.045,2.5,"wave",2572,0,0,0.124805598755832,"True"
"12",12,1,1,12,0,0.045,2.5,"wave",2558,0,0,0.1278342455043,"True"
"13",13,1,1,13,0,0.045,2.5,"wave",2531,0,0,0.129593046226788,"True"
"14",14,1,1,14,0,0.045,2.5,"wave",2514,0,0,0.13126491646778,"True"
"15",15,1,1,15,0,0.045,2.5,"wave",2502,0,0,0.132693844924061,"True"
"16",16,1,1,16,0,0.045,2.5,"wave",2501,0,0,0.133946421431427,"True"
"17",17,1,1,17,0,0.045,2.5,"wave",2480,0,0,0.136290322580645,"True"
"18",18,1,1,18,0,0.045,2.5,"wave",6885,0,0,0.0506899055918664,"True"
"19",19,1,1,19,0,0.045,2.5,"wave",6756,0,0,0.0529899348727057,"True"
"20",20,1,1,20,0,0.045,2.5,"wave",6623,0,0,0.0557149328099049,"True"
"21",21,1,1,21,0,0.045,2.5,"wave",6508,0,0,0.0585433312845728,"True"
"22",22,1,1,22,0,0.045,2.5,"wave",6401,0,0,0.0604593032338697,"True"
"23",23,1,1,23,0,0.045,2.5,"wave",6269,0,0,0.0623703940022332,"True"
"24",24,1,1,24,0,0.045,2.5,"wave",6156,0,0,0.065464587394412,"True"
"25",25,1,1,25,0,0.045,2.5,"wave",6010,0,0,0.0668885191347754,"True"
"26",26,1,1,26,0,0.045,2.5,"wave",5898,0,0,0.0703628348592743,"True"
"27",27,1,1,27,0,0.045,2.5,"wave",5809,0,0,0.0724737476329833,"True"
"28",28,1,1,28,0,0.045,2.5,"wave",5715,0,0,0.0740157480314961,"True"
"29",29,1,1,29,0,0.045,2.5,"wave",5589,0,0,0.0772946859903382,"True"
"30",30,1,1,30,0,0.045,2.5,"wave",5483,0,0,0.0771475469633412,"True"
"31",31,1,1,31,0,0.045,2.5,"wave",5397,0,0,0.0800444691495275,"True"
"32",32,1,1,32,0,0.045,2.5,"wave",5288,0,0,0.0820726172465961,"True"
"33",33,1,1,33,0,0.045,2.5,"wave",5199,0,0,0.0844393152529333,"True"
"34",34,1,1,34,0,0.045,2.5,"wave",5120,0,0,0.0849609375,"True"
"35",35,1,1,35,0,0.045,2.5,"wave",5030,0,0,0.0878727634194831,"True"
"36",36,1,1,36,0,0.045,2.5,"wave",4950,0,0,0.0896969696969697,"True"
"37",37,1,1,37,0,0.045,2.5,"wave",4875,0,0,0.0914871794871795,"True"
"38",38,1,1,38,0,0.045,2.5,"wave",4818,0,0,0.093192195931922,"True"
"39",39,1,1,39,0,0.045,2.5,"wave",4768,0,0,0.0960570469798658,"True"
"40",40,1,1,40,0,0.045,2.5,"wave",4713,0,0,0.0978145554848292,"True"
"41",41,1,1,41,0,0.045,2.5,"wave",4704,0,0,0.108418367346939,"True"
"42",42,1,1,42,0,0.045,2.5,"wave",4662,0,0,0.11003861003861,"True"
"43",43,1,1,43,0,0.045,2.5,"wave",4626,0,0,0.11305663640294,"True"
"44",44,1,1,44,0,0.045,2.5,"wave",4614,0,0,0.11530125704378,"True"
"45",45,1,1,45,0,0.045,2.5,"wave",4568,0,0,0.114492119089317,"True"
"46",46,1,1,46,0,0.045,2.5,"wave",4503,0,0,0.113701976460138,"True"
"47",47,1,1,47,0,0.045,2.5,"wave",4461,0,0,0.114996637525219,"True"
"48",48,1,1,48,0,0.045,2.5,"wave",4416,0,0,0.114356884057971,"True"
"49",49,1,1,49,0,0.045,2.5,"wave",4386,0,0,0.115139078887369,"True"
"50",50,1,1,50,0,0.045,2.5,"wave",4367,0,0,0.117471948706206,"True"
"51",51,1,1,51,0,0.045,2.5,"wave",4332,0,0,0.119344413665743,"True"
"52",52,1,1,52,0,0.045,2.5,"wave",4307,0,0,0.122358950545623,"True"
"53",53,1,2,1,0,0.045,2.5,"wave",4262,6,0,0.123885499765368,"False"
"54",54,1,2,2,0,0.045,2.5,"wave",4224,6,0,0.124763257575758,"False"
"55",55,1,2,3,0,0.045,2.5,"wave",4175,6,4,0.125508982035928,"False"
"56",56,1,2,4,0,0.045,2.5,"wave",4139,16,4,0.1282918579367,"False"
"57",57,1,2,5,0,0.045,2.5,"wave",4077,12,4,0.129752268825117,"False"
"58",58,1,2,6,0,0.045,2.5,"wave",4037,14,6,0.132028734208571,"False"
"59",59,1,2,7,0,0.045,2.5,"wave",3989,13,4,0.133868137377789,"False"
"60",60,1,2,8,0,0.045,2.5,"wave",3934,14,2,0.134722928317234,"False"
"61",61,1,2,9,0,0.045,2.5,"wave",3898,12,4,0.135710620831195,"False"
"62",62,1,2,10,0,0.045,2.5,"wave",3869,16,6,0.136727836650297,"False"
"63",63,1,2,11,0,0.045,2.5,"wave",3806,20,4,0.13977929584866,"False"
"64",64,1,2,12,0,0.045,2.5,"wave",3763,20,6,0.140579325006644,"False"
"65",65,1,2,13,0,0.045,2.5,"wave",3721,24,7,0.142703574307982,"False"
"66",66,1,2,14,0,0.045,2.5,"wave",3670,24,5,0.145231607629428,"False"
"67",67,1,2,15,0,0.045,2.5,"wave",3623,25,7,0.144355506486337,"False"
"68",68,1,2,16,0,0.045,2.5,"wave",3579,25,13,0.145850796311819,"False"
"69",69,1,2,17,0,0.045,2.5,"wave",3531,19,11,0.149815916171056,"False"
"70",70,1,2,18,0,0.045,2.5,"wave",6336,16,5,0.0834911616161616,"False"
"71",71,1,2,19,0,0.045,2.5,"wave",6230,18,5,0.0852327447833066,"False"
"72",72,1,2,20,0,0.045,2.5,"wave",6108,20,7,0.0867714472822528,"False"
"73",73,1,2,21,0,0.045,2.5,"wave",5992,22,8,0.0886181575433912,"False"
"74",74,1,2,22,0,0.045,2.5,"wave",5848,22,7,0.0916552667578659,"False"
"75",75,1,2,23,0,0.045,2.5,"wave",5729,20,7,0.0942572874847268,"False"
"76",76,1,2,24,0,0.045,2.5,"wave",5624,21,8,0.096728307254623,"False"
"77",77,1,2,25,0,0.045,2.5,"wave",5525,22,7,0.099185520361991,"False"
"78",78,1,2,26,0,0.045,2.5,"wave",5421,28,7,0.102010699133001,"False"
"79",79,1,2,27,0,0.045,2.5,"wave",5352,29,9,0.104633781763827,"False"
"80",80,1,2,28,0,0.045,2.5,"wave",5215,25,11,0.1071907957814,"False"
"81",81,1,2,29,0,0.045,2.5,"wave",5089,19,9,0.110041265474553,"False"
"82",82,1,2,30,0,0.045,2.5,"wave",5030,21,10,0.112922465208748,"False"
"83",83,1,2,31,0,0.045,2.5,"wave",4926,20,8,0.11510353227771,"False"
