"","X","rep","year","week","sero","disease","rate","type","total_pop","n_infected","n_symptomatic","actual_sero","elim"
"1",1,1,1,1,0,0.045,2,"wave",2755,0,0,0.100907441016334,"True"
"2",2,1,1,2,0,0.045,2,"wave",2722,0,0,0.105069801616458,"True"
"3",3,1,1,3,0,0.045,2,"wave",2643,0,0,0.108967082860386,"True"
"4",4,1,1,4,0,0.045,2,"wave",2581,0,0,0.112746997287873,"True"
"5",5,1,1,5,0,0.045,2,"wave",2517,0,0,0.1124354390147,"True"
"6",6,1,1,6,0,0.045,2,"wave",2468,0,0,0.11385737439222,"True"
"7",7,1,1,7,0,0.045,2,"wave",2396,0,0,0.117696160267112,"True"
"8",8,1,1,8,0,0.045,2,"wave",2363,0,0,0.119339822259839,"True"
"9",9,1,1,9,0,0.045,2,"wave",2314,0,0,0.122299049265341,"True"
"10",10,1,1,10,0,0.045,2,"wave",2293,0,0,0.122982991713912,"True"
"11",11,1,1,11,0,0.045,2,"wave",2263,0,0,0.121961997348652,"True"
"12",12,1,1,12,0,0.045,2,"wave",2249,0,0,0.124499777678968,"True"
"13",13,1,1,13,0,0.045,2,"wave",2192,0,0,0.12728102189781,"True"
"14",14,1,1,14,0,0.045,2,"wave",2164,0,0,0.129390018484288,"True"
"15",15,1,1,15,0,0.045,2,"wave",2142,0,0,0.131185807656396,"True"
"16",16,1,1,16,0,0.045,2,"wave",2118,0,0,0.132200188857413,"True"
"17",17,1,1,17,0,0.045,2,"wave",2099,0,0,0.133873272987137,"True"
"18",18,1,1,18,0,0.045,2,"wave",6126,0,0,0.0476656872347372,"True"
"19",19,1,1,19,0,0.045,2,"wave",5982,0,0,0.0494817786693414,"True"
"20",20,1,1,20,0,0.045,2,"wave",5843,0,0,0.0527126476125278,"True"
"21",21,1,1,21,0,0.045,2,"wave",5760,0,0,0.0546875,"True"
"22",22,1,1,22,0,0.045,2,"wave",5658,0,0,0.0560268646164723,"True"
"23",23,1,1,23,0,0.045,2,"wave",5574,0,0,0.0579476139217797,"True"
"24",24,1,1,24,0,0.045,2,"wave",5481,0,0,0.0600255427841635,"True"
"25",25,1,1,25,0,0.045,2,"wave",5366,0,0,0.0616846813268729,"True"
"26",26,1,1,26,0,0.045,2,"wave",5270,0,0,0.0647058823529412,"True"
"27",27,1,1,27,0,0.045,2,"wave",5163,0,0,0.0675963587061786,"True"
"28",28,1,1,28,0,0.045,2,"wave",5047,0,0,0.0681593025559738,"True"
"29",29,1,1,29,0,0.045,2,"wave",4970,0,0,0.0696177062374246,"True"
"30",30,1,1,30,0,0.045,2,"wave",4877,0,0,0.0725856059052696,"True"
"31",31,1,1,31,0,0.045,2,"wave",4807,0,0,0.0740586644476805,"True"
