"","rep","year","week","sero","disease","rate","type","total_pop","n_infected","n_symptomatic","actual_sero","elim"
"1",1,1,1,0,0.06,0.5,"wave",2790,0,0,0.0971326164874552,"True"
"2",1,1,2,0,0.06,0.5,"wave",2741,0,0,0.100328347318497,"True"
"3",1,1,3,0,0.06,0.5,"wave",2683,0,0,0.102124487513977,"True"
"4",1,1,4,0,0.06,0.5,"wave",2625,0,0,0.102857142857143,"True"
"5",1,1,5,0,0.06,0.5,"wave",2581,0,0,0.10499806276637,"True"
"6",1,1,6,0,0.06,0.5,"wave",2556,0,0,0.106025039123631,"True"
"7",1,1,7,0,0.06,0.5,"wave",2510,0,0,0.108764940239044,"True"
"8",1,1,8,0,0.06,0.5,"wave",2501,0,0,0.110355857656937,"True"
"9",1,1,9,0,0.06,0.5,"wave",2464,0,0,0.114448051948052,"True"
"10",1,1,10,0,0.06,0.5,"wave",2458,0,0,0.114320585842148,"True"
"11",1,1,11,0,0.06,0.5,"wave",2436,0,0,0.117816091954023,"True"
"12",1,1,12,0,0.06,0.5,"wave",2421,0,0,0.118959107806691,"True"
"13",1,1,13,0,0.06,0.5,"wave",2406,0,0,0.121363258520366,"True"
"14",1,1,14,0,0.06,0.5,"wave",2384,0,0,0.12248322147651,"True"
"15",1,1,15,0,0.06,0.5,"wave",2372,0,0,0.124367622259696,"True"
"16",1,1,16,0,0.06,0.5,"wave",2351,0,0,0.12760527435134,"True"
"17",1,1,17,0,0.06,0.5,"wave",2332,0,0,0.130789022298456,"True"
"18",1,1,18,0,0.06,0.5,"wave",6636,0,0,0.0479204339963834,"True"
"19",1,1,19,0,0.06,0.5,"wave",6506,0,0,0.0502612972640639,"True"
"20",1,1,20,0,0.06,0.5,"wave",6394,0,0,0.0525492649358774,"True"
"21",1,1,21,0,0.06,0.5,"wave",6260,0,0,0.0552715654952077,"True"
"22",1,1,22,0,0.06,0.5,"wave",6144,0,0,0.0577799479166667,"True"
"23",1,1,23,0,0.06,0.5,"wave",6004,0,0,0.0604596935376416,"True"
"24",1,1,24,0,0.06,0.5,"wave",5923,0,0,0.0628060104676684,"True"
"25",1,1,25,0,0.06,0.5,"wave",5829,0,0,0.0669068450849202,"True"
"26",1,1,26,0,0.06,0.5,"wave",5739,0,0,0.0702212929081722,"True"
"27",1,1,27,0,0.06,0.5,"wave",5648,0,0,0.0720609065155807,"True"
"28",1,1,28,0,0.06,0.5,"wave",5551,0,0,0.0745811565483697,"True"
"29",1,1,29,0,0.06,0.5,"wave",5429,0,0,0.0768097255479831,"True"
"30",1,1,30,0,0.06,0.5,"wave",5336,0,0,0.0779610194902549,"True"
"31",1,1,31,0,0.06,0.5,"wave",5257,0,0,0.0802739204869698,"True"
"32",1,1,32,0,0.06,0.5,"wave",5152,0,0,0.0824922360248447,"True"
"33",1,1,33,0,0.06,0.5,"wave",5063,0,0,0.0849298834682994,"True"
"34",1,1,34,0,0.06,0.5,"wave",4979,0,0,0.0857601928098012,"True"
"35",1,1,35,0,0.06,0.5,"wave",4889,0,0,0.0881570873389241,"True"
"36",1,1,36,0,0.06,0.5,"wave",4806,0,0,0.0915522263836871,"True"
"37",1,1,37,0,0.06,0.5,"wave",4705,0,0,0.0935175345377258,"True"
"38",1,1,38,0,0.06,0.5,"wave",4652,0,0,0.0954428202923474,"True"
"39",1,1,39,0,0.06,0.5,"wave",4602,0,0,0.0980008691873099,"True"
"40",1,1,40,0,0.06,0.5,"wave",4560,0,0,0.1,"True"
"41",1,1,41,0,0.06,0.5,"wave",4627,0,0,0.11130322022909,"True"
"42",1,1,42,0,0.06,0.5,"wave",4599,0,0,0.115894759730376,"True"
"43",1,1,43,0,0.06,0.5,"wave",4574,0,0,0.120244862264976,"True"
"44",1,1,44,0,0.06,0.5,"wave",4586,0,0,0.123201046663759,"True"
"45",1,1,45,0,0.06,0.5,"wave",4567,0,0,0.13006349901467,"True"
"46",1,1,46,0,0.06,0.5,"wave",4503,0,0,0.127692649344881,"True"
"47",1,1,47,0,0.06,0.5,"wave",4473,0,0,0.127878381399508,"True"
"48",1,1,48,0,0.06,0.5,"wave",4413,0,0,0.128937230908679,"True"
"49",1,1,49,0,0.06,0.5,"wave",4368,0,0,0.132326007326007,"True"
"50",1,1,50,0,0.06,0.5,"wave",4328,0,0,0.132393715341959,"True"
"51",1,1,51,0,0.06,0.5,"wave",4286,0,0,0.133691087260849,"True"
"52",1,1,52,0,0.06,0.5,"wave",4240,0,0,0.136084905660377,"True"
"53",1,2,1,0,0.06,0.5,"wave",4196,9,0,0.139418493803623,"False"
"54",1,2,2,0,0.06,0.5,"wave",4160,8,0,0.141105769230769,"False"
"55",1,2,3,0,0.06,0.5,"wave",4136,7,0,0.144100580270793,"False"
"56",1,2,4,0,0.06,0.5,"wave",4092,7,3,0.147605083088954,"False"
