"","rep","year","week","sero","disease","rate","type","total_pop","n_infected","n_symptomatic","actual_sero","elim"
"1",1,1,1,0,0.06,1,"propagule",2801,0,0,0.0967511602998929,"True"
"2",1,1,2,0,0.06,1,"propagule",2769,0,0,0.0978692668833514,"True"
"3",1,1,3,0,0.06,1,"propagule",2724,0,0,0.103157121879589,"True"
"4",1,1,4,0,0.06,1,"propagule",2706,0,0,0.10310421286031,"True"
"5",1,1,5,0,0.06,1,"propagule",2693,0,0,0.105087263275158,"True"
"6",1,1,6,0,0.06,1,"propagule",2665,0,0,0.106191369606004,"True"
"7",1,1,7,0,0.06,1,"propagule",2647,0,0,0.10955799017756,"True"
"8",1,1,8,0,0.06,1,"propagule",2632,0,0,0.110182370820669,"True"
"9",1,1,9,0,0.06,1,"propagule",2593,0,0,0.114924797531816,"True"
"10",1,1,10,0,0.06,1,"propagule",2577,0,0,0.114862242918122,"True"
"11",1,1,11,0,0.06,1,"propagule",2560,0,0,0.11640625,"True"
"12",1,1,12,0,0.06,1,"propagule",2553,0,0,0.117508813160987,"True"
"13",1,1,13,0,0.06,1,"propagule",2541,0,0,0.12081857536403,"True"
"14",1,1,14,0,0.06,1,"propagule",2524,0,0,0.120443740095087,"True"
"15",1,1,15,0,0.06,1,"propagule",2509,0,0,0.123953766440813,"True"
"16",1,1,16,0,0.06,1,"propagule",2492,0,0,0.123996789727127,"True"
"17",1,1,17,0,0.06,1,"propagule",2470,0,0,0.126315789473684,"True"
"18",1,1,18,0,0.06,1,"propagule",7164,0,0,0.0443886097152429,"True"
"19",1,1,19,0,0.06,1,"propagule",7053,0,0,0.0470721678718276,"True"
"20",1,1,20,0,0.06,1,"propagule",6902,0,0,0.0499855114459577,"True"
"21",1,1,21,0,0.06,1,"propagule",6783,0,0,0.0527790063393779,"True"
"22",1,1,22,0,0.06,1,"propagule",6670,0,0,0.0535232383808096,"True"
"23",1,1,23,0,0.06,1,"propagule",6514,0,0,0.0564937058642923,"True"
"24",1,1,24,0,0.06,1,"propagule",6398,0,0,0.0593935604876524,"True"
"25",1,1,25,0,0.06,1,"propagule",6283,0,0,0.0630272162979468,"True"
"26",1,1,26,0,0.06,1,"propagule",6189,0,0,0.0646307965745678,"True"
"27",1,1,27,0,0.06,1,"propagule",6084,0,0,0.0675542406311637,"True"
"28",1,1,28,0,0.06,1,"propagule",5973,0,0,0.0696467436798928,"True"
"29",1,1,29,0,0.06,1,"propagule",5843,0,0,0.073078897826459,"True"
"30",1,1,30,0,0.06,1,"propagule",5743,0,0,0.0736548842068605,"True"
"31",1,1,31,0,0.06,1,"propagule",5624,0,0,0.0764580369843528,"True"
"32",1,1,32,0,0.06,1,"propagule",5503,0,0,0.0783209158640741,"True"
"33",1,1,33,0,0.06,1,"propagule",5379,0,0,0.0799405093883622,"True"
"34",1,1,34,0,0.06,1,"propagule",5316,0,0,0.0822046651617758,"True"
"35",1,1,35,0,0.06,1,"propagule",5214,0,0,0.0851553509781358,"True"
"36",1,1,36,0,0.06,1,"propagule",5120,0,0,0.087109375,"True"
"37",1,1,37,0,0.06,1,"propagule",5017,0,0,0.0904923260912896,"True"
"38",1,1,38,0,0.06,1,"propagule",4971,0,0,0.0927378797022732,"True"
"39",1,1,39,0,0.06,1,"propagule",4903,0,0,0.0940240668978177,"True"
"40",1,1,40,0,0.06,1,"propagule",4848,0,0,0.0961221122112211,"True"
"41",1,1,41,0,0.06,1,"propagule",4830,0,0,0.104761904761905,"True"
"42",1,1,42,0,0.06,1,"propagule",4844,0,0,0.110033030553262,"True"
"43",1,1,43,0,0.06,1,"propagule",4781,0,0,0.114620372307049,"True"
"44",1,1,44,0,0.06,1,"propagule",4782,0,0,0.11836051861146,"True"
"45",1,1,45,0,0.06,1,"propagule",4765,0,0,0.118153200419727,"True"
"46",1,1,46,0,0.06,1,"propagule",4688,0,0,0.119240614334471,"True"
"47",1,1,47,0,0.06,1,"propagule",4665,0,0,0.121972132904609,"True"
"48",1,1,48,0,0.06,1,"propagule",4631,0,0,0.12286763118117,"True"
"49",1,1,49,0,0.06,1,"propagule",4608,0,0,0.125868055555556,"True"
"50",1,1,50,0,0.06,1,"propagule",4575,0,0,0.127650273224044,"True"
"51",1,1,51,0,0.06,1,"propagule",4533,0,0,0.128833002426649,"True"
"52",1,1,52,0,0.06,1,"propagule",4497,0,0,0.133422281521014,"True"
"53",1,2,1,0,0.06,1,"propagule",4431,8,0,0.134732566012187,"False"
"54",1,2,2,0,0.06,1,"propagule",4376,8,0,0.136654478976234,"False"
"55",1,2,3,0,0.06,1,"propagule",4322,7,0,0.136510874595095,"False"
"56",1,2,4,0,0.06,1,"propagule",4276,7,4,0.137745556594949,"False"
"57",1,2,5,0,0.06,1,"propagule",4217,8,5,0.138487076120465,"False"
"58",1,2,6,0,0.06,1,"propagule",4174,5,2,0.139195016770484,"False"
"59",1,2,7,0,0.06,1,"propagule",4114,4,1,0.142197374817696,"False"
"60",1,2,8,0,0.06,1,"propagule",4050,3,1,0.143456790123457,"False"
"61",1,2,9,0,0.06,1,"propagule",3986,4,2,0.145760160561967,"False"
"62",1,2,10,0,0.06,1,"propagule",3949,2,0,0.149151683970625,"False"
"63",1,2,11,0,0.06,1,"propagule",3897,2,1,0.150885296381832,"False"
"64",1,2,12,0,0.06,1,"propagule",3847,4,2,0.152066545360021,"False"
"65",1,2,13,0,0.06,1,"propagule",3804,2,1,0.153522607781283,"False"
"66",1,2,14,0,0.06,1,"propagule",3755,1,0,0.15525965379494,"False"
"67",1,2,15,0,0.06,1,"propagule",3716,1,1,0.157158234660926,"False"
"68",1,2,16,0,0.06,1,"propagule",3682,4,1,0.157251493753395,"False"
"69",1,2,17,0,0.06,1,"propagule",3646,3,0,0.15907844212836,"False"
"70",1,2,18,0,0.06,1,"propagule",6361,3,0,0.0929099198239271,"False"
"71",1,2,19,0,0.06,1,"propagule",6239,3,3,0.0963295399903831,"False"
"72",1,2,20,0,0.06,1,"propagule",6131,4,3,0.099168161800685,"False"
"73",1,2,21,0,0.06,1,"propagule",5979,1,0,0.101187489546747,"False"
"74",1,2,22,0,0.06,1,"propagule",5866,1,0,0.101943402659393,"False"
"75",1,2,23,0,0.06,1,"propagule",5757,1,0,0.104394649991315,"False"
"76",1,2,24,0,0.06,1,"propagule",5631,1,1,0.108328893624578,"False"
"77",1,2,25,0,0.06,1,"propagule",5530,5,1,0.109584086799277,"False"
"78",1,2,26,0,0.06,1,"propagule",5444,4,1,0.110947832476121,"False"
"79",1,2,27,0,0.06,1,"propagule",5378,9,2,0.112495351431759,"False"
"80",1,2,28,0,0.06,1,"propagule",5275,11,2,0.114123222748815,"False"
"81",1,2,29,0,0.06,1,"propagule",5178,16,6,0.113943607570491,"False"
"82",1,2,30,0,0.06,1,"propagule",5043,16,6,0.114614316874876,"False"
"83",1,2,31,0,0.06,1,"propagule",4941,13,3,0.117182756527019,"False"
"84",1,2,32,0,0.06,1,"propagule",4872,15,9,0.119868637110016,"False"
"85",1,2,33,0,0.06,1,"propagule",4804,13,8,0.121981681931724,"False"
"86",1,2,34,0,0.06,1,"propagule",4701,12,3,0.125079770261646,"False"
"87",1,2,35,0,0.06,1,"propagule",4647,11,4,0.127824402840542,"False"
"88",1,2,36,0,0.06,1,"propagule",4546,12,4,0.128684557853058,"False"
"89",1,2,37,0,0.06,1,"propagule",4468,14,6,0.131154879140555,"False"
"90",1,2,38,0,0.06,1,"propagule",4408,15,11,0.133847549909256,"False"
"91",1,2,39,0,0.06,1,"propagule",4349,11,8,0.136123246723385,"False"
"92",1,2,40,0,0.06,1,"propagule",4303,7,2,0.138508017662096,"False"
"93",1,2,41,0,0.06,1,"propagule",4370,6,2,0.15675057208238,"False"
"94",1,2,42,0,0.06,1,"propagule",4318,6,3,0.158869847151459,"False"
"95",1,2,43,0,0.06,1,"propagule",4335,8,5,0.163321799307958,"False"
"96",1,2,44,0,0.06,1,"propagule",4306,7,3,0.16651184393869,"False"
"97",1,2,45,0,0.06,1,"propagule",4280,4,2,0.169158878504673,"False"
"98",1,2,46,0,0.06,1,"propagule",4185,6,4,0.162007168458781,"False"
"99",1,2,47,0,0.06,1,"propagule",4146,6,2,0.161360347322721,"False"
"100",1,2,48,0,0.06,1,"propagule",4121,4,0,0.162824557146324,"False"
"101",1,2,49,0,0.06,1,"propagule",4114,4,1,0.167963052989791,"False"
"102",1,2,50,0,0.06,1,"propagule",4092,5,2,0.169843597262952,"False"
"103",1,2,51,0,0.06,1,"propagule",4065,5,3,0.172447724477245,"False"
"104",1,2,52,0,0.06,1,"propagule",4037,3,1,0.174139212286351,"False"
"105",1,3,1,0,0.06,1,"propagule",4006,1,0,0.178482276585122,"False"
"106",1,3,2,0,0.06,1,"propagule",3972,1,0,0.181520644511581,"False"
"107",1,3,3,0,0.06,1,"propagule",3974,1,0,0.183694011071968,"False"
"108",1,3,4,0,0.06,1,"propagule",3946,1,0,0.188545362392296,"False"
"109",1,3,5,0,0.06,1,"propagule",3922,1,0,0.190973992860785,"False"
"110",1,3,6,0,0.06,1,"propagule",3884,1,1,0.192327497425335,"False"
"111",1,3,7,0,0.06,1,"propagule",3843,3,1,0.1935987509758,"False"
"112",1,3,8,0,0.06,1,"propagule",3806,2,0,0.195743562795586,"False"
"113",1,3,9,0,0.06,1,"propagule",3768,2,0,0.197452229299363,"False"
