"","X","rep","year","week","sero","disease","rate","type","total_pop","n_infected","n_symptomatic","actual_sero","elim"
"1",1,1,1,1,0,0.06,2,"propagule",2716,0,0,0.104565537555228,"True"
"2",2,1,1,2,0,0.06,2,"propagule",2659,0,0,0.10267017675818,"True"
"3",3,1,1,3,0,0.06,2,"propagule",2610,0,0,0.104597701149425,"True"
"4",4,1,1,4,0,0.06,2,"propagule",2539,0,0,0.107916502560063,"True"
"5",5,1,1,5,0,0.06,2,"propagule",2505,0,0,0.112574850299401,"True"
"6",6,1,1,6,0,0.06,2,"propagule",2485,0,0,0.115492957746479,"True"
"7",7,1,1,7,0,0.06,2,"propagule",2455,0,0,0.117718940936864,"True"
"8",8,1,1,8,0,0.06,2,"propagule",2403,0,0,0.119850187265918,"True"
"9",9,1,1,9,0,0.06,2,"propagule",2358,0,0,0.120441051738762,"True"
"10",10,1,1,10,0,0.06,2,"propagule",2315,0,0,0.120518358531317,"True"
"11",11,1,1,11,0,0.06,2,"propagule",2266,0,0,0.122683142100618,"True"
"12",12,1,1,12,0,0.06,2,"propagule",2217,0,0,0.124943617501128,"True"
"13",13,1,1,13,0,0.06,2,"propagule",2196,0,0,0.125227686703097,"True"
"14",14,1,1,14,0,0.06,2,"propagule",2147,0,0,0.128085700978109,"True"
"15",15,1,1,15,0,0.06,2,"propagule",2112,0,0,0.130208333333333,"True"
"16",16,1,1,16,0,0.06,2,"propagule",2074,0,0,0.128736740597878,"True"
"17",17,1,1,17,0,0.06,2,"propagule",2023,0,0,0.132476520019773,"True"
"18",18,1,1,18,0,0.06,2,"propagule",5780,0,0,0.0470588235294118,"True"
"19",19,1,1,19,0,0.06,2,"propagule",5651,0,0,0.0488409131127234,"True"
"20",20,1,1,20,0,0.06,2,"propagule",5491,0,0,0.051174649426334,"True"
"21",21,1,1,21,0,0.06,2,"propagule",5352,0,0,0.0534379671150972,"True"
"22",22,1,1,22,0,0.06,2,"propagule",5198,0,0,0.0561754520969604,"True"
"23",23,1,1,23,0,0.06,2,"propagule",5093,0,0,0.0567445513449833,"True"
"24",24,1,1,24,0,0.06,2,"propagule",4993,0,0,0.059082715802123,"True"
"25",25,1,1,25,0,0.06,2,"propagule",4887,0,0,0.0617966032330673,"True"
"26",26,1,1,26,0,0.06,2,"propagule",4784,0,0,0.0637541806020067,"True"
"27",27,1,1,27,0,0.06,2,"propagule",4738,0,0,0.0666948079358379,"True"
"28",28,1,1,28,0,0.06,2,"propagule",4627,0,0,0.0691592824724444,"True"
"29",29,1,1,29,0,0.06,2,"propagule",4510,0,0,0.0716186252771619,"True"
"30",30,1,1,30,0,0.06,2,"propagule",4417,0,0,0.0724473624632103,"True"
"31",31,1,1,31,0,0.06,2,"propagule",4346,0,0,0.0754716981132075,"True"
"32",32,1,1,32,0,0.06,2,"propagule",4247,0,0,0.0774664469036967,"True"
"33",33,1,1,33,0,0.06,2,"propagule",4164,0,0,0.0806916426512968,"True"
"34",34,1,1,34,0,0.06,2,"propagule",4069,0,0,0.0838043745391988,"True"
"35",35,1,1,35,0,0.06,2,"propagule",4002,0,0,0.0864567716141929,"True"
"36",36,1,1,36,0,0.06,2,"propagule",3932,0,0,0.0879959308240081,"True"
"37",37,1,1,37,0,0.06,2,"propagule",3858,0,0,0.0907205806117159,"True"
"38",38,1,1,38,0,0.06,2,"propagule",3811,0,0,0.0923642088690632,"True"
"39",39,1,1,39,0,0.06,2,"propagule",3768,0,0,0.0942144373673036,"True"
"40",40,1,1,40,0,0.06,2,"propagule",3722,0,0,0.0983342289091886,"True"
"41",41,1,1,41,0,0.06,2,"propagule",3940,0,0,0.12741116751269,"True"
"42",42,1,1,42,0,0.06,2,"propagule",3874,0,0,0.128807434176562,"True"
"43",43,1,1,43,0,0.06,2,"propagule",3882,0,0,0.131890777949511,"True"
"44",44,1,1,44,0,0.06,2,"propagule",3844,0,0,0.135015608740895,"True"
"45",45,1,1,45,0,0.06,2,"propagule",3792,0,0,0.134493670886076,"True"
"46",46,1,1,46,0,0.06,2,"propagule",3615,0,0,0.126694329183956,"True"
"47",47,1,1,47,0,0.06,2,"propagule",3563,0,0,0.124614089250631,"True"
"48",48,1,1,48,0,0.06,2,"propagule",3524,0,0,0.123155505107832,"True"
"49",49,1,1,49,0,0.06,2,"propagule",3467,0,0,0.12575713873666,"True"
"50",50,1,1,50,0,0.06,2,"propagule",3438,0,0,0.12565445026178,"True"
"51",51,1,1,51,0,0.06,2,"propagule",3402,0,0,0.127278071722516,"True"
"52",52,1,1,52,0,0.06,2,"propagule",3366,0,0,0.12893642305407,"True"
"53",53,1,2,1,0,0.06,2,"propagule",3325,9,0,0.129924812030075,"False"
"54",54,1,2,2,0,0.06,2,"propagule",3303,9,0,0.130790190735695,"False"
"55",55,1,2,3,0,0.06,2,"propagule",3282,9,2,0.135283363802559,"False"
"56",56,1,2,4,0,0.06,2,"propagule",3253,12,4,0.136181985859207,"False"
"57",57,1,2,5,0,0.06,2,"propagule",3211,12,4,0.137651821862348,"False"
"58",58,1,2,6,0,0.06,2,"propagule",3175,10,8,0.139842519685039,"False"
"59",59,1,2,7,0,0.06,2,"propagule",3121,12,8,0.141300865107337,"False"
"60",60,1,2,8,0,0.06,2,"propagule",3073,6,3,0.144158802473153,"False"
"61",61,1,2,9,0,0.06,2,"propagule",3035,4,1,0.148929159802306,"False"
"62",62,1,2,10,0,0.06,2,"propagule",2992,3,1,0.148395721925134,"False"
"63",63,1,2,11,0,0.06,2,"propagule",2961,4,2,0.150624788922661,"False"
"64",64,1,2,12,0,0.06,2,"propagule",2932,3,1,0.152114597544338,"False"
"65",65,1,2,13,0,0.06,2,"propagule",2893,3,3,0.157276183892153,"False"
"66",66,1,2,14,0,0.06,2,"propagule",2865,4,3,0.158813263525305,"False"
"67",67,1,2,15,0,0.06,2,"propagule",2834,1,0,0.16090331686662,"False"
"68",68,1,2,16,0,0.06,2,"propagule",2801,1,1,0.161013923598715,"False"
"69",69,1,2,17,0,0.06,2,"propagule",2776,1,1,0.163184438040346,"False"
"70",70,1,2,18,0,0.06,2,"propagule",4952,0,0,0.0924878836833603,"False"
"71",71,1,2,19,0,0.06,2,"propagule",4880,0,0,0.0940573770491803,"False"
"72",72,1,2,20,0,0.06,2,"propagule",4783,0,0,0.0963830232071921,"False"
"73",73,1,2,21,0,0.06,2,"propagule",4696,0,0,0.0988074957410562,"False"
"74",74,1,2,22,0,0.06,2,"propagule",4603,0,0,0.101021073213122,"False"
"75",75,1,2,23,0,0.06,2,"propagule",4518,1,1,0.103364320495795,"False"
"76",76,1,2,24,0,0.06,2,"propagule",4432,1,1,0.105370036101083,"False"
"77",77,1,2,25,0,0.06,2,"propagule",4348,0,0,0.107175712971481,"False"
"78",78,1,2,26,0,0.06,2,"propagule",4235,0,0,0.10814639905549,"False"
"79",79,1,2,27,0,0.06,2,"propagule",4155,0,0,0.108784596871239,"False"
"80",80,1,2,28,0,0.06,2,"propagule",4074,0,0,0.111683848797251,"False"
"81",81,1,2,29,0,0.06,2,"propagule",4014,0,0,0.114349775784753,"False"
