"","rep","year","week","sero","disease","rate","type","total_pop","n_infected","n_symptomatic","actual_sero","elim"
"1",1,1,1,0,0,2.5,"propagule",2773,0,0,0.0959249909844933,"True"
"2",1,1,2,0,0,2.5,"propagule",2729,0,0,0.0989373396848662,"True"
"3",1,1,3,0,0,2.5,"propagule",2657,0,0,0.101242002258186,"True"
"4",1,1,4,0,0,2.5,"propagule",2633,0,0,0.104063805545006,"True"
"5",1,1,5,0,0,2.5,"propagule",2569,0,0,0.105099260412612,"True"
"6",1,1,6,0,0,2.5,"propagule",2521,0,0,0.10472034906783,"True"
"7",1,1,7,0,0,2.5,"propagule",2472,0,0,0.107200647249191,"True"
"8",1,1,8,0,0,2.5,"propagule",2426,0,0,0.105935696619951,"True"
"9",1,1,9,0,0,2.5,"propagule",2364,0,0,0.1082910321489,"True"
"10",1,1,10,0,0,2.5,"propagule",2346,0,0,0.106990622335891,"True"
"11",1,1,11,0,0,2.5,"propagule",2290,0,0,0.107860262008734,"True"
"12",1,1,12,0,0,2.5,"propagule",2238,0,0,0.108132260947274,"True"
"13",1,1,13,0,0,2.5,"propagule",2195,0,0,0.111617312072893,"True"
"14",1,1,14,0,0,2.5,"propagule",2161,0,0,0.112910689495604,"True"
"15",1,1,15,0,0,2.5,"propagule",2121,0,0,0.114097123998114,"True"
"16",1,1,16,0,0,2.5,"propagule",2090,0,0,0.113397129186603,"True"
"17",1,1,17,0,0,2.5,"propagule",2041,0,0,0.114649681528662,"True"
"18",1,1,18,0,0,2.5,"propagule",5767,0,0,0.0421362926998439,"True"
"19",1,1,19,0,0,2.5,"propagule",5570,0,0,0.0436265709156194,"True"
"20",1,1,20,0,0,2.5,"propagule",5395,0,0,0.044114921223355,"True"
"21",1,1,21,0,0,2.5,"propagule",5212,0,0,0.0470069071373753,"True"
"22",1,1,22,0,0,2.5,"propagule",5024,0,0,0.0483678343949045,"True"
"23",1,1,23,0,0,2.5,"propagule",4868,0,0,0.0523829087921118,"True"
"24",1,1,24,0,0,2.5,"propagule",4751,0,0,0.0547253209850558,"True"
"25",1,1,25,0,0,2.5,"propagule",4542,0,0,0.0576838397181858,"True"
"26",1,1,26,0,0,2.5,"propagule",4436,0,0,0.059287646528404,"True"
"27",1,1,27,0,0,2.5,"propagule",4290,0,0,0.0610722610722611,"True"
"28",1,1,28,0,0,2.5,"propagule",4210,0,0,0.063895486935867,"True"
"29",1,1,29,0,0,2.5,"propagule",4115,0,0,0.0658566221142163,"True"
"30",1,1,30,0,0,2.5,"propagule",4036,0,0,0.0681367690782953,"True"
"31",1,1,31,0,0,2.5,"propagule",3896,0,0,0.0721252566735113,"True"
"32",1,1,32,0,0,2.5,"propagule",3847,0,0,0.0725240447101638,"True"
"33",1,1,33,0,0,2.5,"propagule",3760,0,0,0.075531914893617,"True"
"34",1,1,34,0,0,2.5,"propagule",3707,0,0,0.0763420555705422,"True"
"35",1,1,35,0,0,2.5,"propagule",3603,0,0,0.0799333888426311,"True"
"36",1,1,36,0,0,2.5,"propagule",3549,0,0,0.0831220061989293,"True"
"37",1,1,37,0,0,2.5,"propagule",3445,0,0,0.085921625544267,"True"
"38",1,1,38,0,0,2.5,"propagule",3288,0,0,0.0900243309002433,"True"
"39",1,1,39,0,0,2.5,"propagule",3236,0,0,0.0939431396786156,"True"
"40",1,1,40,0,0,2.5,"propagule",3218,0,0,0.0941578620261032,"True"
"41",1,1,41,0,0,2.5,"propagule",3275,0,0,0.11236641221374,"True"
"42",1,1,42,0,0,2.5,"propagule",3312,0,0,0.115640096618357,"True"
"43",1,1,43,0,0,2.5,"propagule",3320,0,0,0.120481927710843,"True"
"44",1,1,44,0,0,2.5,"propagule",3349,0,0,0.129292326067483,"True"
