rep,year,week,sero,rate,barrier,total_pop,n_infected,n_symptomatic,actual_sero
1.0,1.0,1.0,0.3,0.2,2.0,5137.0,0.0,0.0,0.2931672182207514
1.0,1.0,2.0,0.3,0.2,2.0,5147.0,0.0,0.0,0.29376335729551195
1.0,1.0,3.0,0.3,0.2,2.0,5137.0,0.0,0.0,0.29238855363052363
1.0,1.0,4.0,0.3,0.2,2.0,5111.0,0.0,0.0,0.2946585795343377
1.0,1.0,5.0,0.3,0.2,2.0,5214.0,0.0,0.0,0.29344073647871116
1.0,1.0,6.0,0.3,0.2,2.0,5145.0,0.0,0.0,0.2956268221574344
1.0,1.0,7.0,0.3,0.2,2.0,4960.0,0.0,0.0,0.2941532258064516
1.0,1.0,8.0,0.3,0.2,2.0,4877.0,0.0,0.0,0.2966987902399016
1.0,1.0,9.0,0.3,0.2,2.0,4818.0,0.0,0.0,0.29514321295143214
1.0,1.0,10.0,0.3,0.2,2.0,4734.0,0.0,0.0,0.29784537389100124
1.0,1.0,11.0,0.3,0.2,2.0,4641.0,0.0,0.0,0.2984270631329455
1.0,1.0,12.0,0.3,0.2,2.0,4537.0,0.0,0.0,0.3004187789288076
1.0,1.0,13.0,0.3,0.2,2.0,4448.0,0.0,0.0,0.2981115107913669
1.0,1.0,14.0,0.3,0.2,2.0,4411.0,0.0,0.0,0.2987984583994559
1.0,1.0,15.0,0.3,0.2,2.0,4365.0,0.0,0.0,0.29873997709049255
1.0,1.0,16.0,0.3,0.2,2.0,4259.0,0.0,0.0,0.29960084526884245
1.0,1.0,17.0,0.3,0.2,2.0,4161.0,0.0,0.0,0.2968036529680365
1.0,1.0,18.0,0.3,0.2,2.0,4150.0,0.0,0.0,0.29903614457831323
1.0,1.0,19.0,0.3,0.2,2.0,4032.0,0.0,0.0,0.2978670634920635
1.0,1.0,20.0,0.3,0.2,2.0,11127.0,0.0,0.0,0.10712680866361103
