rep,year,week,sero,rate,barrier,total_pop,n_infected,n_symptomatic,actual_sero
1.0,1.0,1.0,0.4,0.15,2.0,5094.0,0.0,0.0,0.40420102080879466
1.0,1.0,2.0,0.4,0.15,2.0,5087.0,0.0,0.0,0.4045606447808138
1.0,1.0,3.0,0.4,0.15,2.0,5012.0,0.0,0.0,0.4044293695131684
1.0,1.0,4.0,0.4,0.15,2.0,5058.0,0.0,0.0,0.4033214709371293
1.0,1.0,5.0,0.4,0.15,2.0,5169.0,0.0,0.0,0.4056877539175856
1.0,1.0,6.0,0.4,0.15,2.0,5149.0,0.0,0.0,0.4051272091668285
1.0,1.0,7.0,0.4,0.15,2.0,5065.0,0.0,0.0,0.4090819348469891
1.0,1.0,8.0,0.4,0.15,2.0,4996.0,0.0,0.0,0.4079263410728583
1.0,1.0,9.0,0.4,0.15,2.0,4920.0,0.0,0.0,0.40853658536585363
1.0,1.0,10.0,0.4,0.15,2.0,4868.0,0.0,0.0,0.4059161873459326
1.0,1.0,11.0,0.4,0.15,2.0,4770.0,0.0,0.0,0.4058700209643606
1.0,1.0,12.0,0.4,0.15,2.0,4682.0,0.0,0.0,0.40794532251174714
1.0,1.0,13.0,0.4,0.15,2.0,4645.0,0.0,0.0,0.40753498385360604
1.0,1.0,14.0,0.4,0.15,2.0,4569.0,0.0,0.0,0.4086233311446706
1.0,1.0,15.0,0.4,0.15,2.0,4458.0,0.0,0.0,0.41004934948407357
1.0,1.0,16.0,0.4,0.15,2.0,4376.0,0.0,0.0,0.41293418647166363
1.0,1.0,17.0,0.4,0.15,2.0,4300.0,0.0,0.0,0.41069767441860466
1.0,1.0,18.0,0.4,0.15,2.0,4225.0,0.0,0.0,0.413491124260355
1.0,1.0,19.0,0.4,0.15,2.0,4152.0,0.0,0.0,0.41040462427745666
1.0,1.0,20.0,0.4,0.15,2.0,11425.0,0.0,0.0,0.14827133479212254
1.0,1.0,21.0,0.4,0.15,2.0,11283.0,0.0,0.0,0.14668084729238678
1.0,1.0,22.0,0.4,0.15,2.0,11171.0,0.0,0.0,0.14725628860442216
1.0,1.0,23.0,0.4,0.15,2.0,11146.0,0.0,0.0,0.14668939529876188
1.0,1.0,24.0,0.4,0.15,2.0,10967.0,0.0,0.0,0.14771587489741952
1.0,1.0,25.0,0.4,0.15,2.0,10852.0,0.0,0.0,0.14660892001474382
1.0,1.0,26.0,0.4,0.15,2.0,10784.0,0.0,0.0,0.14688427299703263
1.0,1.0,27.0,0.4,0.15,2.0,10671.0,0.0,0.0,0.14572205041701808
1.0,1.0,28.0,0.4,0.15,2.0,10517.0,0.0,0.0,0.1469050109346772
1.0,1.0,29.0,0.4,0.15,2.0,10357.0,0.0,0.0,0.14685719803031766
1.0,1.0,30.0,0.4,0.15,2.0,10172.0,0.0,0.0,0.14648053480141565
1.0,1.0,31.0,0.4,0.15,2.0,9918.0,0.0,0.0,0.14579552329098608
