rep,year,week,sero,type,rate,barrier_val,barrier_prop,total_pop,n_infected,n_symptomatic
1,1,1,0.4,propagule,0.1,0,0.0,6565,68,11
1,1,2,0.4,propagule,0.1,0,0.0,6450,78,30
1,1,3,0.4,propagule,0.1,0,0.0,6360,98,45
1,1,4,0.4,propagule,0.1,0,0.0,6208,119,49
1,1,5,0.4,propagule,0.1,0,0.0,6119,144,50
1,1,6,0.4,propagule,0.1,0,0.0,5897,168,62
1,1,7,0.4,propagule,0.1,0,0.0,5654,193,77
1,1,8,0.4,propagule,0.1,0,0.0,5425,238,88
1,1,9,0.4,propagule,0.1,0,0.0,5216,250,91
1,1,10,0.4,propagule,0.1,0,0.0,5094,278,109
1,1,11,0.4,propagule,0.1,0,0.0,4948,292,121
1,1,12,0.4,propagule,0.1,0,0.0,4743,316,136
1,1,13,0.4,propagule,0.1,0,0.0,4526,337,142
1,1,14,0.4,propagule,0.1,0,0.0,4264,337,148
1,1,15,0.4,propagule,0.1,0,0.0,4121,309,148
1,1,16,0.4,propagule,0.1,0,0.0,3981,289,142
1,1,17,0.4,propagule,0.1,0,0.0,3888,279,142
1,1,18,0.4,propagule,0.1,0,0.0,3766,276,129
1,1,19,0.4,propagule,0.1,0,0.0,3684,247,129
1,1,20,0.4,propagule,0.1,0,0.0,5408,231,112
1,1,21,0.4,propagule,0.1,0,0.0,5109,289,120
1,1,22,0.4,propagule,0.1,0,0.0,5059,350,119
1,1,23,0.4,propagule,0.1,0,0.0,4976,376,148
1,1,24,0.4,propagule,0.1,0,0.0,4878,428,179
1,1,25,0.4,propagule,0.1,0,0.0,4836,499,214
1,1,26,0.4,propagule,0.1,0,0.0,4639,489,204
1,1,27,0.4,propagule,0.1,0,0.0,4439,511,230
1,1,28,0.4,propagule,0.1,0,0.0,4271,482,233
1,1,29,0.4,propagule,0.1,0,0.0,4136,502,238
1,1,30,0.4,propagule,0.1,0,0.0,3931,500,200
1,1,31,0.4,propagule,0.1,0,0.0,3832,498,208
1,1,32,0.4,propagule,0.1,0,0.0,3692,470,199
1,1,33,0.4,propagule,0.1,0,0.0,3627,502,234
1,1,34,0.4,propagule,0.1,0,0.0,3474,474,232
1,1,35,0.4,propagule,0.1,0,0.0,3314,432,222
1,1,36,0.4,propagule,0.1,0,0.0,3120,416,208
1,1,37,0.4,propagule,0.1,0,0.0,2987,378,179
1,1,38,0.4,propagule,0.1,0,0.0,2882,348,185
1,1,39,0.4,propagule,0.1,0,0.0,2761,314,165
1,1,40,0.4,propagule,0.1,0,0.0,2701,305,180
1,1,41,0.4,propagule,0.1,0,0.0,2600,272,141
1,1,42,0.4,propagule,0.1,0,0.0,2539,258,142
1,1,43,0.4,propagule,0.1,0,0.0,2435,232,116
1,1,44,0.4,propagule,0.1,0,0.0,2366,227,107
1,1,45,0.4,propagule,0.1,0,0.0,2322,209,105
1,1,46,0.4,propagule,0.1,0,0.0,2262,179,104
1,1,47,0.4,propagule,0.1,0,0.0,2230,163,96
1,1,48,0.4,propagule,0.1,0,0.0,2157,125,84
1,1,49,0.4,propagule,0.1,0,0.0,2117,103,65
1,1,50,0.4,propagule,0.1,0,0.0,2083,94,55
1,1,51,0.4,propagule,0.1,0,0.0,2022,73,38
1,1,52,0.4,propagule,0.1,0,0.0,1975,58,36
1,2,1,0.4,propagule,0.1,0,0.0,1920,55,36
1,2,2,0.4,propagule,0.1,0,0.0,1895,54,30
1,2,3,0.4,propagule,0.1,0,0.0,1860,45,23
1,2,4,0.4,propagule,0.1,0,0.0,1837,37,22
1,2,5,0.4,propagule,0.1,0,0.0,1801,35,18
1,2,6,0.4,propagule,0.1,0,0.0,1789,30,15
1,2,7,0.4,propagule,0.1,0,0.0,1765,26,10
1,2,8,0.4,propagule,0.1,0,0.0,1758,30,14
1,2,9,0.4,propagule,0.1,0,0.0,1735,30,15
1,2,10,0.4,propagule,0.1,0,0.0,1695,29,18
1,2,11,0.4,propagule,0.1,0,0.0,1674,26,15
1,2,12,0.4,propagule,0.1,0,0.0,1664,22,14
1,2,13,0.4,propagule,0.1,0,0.0,1643,19,12
1,2,14,0.4,propagule,0.1,0,0.0,1626,19,9
