rep,year,week,sero,type,rate,barrier,total_pop,n_infected,n_symptomatic,actual_sero
1,1,1,0.4,wave,0.025,0,5142,57,12,0.4012057565149747
1,1,2,0.4,wave,0.025,0,5145,65,28,0.40349854227405246
1,1,3,0.4,wave,0.025,0,5070,71,40,0.40611439842209074
1,1,4,0.4,wave,0.025,0,5063,84,40,0.40944104285996447
1,1,5,0.4,wave,0.025,0,5096,91,39,0.41032182103610676
1,1,6,0.4,wave,0.025,0,4967,96,35,0.4127239782564929
1,1,7,0.4,wave,0.025,0,4828,99,31,0.4136288318144159
1,1,8,0.4,wave,0.025,0,4686,111,36,0.4139991463935126
1,1,9,0.4,wave,0.025,0,4476,132,49,0.4168900804289544
1,1,10,0.4,wave,0.025,0,4424,151,63,0.41659132007233274
1,1,11,0.4,wave,0.025,0,4236,172,71,0.4190273843248348
1,1,12,0.4,wave,0.025,0,4146,175,76,0.4211287988422576
1,1,13,0.4,wave,0.025,0,3956,176,78,0.4274519716885743
1,1,14,0.4,wave,0.025,0,3864,173,77,0.4306418219461698
1,1,15,0.4,wave,0.025,0,3758,169,82,0.4342735497605109
1,1,16,0.4,wave,0.025,0,3649,167,78,0.4376541518224171
1,1,17,0.4,wave,0.025,0,3566,165,90,0.4402692091979809
1,1,18,0.4,wave,0.025,0,3522,158,86,0.4443498012492902
1,1,19,0.4,wave,0.025,0,3431,158,87,0.447391431069659
1,1,20,0.4,wave,0.025,0,6325,136,66,0.24189723320158102
1,1,21,0.4,wave,0.025,0,6004,154,61,0.24450366422385075
1,1,22,0.4,wave,0.025,0,5784,169,59,0.24844398340248963
1,1,23,0.4,wave,0.025,0,5474,211,74,0.2502740226525393
1,1,24,0.4,wave,0.025,0,5151,216,78,0.25412541254125415
1,1,25,0.4,wave,0.025,0,4911,254,102,0.25778863775198535
1,1,26,0.4,wave,0.025,0,4685,277,118,0.2584845250800427
1,1,27,0.4,wave,0.025,0,4480,306,128,0.26183035714285713
1,1,28,0.4,wave,0.025,0,4257,347,135,0.2654451491660794
1,1,29,0.4,wave,0.025,0,4080,359,139,0.27058823529411763
1,1,30,0.4,wave,0.025,0,3943,368,167,0.2749175754501649
1,1,31,0.4,wave,0.025,0,3752,371,176,0.2801172707889126
1,1,32,0.4,wave,0.025,0,3577,395,182,0.2857142857142857
1,1,33,0.4,wave,0.025,0,3429,382,176,0.29542140565762615
1,1,34,0.4,wave,0.025,0,3285,374,168,0.3019786910197869
1,1,35,0.4,wave,0.025,0,3050,366,166,0.3160655737704918
1,1,36,0.4,wave,0.025,0,2935,331,165,0.32367972742759793
1,1,37,0.4,wave,0.025,0,2766,320,157,0.33405639913232105
1,1,38,0.4,wave,0.025,0,2664,306,163,0.3408408408408408
1,1,39,0.4,wave,0.025,0,2566,297,131,0.3519095869056898
1,1,40,0.4,wave,0.025,0,2471,303,129,0.3622015378389316
1,1,41,0.4,wave,0.025,0,2362,278,127,0.37425910245554617
1,1,42,0.4,wave,0.025,0,2271,256,136,0.380449141347424
1,1,43,0.4,wave,0.025,0,2186,251,144,0.39066788655077767
1,1,44,0.4,wave,0.025,0,2085,222,125,0.4023980815347722
1,1,45,0.4,wave,0.025,0,2007,208,99,0.5864474339810662
1,1,46,0.4,wave,0.025,0,1939,175,91,0.591026302217638
1,1,47,0.4,wave,0.025,0,1864,154,86,0.6035407725321889
1,1,48,0.4,wave,0.025,0,1803,134,83,0.6051026067665003
1,1,49,0.4,wave,0.025,0,1746,110,66,0.6145475372279496
1,1,50,0.4,wave,0.025,0,1714,88,48,0.6196032672112018
1,1,51,0.4,wave,0.025,0,1674,71,41,0.6254480286738351
1,1,52,0.4,wave,0.025,0,1659,61,39,0.6286919831223629
1,2,1,0.4,wave,0.025,0,1618,50,30,0.6328800988875154
1,2,2,0.4,wave,0.025,0,1585,42,26,0.6397476340694006
1,2,3,0.4,wave,0.025,0,1517,32,14,0.6367831245880027
1,2,4,0.4,wave,0.025,0,1499,25,15,0.6417611741160774
1,2,5,0.4,wave,0.025,0,1487,23,13,0.6429051782111634
1,2,6,0.4,wave,0.025,0,1464,22,16,0.6413934426229508
1,2,7,0.4,wave,0.025,0,1447,19,13,0.6461644782308223
1,2,8,0.4,wave,0.025,0,1440,20,12,0.6486111111111111
1,2,9,0.4,wave,0.025,0,1416,18,6,0.6532485875706214
1,2,10,0.4,wave,0.025,0,1411,17,8,0.6569808646350106
1,2,11,0.4,wave,0.025,0,1379,16,9,0.6569978245105149
1,2,12,0.4,wave,0.025,0,1369,17,11,0.6566837107377648
1,2,13,0.4,wave,0.025,0,1342,13,9,0.6587183308494784
1,2,14,0.4,wave,0.025,0,1349,12,7,0.6590066716085989
1,2,15,0.4,wave,0.025,0,1328,9,6,0.6634036144578314
1,2,16,0.4,wave,0.025,0,1312,6,3,0.663109756097561
1,2,17,0.4,wave,0.025,0,1288,5,4,0.6630434782608695
1,2,18,0.4,wave,0.025,0,1279,3,3,0.6606724003127443
1,2,19,0.4,wave,0.025,0,1257,4,3,0.6618933969769292
1,2,20,0.4,wave,0.025,0,2369,2,1,0.3520472773322077
1,2,21,0.4,wave,0.025,0,2255,5,0,0.3574279379157428
1,2,22,0.4,wave,0.025,0,2196,5,0,0.3574681238615665
1,2,23,0.4,wave,0.025,0,2116,5,1,0.361531190926276
1,2,24,0.4,wave,0.025,0,2140,6,2,0.36074766355140186
1,2,25,0.4,wave,0.025,0,2039,6,4,0.359980382540461
1,2,26,0.4,wave,0.025,0,2029,7,4,0.36076885165105965
1,2,27,0.4,wave,0.025,0,1948,10,4,0.3613963039014374
1,2,28,0.4,wave,0.025,0,1902,10,3,0.3638275499474238
1,2,29,0.4,wave,0.025,0,1839,8,3,0.3665035345296357
1,2,30,0.4,wave,0.025,0,1804,8,3,0.3625277161862528
1,2,31,0.4,wave,0.025,0,1759,5,1,0.36668561682774303
1,2,32,0.4,wave,0.025,0,1722,6,2,0.36643437862950057
1,2,33,0.4,wave,0.025,0,1659,3,0,0.3707052441229656
