rep,year,week,sero,type,rate,barrier_val,barrier_prop,total_pop,n_infected,n_symptomatic
1,1,1,0.4,wave,0.1,1,0.03805555555555556,6576,72,17
1,1,2,0.4,wave,0.1,1,0.03805555555555556,6403,92,44
1,1,3,0.4,wave,0.1,1,0.03805555555555556,6229,112,55
1,1,4,0.4,wave,0.1,1,0.03805555555555556,5926,141,52
1,1,5,0.4,wave,0.1,1,0.03805555555555556,5723,130,46
1,1,6,0.4,wave,0.1,1,0.03805555555555556,5437,150,55
1,1,7,0.4,wave,0.1,1,0.03805555555555556,5247,171,61
1,1,8,0.4,wave,0.1,1,0.03805555555555556,5094,205,70
1,1,9,0.4,wave,0.1,1,0.03805555555555556,4933,235,89
1,1,10,0.4,wave,0.1,1,0.03805555555555556,4730,266,97
1,1,11,0.4,wave,0.1,1,0.03805555555555556,4637,298,108
1,1,12,0.4,wave,0.1,1,0.03805555555555556,4448,321,119
1,1,13,0.4,wave,0.1,1,0.03805555555555556,4312,313,122
1,1,14,0.4,wave,0.1,1,0.03805555555555556,4186,320,148
1,1,15,0.4,wave,0.1,1,0.03805555555555556,4051,331,148
1,1,16,0.4,wave,0.1,1,0.03805555555555556,3895,341,148
1,1,17,0.4,wave,0.1,1,0.03805555555555556,3750,328,161
1,1,18,0.4,wave,0.1,1,0.03805555555555556,3595,315,161
1,1,19,0.4,wave,0.1,1,0.03805555555555556,3508,311,160
1,1,20,0.4,wave,0.1,1,0.03805555555555556,5035,287,143
1,1,21,0.4,wave,0.1,1,0.03805555555555556,4834,319,140
1,1,22,0.4,wave,0.1,1,0.03805555555555556,4714,355,146
1,1,23,0.4,wave,0.1,1,0.03805555555555556,4560,388,155
1,1,24,0.4,wave,0.1,1,0.03805555555555556,4511,415,171
1,1,25,0.4,wave,0.1,1,0.03805555555555556,4429,443,205
1,1,26,0.4,wave,0.1,1,0.03805555555555556,4434,486,224
1,1,27,0.4,wave,0.1,1,0.03805555555555556,4264,488,230
1,1,28,0.4,wave,0.1,1,0.03805555555555556,4152,480,218
1,1,29,0.4,wave,0.1,1,0.03805555555555556,4057,497,225
1,1,30,0.4,wave,0.1,1,0.03805555555555556,3890,483,235
1,1,31,0.4,wave,0.1,1,0.03805555555555556,3722,465,226
1,1,32,0.4,wave,0.1,1,0.03805555555555556,3568,461,205
1,1,33,0.4,wave,0.1,1,0.03805555555555556,3434,432,211
1,1,34,0.4,wave,0.1,1,0.03805555555555556,3318,424,205
1,1,35,0.4,wave,0.1,1,0.03805555555555556,3197,434,212
1,1,36,0.4,wave,0.1,1,0.03805555555555556,3103,419,208
1,1,37,0.4,wave,0.1,1,0.03805555555555556,2984,403,196
1,1,38,0.4,wave,0.1,1,0.03805555555555556,2852,381,202
1,1,39,0.4,wave,0.1,1,0.03805555555555556,2710,346,175
1,1,40,0.4,wave,0.1,1,0.03805555555555556,2612,326,174
1,1,41,0.4,wave,0.1,1,0.03805555555555556,2509,293,163
1,1,42,0.4,wave,0.1,1,0.03805555555555556,2437,278,153
1,1,43,0.4,wave,0.1,1,0.03805555555555556,2371,256,128
1,1,44,0.4,wave,0.1,1,0.03805555555555556,2280,221,112
1,1,45,0.4,wave,0.1,1,0.03805555555555556,2218,198,120
1,1,46,0.4,wave,0.1,1,0.03805555555555556,2141,172,112
1,1,47,0.4,wave,0.1,1,0.03805555555555556,2095,153,92
1,1,48,0.4,wave,0.1,1,0.03805555555555556,1998,110,63
1,1,49,0.4,wave,0.1,1,0.03805555555555556,1960,95,48
1,1,50,0.4,wave,0.1,1,0.03805555555555556,1921,88,45
1,1,51,0.4,wave,0.1,1,0.03805555555555556,1879,69,40
1,1,52,0.4,wave,0.1,1,0.03805555555555556,1860,60,35
1,2,1,0.4,wave,0.1,1,0.03805555555555556,1836,56,29
1,2,2,0.4,wave,0.1,1,0.03805555555555556,1808,44,25
1,2,3,0.4,wave,0.1,1,0.03805555555555556,1781,41,24
1,2,4,0.4,wave,0.1,1,0.03805555555555556,1757,35,21
1,2,5,0.4,wave,0.1,1,0.03805555555555556,1712,29,14
1,2,6,0.4,wave,0.1,1,0.03805555555555556,1691,24,13
1,2,7,0.4,wave,0.1,1,0.03805555555555556,1650,19,14
1,2,8,0.4,wave,0.1,1,0.03805555555555556,1641,17,14
1,2,9,0.4,wave,0.1,1,0.03805555555555556,1611,13,10
1,2,10,0.4,wave,0.1,1,0.03805555555555556,1594,8,6
1,2,11,0.4,wave,0.1,1,0.03805555555555556,1568,7,4
1,2,12,0.4,wave,0.1,1,0.03805555555555556,1564,10,4
1,2,13,0.4,wave,0.1,1,0.03805555555555556,1535,8,2
1,2,14,0.4,wave,0.1,1,0.03805555555555556,1534,7,3
1,2,15,0.4,wave,0.1,1,0.03805555555555556,1520,7,4
1,2,16,0.4,wave,0.1,1,0.03805555555555556,1514,8,5
1,2,17,0.4,wave,0.1,1,0.03805555555555556,1502,7,3
1,2,18,0.4,wave,0.1,1,0.03805555555555556,1478,5,2
1,2,19,0.4,wave,0.1,1,0.03805555555555556,1478,4,2
1,2,20,0.4,wave,0.1,1,0.03805555555555556,2162,4,2
1,2,21,0.4,wave,0.1,1,0.03805555555555556,2136,3,2
1,2,22,0.4,wave,0.1,1,0.03805555555555556,2085,3,1
1,2,23,0.4,wave,0.1,1,0.03805555555555556,2052,3,1
1,2,24,0.4,wave,0.1,1,0.03805555555555556,2039,4,2
1,2,25,0.4,wave,0.1,1,0.03805555555555556,2027,5,3
1,2,26,0.4,wave,0.1,1,0.03805555555555556,1998,4,2
1,2,27,0.4,wave,0.1,1,0.03805555555555556,1994,4,2
1,2,28,0.4,wave,0.1,1,0.03805555555555556,1960,4,2
1,2,29,0.4,wave,0.1,1,0.03805555555555556,1933,6,2
1,2,30,0.4,wave,0.1,1,0.03805555555555556,1928,7,1
1,2,31,0.4,wave,0.1,1,0.03805555555555556,1895,6,0
1,2,32,0.4,wave,0.1,1,0.03805555555555556,1861,6,2
1,2,33,0.4,wave,0.1,1,0.03805555555555556,1850,7,3
1,2,34,0.4,wave,0.1,1,0.03805555555555556,1840,12,3
1,2,35,0.4,wave,0.1,1,0.03805555555555556,1808,9,2
1,2,36,0.4,wave,0.1,1,0.03805555555555556,1782,10,3
1,2,37,0.4,wave,0.1,1,0.03805555555555556,1740,10,5
1,2,38,0.4,wave,0.1,1,0.03805555555555556,1695,11,5
1,2,39,0.4,wave,0.1,1,0.03805555555555556,1665,11,4
1,2,40,0.4,wave,0.1,1,0.03805555555555556,1630,10,5
1,2,41,0.4,wave,0.1,1,0.03805555555555556,1593,10,6
1,2,42,0.4,wave,0.1,1,0.03805555555555556,1579,11,6
1,2,43,0.4,wave,0.1,1,0.03805555555555556,1560,11,5
1,2,44,0.4,wave,0.1,1,0.03805555555555556,1558,9,3
1,2,45,0.4,wave,0.1,1,0.03805555555555556,1532,8,2
1,2,46,0.4,wave,0.1,1,0.03805555555555556,1512,6,5
1,2,47,0.4,wave,0.1,1,0.03805555555555556,1494,6,6
1,2,48,0.4,wave,0.1,1,0.03805555555555556,1485,6,6
