rep,year,week,sero,type,rate,barrier,total_pop,n_infected,n_symptomatic,actual_sero
1,1,1,0.6,propagule,0.05,3,5140,49,6,0.6019455252918288
1,1,2,0.6,propagule,0.05,3,5092,50,19,0.6052631578947368
1,1,3,0.6,propagule,0.05,3,5054,59,30,0.6034823901859913
1,1,4,0.6,propagule,0.05,3,4958,70,31,0.6052843888664784
1,1,5,0.6,propagule,0.05,3,4932,66,31,0.6050283860502839
1,1,6,0.6,propagule,0.05,3,4847,67,32,0.6040850010315659
1,1,7,0.6,propagule,0.05,3,4652,76,36,0.6018916595012898
1,1,8,0.6,propagule,0.05,3,4470,77,34,0.6046979865771812
1,1,9,0.6,propagule,0.05,3,4371,74,31,0.6071837108213224
1,1,10,0.6,propagule,0.05,3,4298,77,40,0.6088878548161936
1,1,11,0.6,propagule,0.05,3,4145,80,40,0.6103739445114595
1,1,12,0.6,propagule,0.05,3,4067,87,43,0.6137201868699287
1,1,13,0.6,propagule,0.05,3,3910,74,38,0.6156010230179028
1,1,14,0.6,propagule,0.05,3,3772,75,36,0.6145281018027572
1,1,15,0.6,propagule,0.05,3,3674,71,35,0.6156777354382145
1,1,16,0.6,propagule,0.05,3,3611,68,36,0.6181113265023539
1,1,17,0.6,propagule,0.05,3,3512,59,34,0.6190205011389521
1,1,18,0.6,propagule,0.05,3,3463,59,27,0.6220040427375109
1,1,19,0.6,propagule,0.05,3,3388,50,30,0.6245572609208973
1,1,20,0.6,propagule,0.05,3,6275,47,23,0.32940239043824704
1,1,21,0.6,propagule,0.05,3,5864,82,24,0.33509549795361526
1,1,22,0.6,propagule,0.05,3,5562,92,30,0.33872707659115425
1,1,23,0.6,propagule,0.05,3,5227,92,38,0.3392003061029271
1,1,24,0.6,propagule,0.05,3,4992,115,48,0.3417467948717949
1,1,25,0.6,propagule,0.05,3,4672,120,49,0.3450342465753425
1,1,26,0.6,propagule,0.05,3,4514,147,54,0.3506867523260966
1,1,27,0.6,propagule,0.05,3,4331,143,49,0.35442161163703534
1,1,28,0.6,propagule,0.05,3,4081,158,64,0.35653026219063955
1,1,29,0.6,propagule,0.05,3,3924,168,68,0.3577981651376147
1,1,30,0.6,propagule,0.05,3,3791,162,76,0.3621735689791612
1,1,31,0.6,propagule,0.05,3,3599,169,81,0.3667685468185607
1,1,32,0.6,propagule,0.05,3,3501,195,86,0.3693230505569837
1,1,33,0.6,propagule,0.05,3,3417,193,87,0.37254901960784315
1,1,34,0.6,propagule,0.05,3,3322,184,97,0.3747742323901264
1,1,35,0.6,propagule,0.05,3,3250,200,101,0.3781538461538462
1,1,36,0.6,propagule,0.05,3,3180,208,93,0.3817610062893082
1,1,37,0.6,propagule,0.05,3,3083,186,90,0.38696075251378526
1,1,38,0.6,propagule,0.05,3,2978,193,86,0.39120214909335127
1,1,39,0.6,propagule,0.05,3,2894,191,91,0.3973738769868694
1,1,40,0.6,propagule,0.05,3,2726,186,76,0.4053558327219369
1,1,41,0.6,propagule,0.05,3,2662,173,87,0.4098422238918107
1,1,42,0.6,propagule,0.05,3,2543,164,82,0.4160440424695242
1,1,43,0.6,propagule,0.05,3,2506,151,88,0.4197924980047885
1,1,44,0.6,propagule,0.05,3,2376,137,63,0.4318181818181818
1,1,45,0.6,propagule,0.05,3,2330,127,66,0.6703862660944206
1,1,46,0.6,propagule,0.05,3,2250,107,55,0.6715555555555556
1,1,47,0.6,propagule,0.05,3,2197,96,55,0.6741010468821119
1,1,48,0.6,propagule,0.05,3,2112,76,47,0.6732954545454546
1,1,49,0.6,propagule,0.05,3,2075,61,45,0.676144578313253
1,1,50,0.6,propagule,0.05,3,2039,56,39,0.678273663560569
1,1,51,0.6,propagule,0.05,3,2029,48,31,0.6796451453918186
1,1,52,0.6,propagule,0.05,3,1988,35,19,0.6825955734406438
1,2,1,0.6,propagule,0.05,3,1959,29,13,0.6835119959162839
1,2,2,0.6,propagule,0.05,3,1925,24,9,0.6857142857142857
1,2,3,0.6,propagule,0.05,3,1900,22,10,0.6868421052631579
1,2,4,0.6,propagule,0.05,3,1867,22,12,0.6871987145152652
1,2,5,0.6,propagule,0.05,3,1867,20,10,0.688805570433851
1,2,6,0.6,propagule,0.05,3,1829,18,11,0.6932750136686714
1,2,7,0.6,propagule,0.05,3,1815,14,10,0.6964187327823691
1,2,8,0.6,propagule,0.05,3,1777,17,10,0.6983680360157569
1,2,9,0.6,propagule,0.05,3,1733,12,5,0.6976341604154646
1,2,10,0.6,propagule,0.05,3,1685,9,4,0.6997032640949555
1,2,11,0.6,propagule,0.05,3,1679,10,3,0.6968433591423466
1,2,12,0.6,propagule,0.05,3,1616,10,6,0.698019801980198
1,2,13,0.6,propagule,0.05,3,1600,8,4,0.69625
1,2,14,0.6,propagule,0.05,3,1567,8,7,0.6968730057434588
1,2,15,0.6,propagule,0.05,3,1559,6,4,0.6966003848620911
1,2,16,0.6,propagule,0.05,3,1531,6,5,0.6969301110385369
1,2,17,0.6,propagule,0.05,3,1527,4,2,0.6974459724950884
1,2,18,0.6,propagule,0.05,3,1495,3,1,0.696989966555184
1,2,19,0.6,propagule,0.05,3,1488,2,0,0.6948924731182796
1,2,20,0.6,propagule,0.05,3,2782,2,1,0.3634076204169662
1,2,21,0.6,propagule,0.05,3,2665,6,1,0.3632270168855535
1,2,22,0.6,propagule,0.05,3,2609,8,3,0.3637408968953622
1,2,23,0.6,propagule,0.05,3,2564,10,1,0.3673946957878315
1,2,24,0.6,propagule,0.05,3,2501,11,4,0.3678528588564574
1,2,25,0.6,propagule,0.05,3,2451,12,4,0.37250101999184004
1,2,26,0.6,propagule,0.05,3,2343,21,6,0.37857447716602644
1,2,27,0.6,propagule,0.05,3,2301,25,5,0.379400260756193
1,2,28,0.6,propagule,0.05,3,2238,17,2,0.38248436103663985
1,2,29,0.6,propagule,0.05,3,2232,18,7,0.37948028673835127
1,2,30,0.6,propagule,0.05,3,2181,26,11,0.3833104080696928
1,2,31,0.6,propagule,0.05,3,2128,33,15,0.3815789473684211
1,2,32,0.6,propagule,0.05,3,2068,34,13,0.3849129593810445
1,2,33,0.6,propagule,0.05,3,2051,36,14,0.38761579717211114
1,2,34,0.6,propagule,0.05,3,1966,41,14,0.3891149542217701
1,2,35,0.6,propagule,0.05,3,1880,35,20,0.39361702127659576
1,2,36,0.6,propagule,0.05,3,1824,34,19,0.39473684210526316
1,2,37,0.6,propagule,0.05,3,1778,36,23,0.39876265466816646
1,2,38,0.6,propagule,0.05,3,1708,36,16,0.4069086651053864
1,2,39,0.6,propagule,0.05,3,1653,39,15,0.40834845735027225
1,2,40,0.6,propagule,0.05,3,1609,44,15,0.4133001864512119
1,2,41,0.6,propagule,0.05,3,1565,43,18,0.4134185303514377
1,2,42,0.6,propagule,0.05,3,1529,45,24,0.41137998691955524
1,2,43,0.6,propagule,0.05,3,1508,43,26,0.41379310344827586
1,2,44,0.6,propagule,0.05,3,1462,41,24,0.4165526675786594
1,2,45,0.6,propagule,0.05,3,1447,31,17,0.6496199032480995
1,2,46,0.6,propagule,0.05,3,1422,26,15,0.6533052039381153
1,2,47,0.6,propagule,0.05,3,1408,23,10,0.6512784090909091
1,2,48,0.6,propagule,0.05,3,1387,18,9,0.6539293439077145
1,2,49,0.6,propagule,0.05,3,1382,16,10,0.6519536903039074
1,2,50,0.6,propagule,0.05,3,1356,16,11,0.6548672566371682
1,2,51,0.6,propagule,0.05,3,1348,12,11,0.6520771513353115
1,2,52,0.6,propagule,0.05,3,1330,10,7,0.6578947368421053
1,3,1,0.6,propagule,0.05,3,1310,8,5,0.6557251908396946
1,3,2,0.6,propagule,0.05,3,1288,4,2,0.6591614906832298
1,3,3,0.6,propagule,0.05,3,1269,4,4,0.6556343577620173
1,3,4,0.6,propagule,0.05,3,1250,5,3,0.6592
1,3,5,0.6,propagule,0.05,3,1234,4,2,0.653160453808752
1,3,6,0.6,propagule,0.05,3,1212,2,0,0.6567656765676567
1,3,7,0.6,propagule,0.05,3,1206,2,0,0.654228855721393
1,3,8,0.6,propagule,0.05,3,1198,2,2,0.6552587646076795
1,3,9,0.6,propagule,0.05,3,1162,2,2,0.6566265060240963
1,3,10,0.6,propagule,0.05,3,1151,3,2,0.6550825369244135
1,3,11,0.6,propagule,0.05,3,1150,1,0,0.6556521739130434
1,3,12,0.6,propagule,0.05,3,1135,1,1,0.6555066079295154
1,3,13,0.6,propagule,0.05,3,1127,1,1,0.6566104702750666
1,3,14,0.6,propagule,0.05,3,1120,2,1,0.65625
1,3,15,0.6,propagule,0.05,3,1100,1,0,0.6572727272727272
1,3,16,0.6,propagule,0.05,3,1105,1,0,0.6552036199095023
1,3,17,0.6,propagule,0.05,3,1097,1,1,0.6563354603463992
1,3,18,0.6,propagule,0.05,3,1094,1,1,0.6517367458866545
1,3,19,0.6,propagule,0.05,3,1085,2,1,0.6525345622119816
1,3,20,0.6,propagule,0.05,3,1987,1,0,0.3537996980372421
1,3,21,0.6,propagule,0.05,3,1891,1,1,0.355367530407192
1,3,22,0.6,propagule,0.05,3,1876,2,1,0.35554371002132196
1,3,23,0.6,propagule,0.05,3,1845,2,1,0.35501355013550134
1,3,24,0.6,propagule,0.05,3,1750,3,1,0.3577142857142857
1,3,25,0.6,propagule,0.05,3,1711,3,2,0.36060783167738164
1,3,26,0.6,propagule,0.05,3,1607,4,3,0.36029869321717484
1,3,27,0.6,propagule,0.05,3,1544,3,2,0.36593264248704666
1,3,28,0.6,propagule,0.05,3,1487,2,2,0.3665097511768662
1,3,29,0.6,propagule,0.05,3,1501,5,1,0.3670886075949367
1,3,30,0.6,propagule,0.05,3,1455,9,3,0.36838487972508593
1,3,31,0.6,propagule,0.05,3,1451,10,3,0.3673328738800827
1,3,32,0.6,propagule,0.05,3,1399,10,6,0.365975696926376
1,3,33,0.6,propagule,0.05,3,1375,12,4,0.37018181818181817
1,3,34,0.6,propagule,0.05,3,1339,15,6,0.3719193427931292
1,3,35,0.6,propagule,0.05,3,1339,14,5,0.37341299477221807
1,3,36,0.6,propagule,0.05,3,1292,16,9,0.37229102167182665
1,3,37,0.6,propagule,0.05,3,1284,16,7,0.37461059190031154
1,3,38,0.6,propagule,0.05,3,1232,17,6,0.37012987012987014
1,3,39,0.6,propagule,0.05,3,1240,14,8,0.36935483870967745
1,3,40,0.6,propagule,0.05,3,1182,14,9,0.37478849407783416
1,3,41,0.6,propagule,0.05,3,1175,15,9,0.37446808510638296
1,3,42,0.6,propagule,0.05,3,1111,12,5,0.37623762376237624
1,3,43,0.6,propagule,0.05,3,1128,17,5,0.375
1,3,44,0.6,propagule,0.05,3,1096,23,9,0.3731751824817518
1,3,45,0.6,propagule,0.05,3,1117,24,12,0.5908683974932856
1,3,46,0.6,propagule,0.05,3,1054,25,16,0.5958254269449715
1,3,47,0.6,propagule,0.05,3,1055,21,12,0.595260663507109
1,3,48,0.6,propagule,0.05,3,1025,16,8,0.5990243902439024
1,3,49,0.6,propagule,0.05,3,981,11,3,0.5953109072375128
1,3,50,0.6,propagule,0.05,3,968,11,4,0.6012396694214877
1,3,51,0.6,propagule,0.05,3,960,10,4,0.5947916666666667
1,3,52,0.6,propagule,0.05,3,940,10,5,0.5989361702127659
1,4,1,0.6,propagule,0.05,3,942,10,7,0.5923566878980892
1,4,2,0.6,propagule,0.05,3,929,9,8,0.5984930032292788
1,4,3,0.6,propagule,0.05,3,915,9,6,0.594535519125683
