rep,year,week,sero,rate,im_sero,barrier,total_pop,n_infected,n_symptomatic,actual_sero
1.0,1.0,1.0,0.2,0.05,0.4,4.0,5255.0,51.0,11.0,0.1889628924833492
1.0,1.0,2.0,0.2,0.05,0.4,4.0,5124.0,54.0,23.0,0.18930523028883683
1.0,1.0,3.0,0.2,0.05,0.4,4.0,4994.0,64.0,35.0,0.19122947537044455
1.0,1.0,4.0,0.2,0.05,0.4,4.0,4813.0,78.0,35.0,0.192603365884064
1.0,1.0,5.0,0.2,0.05,0.4,4.0,4751.0,91.0,33.0,0.19111765944011788
1.0,1.0,6.0,0.2,0.05,0.4,4.0,4525.0,86.0,35.0,0.19270718232044198
1.0,1.0,7.0,0.2,0.05,0.4,4.0,4372.0,96.0,38.0,0.1948764867337603
1.0,1.0,8.0,0.2,0.05,0.4,4.0,4175.0,118.0,44.0,0.19520958083832335
1.0,1.0,9.0,0.2,0.05,0.4,4.0,4030.0,127.0,50.0,0.19478908188585609
1.0,1.0,10.0,0.2,0.05,0.4,4.0,3854.0,142.0,63.0,0.19382459782044628
1.0,1.0,11.0,0.2,0.05,0.4,4.0,3730.0,151.0,71.0,0.19624664879356568
1.0,1.0,12.0,0.2,0.05,0.4,4.0,3530.0,166.0,71.0,0.1963172804532578
1.0,1.0,13.0,0.2,0.05,0.4,4.0,3403.0,176.0,70.0,0.1980605348222157
1.0,1.0,14.0,0.2,0.05,0.4,4.0,3220.0,179.0,75.0,0.19906832298136645
1.0,1.0,15.0,0.2,0.05,0.4,4.0,3122.0,175.0,79.0,0.20019218449711723
1.0,1.0,16.0,0.2,0.05,0.4,4.0,3010.0,160.0,82.0,0.20465116279069767
1.0,1.0,17.0,0.2,0.05,0.4,4.0,2884.0,172.0,86.0,0.20492371705963938
1.0,1.0,18.0,0.2,0.05,0.4,4.0,2773.0,164.0,77.0,0.20915975477821855
1.0,1.0,19.0,0.2,0.05,0.4,4.0,2669.0,164.0,85.0,0.21468714874484826
1.0,1.0,20.0,0.2,0.05,0.4,4.0,7115.0,161.0,81.0,0.07870695713281799
1.0,1.0,21.0,0.2,0.05,0.4,4.0,6485.0,247.0,81.0,0.07972243639167309
1.0,1.0,22.0,0.2,0.05,0.4,4.0,5973.0,275.0,73.0,0.08069646743679892
1.0,1.0,23.0,0.2,0.05,0.4,4.0,5517.0,289.0,103.0,0.08337864781584195
1.0,1.0,24.0,0.2,0.05,0.4,4.0,5040.0,344.0,128.0,0.08531746031746032
1.0,1.0,25.0,0.2,0.05,0.4,4.0,4694.0,385.0,133.0,0.08649339582445675
1.0,1.0,26.0,0.2,0.05,0.4,4.0,4268.0,421.0,145.0,0.08833177132146204
1.0,1.0,27.0,0.2,0.05,0.4,4.0,4007.0,439.0,183.0,0.09084102820064886
1.0,1.0,28.0,0.2,0.05,0.4,4.0,3653.0,426.0,188.0,0.09526416643854366
1.0,1.0,29.0,0.2,0.05,0.4,4.0,3350.0,422.0,200.0,0.09940298507462686
1.0,1.0,30.0,0.2,0.05,0.4,4.0,3064.0,387.0,186.0,0.10215404699738903
1.0,1.0,31.0,0.2,0.05,0.4,4.0,2829.0,353.0,168.0,0.10604453870625663
1.0,1.0,32.0,0.2,0.05,0.4,4.0,2566.0,330.0,150.0,0.11145752143413874
1.0,1.0,33.0,0.2,0.05,0.4,4.0,2352.0,298.0,140.0,0.11862244897959184
1.0,1.0,34.0,0.2,0.05,0.4,4.0,2188.0,271.0,128.0,0.12385740402193784
1.0,1.0,35.0,0.2,0.05,0.4,4.0,2082.0,254.0,123.0,0.12632084534101826
1.0,1.0,36.0,0.2,0.05,0.4,4.0,1908.0,232.0,108.0,0.13574423480083858
1.0,1.0,37.0,0.2,0.05,0.4,4.0,1821.0,207.0,91.0,0.13838550247116968
1.0,1.0,38.0,0.2,0.05,0.4,4.0,1708.0,191.0,81.0,0.14344262295081966
1.0,1.0,39.0,0.2,0.05,0.4,4.0,1649.0,188.0,79.0,0.14432989690721648
1.0,1.0,40.0,0.2,0.05,0.4,4.0,1514.0,148.0,65.0,0.15059445178335534
1.0,1.0,41.0,0.2,0.05,0.4,4.0,1455.0,140.0,69.0,0.15532646048109966
1.0,1.0,42.0,0.2,0.05,0.4,4.0,1412.0,126.0,73.0,0.15934844192634562
1.0,1.0,43.0,0.2,0.05,0.4,4.0,1297.0,119.0,64.0,0.16576715497301464
1.0,1.0,44.0,0.2,0.05,0.4,4.0,1240.0,99.0,49.0,0.17016129032258065
1.0,1.0,45.0,0.2,0.05,0.4,4.0,1176.0,93.0,48.0,0.30272108843537415
1.0,1.0,46.0,0.2,0.05,0.4,4.0,1151.0,83.0,51.0,0.3032145960034752
1.0,1.0,47.0,0.2,0.05,0.4,4.0,1122.0,85.0,51.0,0.3065953654188948
1.0,1.0,48.0,0.2,0.05,0.4,4.0,1090.0,73.0,41.0,0.3100917431192661
1.0,1.0,49.0,0.2,0.05,0.4,4.0,1039.0,62.0,34.0,0.3156881616939365
1.0,1.0,50.0,0.2,0.05,0.4,4.0,1009.0,55.0,30.0,0.3191278493557978
1.0,1.0,51.0,0.2,0.05,0.4,4.0,981.0,49.0,32.0,0.32313965341488277
1.0,1.0,52.0,0.2,0.05,0.4,4.0,964.0,45.0,27.0,0.3236514522821577
1.0,2.0,1.0,0.2,0.05,0.4,4.0,942.0,37.0,22.0,0.32908704883227174
1.0,2.0,2.0,0.2,0.05,0.4,4.0,907.0,30.0,17.0,0.33737596471885334
1.0,2.0,3.0,0.2,0.05,0.4,4.0,881.0,27.0,15.0,0.3348467650397276
1.0,2.0,4.0,0.2,0.05,0.4,4.0,868.0,23.0,15.0,0.33640552995391704
1.0,2.0,5.0,0.2,0.05,0.4,4.0,852.0,17.0,14.0,0.3415492957746479
1.0,2.0,6.0,0.2,0.05,0.4,4.0,846.0,16.0,12.0,0.34397163120567376
1.0,2.0,7.0,0.2,0.05,0.4,4.0,835.0,13.0,9.0,0.3461077844311377
1.0,2.0,8.0,0.2,0.05,0.4,4.0,807.0,7.0,4.0,0.35192069392812886
1.0,2.0,9.0,0.2,0.05,0.4,4.0,795.0,8.0,6.0,0.3534591194968553
1.0,2.0,10.0,0.2,0.05,0.4,4.0,789.0,7.0,4.0,0.3548795944233207
1.0,2.0,11.0,0.2,0.05,0.4,4.0,783.0,6.0,5.0,0.3550446998722861
1.0,2.0,12.0,0.2,0.05,0.4,4.0,770.0,3.0,2.0,0.35714285714285715
1.0,2.0,13.0,0.2,0.05,0.4,4.0,772.0,3.0,2.0,0.35621761658031087
1.0,2.0,14.0,0.2,0.05,0.4,4.0,752.0,1.0,0.0,0.35771276595744683
1.0,2.0,15.0,0.2,0.05,0.4,4.0,755.0,1.0,0.0,0.3562913907284768
1.0,2.0,16.0,0.2,0.05,0.4,4.0,739.0,1.0,0.0,0.35994587280108253
1.0,2.0,17.0,0.2,0.05,0.4,4.0,739.0,1.0,0.0,0.35994587280108253
1.0,2.0,18.0,0.2,0.05,0.4,4.0,736.0,1.0,1.0,0.360054347826087
1.0,2.0,19.0,0.2,0.05,0.4,4.0,735.0,1.0,1.0,0.3564625850340136
1.0,2.0,20.0,0.2,0.05,0.4,4.0,1386.0,1.0,1.0,0.18903318903318903
1.0,2.0,21.0,0.2,0.05,0.4,4.0,1314.0,2.0,0.0,0.1917808219178082
1.0,2.0,22.0,0.2,0.05,0.4,4.0,1257.0,2.0,2.0,0.19411296738265713
1.0,2.0,23.0,0.2,0.05,0.4,4.0,1201.0,6.0,2.0,0.19733555370524564
1.0,2.0,24.0,0.2,0.05,0.4,4.0,1167.0,6.0,2.0,0.19965724078834618
1.0,2.0,25.0,0.2,0.05,0.4,4.0,1114.0,5.0,1.0,0.20197486535008977
1.0,2.0,26.0,0.2,0.05,0.4,4.0,1069.0,5.0,3.0,0.20860617399438727
1.0,2.0,27.0,0.2,0.05,0.4,4.0,1020.0,7.0,4.0,0.21176470588235294
1.0,2.0,28.0,0.2,0.05,0.4,4.0,983.0,7.0,4.0,0.2136317395727365
1.0,2.0,29.0,0.2,0.05,0.4,4.0,956.0,8.0,2.0,0.21548117154811716
1.0,2.0,30.0,0.2,0.05,0.4,4.0,927.0,9.0,3.0,0.21574973031283712
1.0,2.0,31.0,0.2,0.05,0.4,4.0,920.0,10.0,4.0,0.2184782608695652
1.0,2.0,32.0,0.2,0.05,0.4,4.0,895.0,18.0,5.0,0.2212290502793296
1.0,2.0,33.0,0.2,0.05,0.4,4.0,845.0,18.0,5.0,0.2272189349112426
1.0,2.0,34.0,0.2,0.05,0.4,4.0,793.0,8.0,5.0,0.23203026481715006
1.0,2.0,35.0,0.2,0.05,0.4,4.0,778.0,7.0,5.0,0.2365038560411311
1.0,2.0,36.0,0.2,0.05,0.4,4.0,768.0,5.0,5.0,0.24088541666666666
1.0,2.0,37.0,0.2,0.05,0.4,4.0,717.0,6.0,3.0,0.24267782426778242
1.0,2.0,38.0,0.2,0.05,0.4,4.0,705.0,7.0,2.0,0.24397163120567375
1.0,2.0,39.0,0.2,0.05,0.4,4.0,693.0,4.0,0.0,0.2453102453102453
1.0,2.0,40.0,0.2,0.05,0.4,4.0,680.0,4.0,2.0,0.2485294117647059
1.0,2.0,41.0,0.2,0.05,0.4,4.0,661.0,4.0,3.0,0.24962178517397882
1.0,2.0,42.0,0.2,0.05,0.4,4.0,651.0,5.0,4.0,0.250384024577573
1.0,2.0,43.0,0.2,0.05,0.4,4.0,633.0,5.0,2.0,0.2527646129541864
1.0,2.0,44.0,0.2,0.05,0.4,4.0,618.0,2.0,1.0,0.25080906148867316
1.0,2.0,45.0,0.2,0.05,0.4,4.0,623.0,2.0,0.0,0.3579454253611557
1.0,2.0,46.0,0.2,0.05,0.4,4.0,607.0,2.0,0.0,0.35584843492586493
1.0,2.0,47.0,0.2,0.05,0.4,4.0,610.0,2.0,1.0,0.3540983606557377
1.0,2.0,48.0,0.2,0.05,0.4,4.0,593.0,2.0,1.0,0.35075885328836426
1.0,2.0,49.0,0.2,0.05,0.4,4.0,586.0,2.0,1.0,0.35665529010238906
