seros,imm_rate,imm_disease,imm_type
0.0,1,0.0,propagule
0.1,1,0.0,propagule
0.2,1,0.0,propagule
0.3,1,0.0,propagule
0.4,1,0.0,propagule
0.5,1,0.0,propagule
0.6,1,0.0,propagule
0.7,1,0.0,propagule
0.8,1,0.0,propagule
0.0,5,0.0,propagule
0.1,5,0.0,propagule
0.2,5,0.0,propagule
0.3,5,0.0,propagule
0.4,5,0.0,propagule
0.5,5,0.0,propagule
0.6,5,0.0,propagule
0.7,5,0.0,propagule
0.8,5,0.0,propagule
0.0,10,0.0,propagule
0.1,10,0.0,propagule
0.2,10,0.0,propagule
0.3,10,0.0,propagule
0.4,10,0.0,propagule
0.5,10,0.0,propagule
0.6,10,0.0,propagule
0.7,10,0.0,propagule
0.8,10,0.0,propagule
0.0,20,0.0,propagule
0.1,20,0.0,propagule
0.2,20,0.0,propagule
0.3,20,0.0,propagule
0.4,20,0.0,propagule
0.5,20,0.0,propagule
0.6,20,0.0,propagule
0.7,20,0.0,propagule
0.8,20,0.0,propagule
0.0,35,0.0,propagule
0.1,35,0.0,propagule
0.2,35,0.0,propagule
0.3,35,0.0,propagule
0.4,35,0.0,propagule
0.5,35,0.0,propagule
0.6,35,0.0,propagule
0.7,35,0.0,propagule
0.8,35,0.0,propagule
0.0,1,0.05,propagule
0.1,1,0.05,propagule
0.2,1,0.05,propagule
0.3,1,0.05,propagule
0.4,1,0.05,propagule
0.5,1,0.05,propagule
0.6,1,0.05,propagule
0.7,1,0.05,propagule
0.8,1,0.05,propagule
0.0,5,0.05,propagule
0.1,5,0.05,propagule
0.2,5,0.05,propagule
0.3,5,0.05,propagule
0.4,5,0.05,propagule
0.5,5,0.05,propagule
0.6,5,0.05,propagule
0.7,5,0.05,propagule
0.8,5,0.05,propagule
0.0,10,0.05,propagule
0.1,10,0.05,propagule
0.2,10,0.05,propagule
0.3,10,0.05,propagule
0.4,10,0.05,propagule
0.5,10,0.05,propagule
0.6,10,0.05,propagule
0.7,10,0.05,propagule
0.8,10,0.05,propagule
0.0,20,0.05,propagule
0.1,20,0.05,propagule
0.2,20,0.05,propagule
0.3,20,0.05,propagule
0.4,20,0.05,propagule
0.5,20,0.05,propagule
0.6,20,0.05,propagule
0.7,20,0.05,propagule
0.8,20,0.05,propagule
0.0,35,0.05,propagule
0.1,35,0.05,propagule
0.2,35,0.05,propagule
0.3,35,0.05,propagule
0.4,35,0.05,propagule
0.5,35,0.05,propagule
0.6,35,0.05,propagule
0.7,35,0.05,propagule
0.8,35,0.05,propagule
0.0,1,0.1,propagule
0.1,1,0.1,propagule
0.2,1,0.1,propagule
0.3,1,0.1,propagule
0.4,1,0.1,propagule
0.5,1,0.1,propagule
0.6,1,0.1,propagule
0.7,1,0.1,propagule
0.8,1,0.1,propagule
0.0,5,0.1,propagule
0.1,5,0.1,propagule
0.2,5,0.1,propagule
0.3,5,0.1,propagule
0.4,5,0.1,propagule
0.5,5,0.1,propagule
0.6,5,0.1,propagule
0.7,5,0.1,propagule
0.8,5,0.1,propagule
0.0,10,0.1,propagule
0.1,10,0.1,propagule
0.2,10,0.1,propagule
0.3,10,0.1,propagule
0.4,10,0.1,propagule
0.5,10,0.1,propagule
0.6,10,0.1,propagule
0.7,10,0.1,propagule
0.8,10,0.1,propagule
0.0,20,0.1,propagule
0.1,20,0.1,propagule
0.2,20,0.1,propagule
0.3,20,0.1,propagule
0.4,20,0.1,propagule
0.5,20,0.1,propagule
0.6,20,0.1,propagule
0.7,20,0.1,propagule
0.8,20,0.1,propagule
0.0,35,0.1,propagule
0.1,35,0.1,propagule
0.2,35,0.1,propagule
0.3,35,0.1,propagule
0.4,35,0.1,propagule
0.5,35,0.1,propagule
0.6,35,0.1,propagule
0.7,35,0.1,propagule
0.8,35,0.1,propagule
0.0,1,0.15,propagule
0.1,1,0.15,propagule
0.2,1,0.15,propagule
0.3,1,0.15,propagule
0.4,1,0.15,propagule
0.5,1,0.15,propagule
0.6,1,0.15,propagule
0.7,1,0.15,propagule
0.8,1,0.15,propagule
0.0,5,0.15,propagule
0.1,5,0.15,propagule
0.2,5,0.15,propagule
0.3,5,0.15,propagule
0.4,5,0.15,propagule
0.5,5,0.15,propagule
0.6,5,0.15,propagule
0.7,5,0.15,propagule
0.8,5,0.15,propagule
0.0,10,0.15,propagule
0.1,10,0.15,propagule
0.2,10,0.15,propagule
0.3,10,0.15,propagule
0.4,10,0.15,propagule
0.5,10,0.15,propagule
0.6,10,0.15,propagule
0.7,10,0.15,propagule
0.8,10,0.15,propagule
0.0,20,0.15,propagule
0.1,20,0.15,propagule
0.2,20,0.15,propagule
0.3,20,0.15,propagule
0.4,20,0.15,propagule
0.5,20,0.15,propagule
0.6,20,0.15,propagule
0.7,20,0.15,propagule
0.8,20,0.15,propagule
0.0,35,0.15,propagule
0.1,35,0.15,propagule
0.2,35,0.15,propagule
0.3,35,0.15,propagule
0.4,35,0.15,propagule
0.5,35,0.15,propagule
0.6,35,0.15,propagule
0.7,35,0.15,propagule
0.8,35,0.15,propagule
0.0,1,0.2,propagule
0.1,1,0.2,propagule
0.2,1,0.2,propagule
0.3,1,0.2,propagule
0.4,1,0.2,propagule
0.5,1,0.2,propagule
0.6,1,0.2,propagule
0.7,1,0.2,propagule
0.8,1,0.2,propagule
0.0,5,0.2,propagule
0.1,5,0.2,propagule
0.2,5,0.2,propagule
0.3,5,0.2,propagule
0.4,5,0.2,propagule
0.5,5,0.2,propagule
0.6,5,0.2,propagule
0.7,5,0.2,propagule
0.8,5,0.2,propagule
0.0,10,0.2,propagule
0.1,10,0.2,propagule
0.2,10,0.2,propagule
0.3,10,0.2,propagule
0.4,10,0.2,propagule
0.5,10,0.2,propagule
0.6,10,0.2,propagule
0.7,10,0.2,propagule
0.8,10,0.2,propagule
0.0,20,0.2,propagule
0.1,20,0.2,propagule
0.2,20,0.2,propagule
0.3,20,0.2,propagule
0.4,20,0.2,propagule
0.5,20,0.2,propagule
0.6,20,0.2,propagule
0.7,20,0.2,propagule
0.8,20,0.2,propagule
0.0,35,0.2,propagule
0.1,35,0.2,propagule
0.2,35,0.2,propagule
0.3,35,0.2,propagule
0.4,35,0.2,propagule
0.5,35,0.2,propagule
0.6,35,0.2,propagule
0.7,35,0.2,propagule
0.8,35,0.2,propagule
0.0,1,0.0,wave
0.1,1,0.0,wave
0.2,1,0.0,wave
0.3,1,0.0,wave
0.4,1,0.0,wave
0.5,1,0.0,wave
0.6,1,0.0,wave
0.7,1,0.0,wave
0.8,1,0.0,wave
0.0,5,0.0,wave
0.1,5,0.0,wave
0.2,5,0.0,wave
0.3,5,0.0,wave
0.4,5,0.0,wave
0.5,5,0.0,wave
0.6,5,0.0,wave
0.7,5,0.0,wave
0.8,5,0.0,wave
0.0,10,0.0,wave
0.1,10,0.0,wave
0.2,10,0.0,wave
0.3,10,0.0,wave
0.4,10,0.0,wave
0.5,10,0.0,wave
0.6,10,0.0,wave
0.7,10,0.0,wave
0.8,10,0.0,wave
0.0,20,0.0,wave
0.1,20,0.0,wave
0.2,20,0.0,wave
0.3,20,0.0,wave
0.4,20,0.0,wave
0.5,20,0.0,wave
0.6,20,0.0,wave
0.7,20,0.0,wave
0.8,20,0.0,wave
0.0,35,0.0,wave
0.1,35,0.0,wave
0.2,35,0.0,wave
0.3,35,0.0,wave
0.4,35,0.0,wave
0.5,35,0.0,wave
0.6,35,0.0,wave
0.7,35,0.0,wave
0.8,35,0.0,wave
0.0,1,0.05,wave
0.1,1,0.05,wave
0.2,1,0.05,wave
0.3,1,0.05,wave
0.4,1,0.05,wave
0.5,1,0.05,wave
0.6,1,0.05,wave
0.7,1,0.05,wave
0.8,1,0.05,wave
0.0,5,0.05,wave
0.1,5,0.05,wave
0.2,5,0.05,wave
0.3,5,0.05,wave
0.4,5,0.05,wave
0.5,5,0.05,wave
0.6,5,0.05,wave
0.7,5,0.05,wave
0.8,5,0.05,wave
0.0,10,0.05,wave
0.1,10,0.05,wave
0.2,10,0.05,wave
0.3,10,0.05,wave
0.4,10,0.05,wave
0.5,10,0.05,wave
0.6,10,0.05,wave
0.7,10,0.05,wave
0.8,10,0.05,wave
0.0,20,0.05,wave
0.1,20,0.05,wave
0.2,20,0.05,wave
0.3,20,0.05,wave
0.4,20,0.05,wave
0.5,20,0.05,wave
0.6,20,0.05,wave
0.7,20,0.05,wave
0.8,20,0.05,wave
0.0,35,0.05,wave
0.1,35,0.05,wave
0.2,35,0.05,wave
0.3,35,0.05,wave
0.4,35,0.05,wave
0.5,35,0.05,wave
0.6,35,0.05,wave
0.7,35,0.05,wave
0.8,35,0.05,wave
0.0,1,0.1,wave
0.1,1,0.1,wave
0.2,1,0.1,wave
0.3,1,0.1,wave
0.4,1,0.1,wave
0.5,1,0.1,wave
0.6,1,0.1,wave
0.7,1,0.1,wave
0.8,1,0.1,wave
0.0,5,0.1,wave
0.1,5,0.1,wave
0.2,5,0.1,wave
0.3,5,0.1,wave
0.4,5,0.1,wave
0.5,5,0.1,wave
0.6,5,0.1,wave
0.7,5,0.1,wave
0.8,5,0.1,wave
0.0,10,0.1,wave
0.1,10,0.1,wave
0.2,10,0.1,wave
0.3,10,0.1,wave
0.4,10,0.1,wave
0.5,10,0.1,wave
0.6,10,0.1,wave
0.7,10,0.1,wave
0.8,10,0.1,wave
0.0,20,0.1,wave
0.1,20,0.1,wave
0.2,20,0.1,wave
0.3,20,0.1,wave
0.4,20,0.1,wave
0.5,20,0.1,wave
0.6,20,0.1,wave
0.7,20,0.1,wave
0.8,20,0.1,wave
0.0,35,0.1,wave
0.1,35,0.1,wave
0.2,35,0.1,wave
0.3,35,0.1,wave
0.4,35,0.1,wave
0.5,35,0.1,wave
0.6,35,0.1,wave
0.7,35,0.1,wave
0.8,35,0.1,wave
0.0,1,0.15,wave
0.1,1,0.15,wave
0.2,1,0.15,wave
0.3,1,0.15,wave
0.4,1,0.15,wave
0.5,1,0.15,wave
0.6,1,0.15,wave
0.7,1,0.15,wave
0.8,1,0.15,wave
0.0,5,0.15,wave
0.1,5,0.15,wave
0.2,5,0.15,wave
0.3,5,0.15,wave
0.4,5,0.15,wave
0.5,5,0.15,wave
0.6,5,0.15,wave
0.7,5,0.15,wave
0.8,5,0.15,wave
0.0,10,0.15,wave
0.1,10,0.15,wave
0.2,10,0.15,wave
0.3,10,0.15,wave
0.4,10,0.15,wave
0.5,10,0.15,wave
0.6,10,0.15,wave
0.7,10,0.15,wave
0.8,10,0.15,wave
0.0,20,0.15,wave
0.1,20,0.15,wave
0.2,20,0.15,wave
0.3,20,0.15,wave
0.4,20,0.15,wave
0.5,20,0.15,wave
0.6,20,0.15,wave
0.7,20,0.15,wave
0.8,20,0.15,wave
0.0,35,0.15,wave
0.1,35,0.15,wave
0.2,35,0.15,wave
0.3,35,0.15,wave
0.4,35,0.15,wave
0.5,35,0.15,wave
0.6,35,0.15,wave
0.7,35,0.15,wave
0.8,35,0.15,wave
0.0,1,0.2,wave
0.1,1,0.2,wave
0.2,1,0.2,wave
0.3,1,0.2,wave
0.4,1,0.2,wave
0.5,1,0.2,wave
0.6,1,0.2,wave
0.7,1,0.2,wave
0.8,1,0.2,wave
0.0,5,0.2,wave
0.1,5,0.2,wave
0.2,5,0.2,wave
0.3,5,0.2,wave
0.4,5,0.2,wave
0.5,5,0.2,wave
0.6,5,0.2,wave
0.7,5,0.2,wave
0.8,5,0.2,wave
0.0,10,0.2,wave
0.1,10,0.2,wave
0.2,10,0.2,wave
0.3,10,0.2,wave
0.4,10,0.2,wave
0.5,10,0.2,wave
0.6,10,0.2,wave
0.7,10,0.2,wave
0.8,10,0.2,wave
0.0,20,0.2,wave
0.1,20,0.2,wave
0.2,20,0.2,wave
0.3,20,0.2,wave
0.4,20,0.2,wave
0.5,20,0.2,wave
