rep,year,week,sero,disease,rate,type,total_pop,n_infected,n_symptomatic,actual_sero,elim
1,1,1,0.4,0.015,5,propagule,2697,0,0,0.39117538005190955,True
1,1,2,0.4,0.015,5,propagule,2689,0,0,0.3945704722945333,True
1,1,3,0.4,0.015,5,propagule,2632,0,0,0.39209726443769,True
1,1,4,0.4,0.015,5,propagule,2578,0,0,0.39255236617532974,True
1,1,5,0.4,0.015,5,propagule,2509,0,0,0.3945795137504982,True
1,1,6,0.4,0.015,5,propagule,2466,0,0,0.3982157339821573,True
1,1,7,0.4,0.015,5,propagule,2436,0,0,0.40106732348111657,True
1,1,8,0.4,0.015,5,propagule,2405,0,0,0.40291060291060293,True
1,1,9,0.4,0.015,5,propagule,2369,0,0,0.404812157028282,True
1,1,10,0.4,0.015,5,propagule,2343,0,0,0.4046094750320102,True
1,1,11,0.4,0.015,5,propagule,2317,0,0,0.40483383685800606,True
1,1,12,0.4,0.015,5,propagule,2292,0,0,0.4083769633507853,True
1,1,13,0.4,0.015,5,propagule,2252,0,0,0.4071936056838366,True
1,1,14,0.4,0.015,5,propagule,2223,0,0,0.41070625281151596,True
1,1,15,0.4,0.015,5,propagule,2209,0,0,0.4114984155726573,True
1,1,16,0.4,0.015,5,propagule,2189,0,0,0.4125171311100959,True
1,1,17,0.4,0.015,5,propagule,2164,0,0,0.4121996303142329,True
1,1,18,0.4,0.015,5,propagule,6219,0,0,0.14664737095996142,True
1,1,19,0.4,0.015,5,propagule,6094,0,0,0.148014440433213,True
1,1,20,0.4,0.015,5,propagule,5985,0,0,0.15254803675856307,True
1,1,21,0.4,0.015,5,propagule,5833,0,0,0.15583747642722443,True
1,1,22,0.4,0.015,5,propagule,5729,0,0,0.16006283819165648,True
1,1,23,0.4,0.015,5,propagule,5613,0,0,0.1633707464813825,True
1,1,24,0.4,0.015,5,propagule,5478,0,0,0.16666666666666666,True
1,1,25,0.4,0.015,5,propagule,5369,0,0,0.17005028869435648,True
1,1,26,0.4,0.015,5,propagule,5280,0,0,0.17272727272727273,True
1,1,27,0.4,0.015,5,propagule,5176,0,0,0.17735703245749615,True
1,1,28,0.4,0.015,5,propagule,5088,0,0,0.1814072327044025,True
1,1,29,0.4,0.015,5,propagule,4944,0,0,0.1858818770226537,True
1,1,30,0.4,0.015,5,propagule,4831,0,0,0.18981577313185677,True
1,1,31,0.4,0.015,5,propagule,4737,0,0,0.19294912391809163,True
1,1,32,0.4,0.015,5,propagule,4668,0,0,0.19622964867180806,True
1,1,33,0.4,0.015,5,propagule,4584,0,0,0.19786212914485166,True
1,1,34,0.4,0.015,5,propagule,4443,0,0,0.20279090704478955,True
1,1,35,0.4,0.015,5,propagule,4380,0,0,0.41027397260273973,True
1,1,36,0.4,0.015,5,propagule,4289,0,0,0.4143156913033341,True
1,1,37,0.4,0.015,5,propagule,4197,0,0,0.4174410293066476,True
1,1,38,0.4,0.015,5,propagule,4151,0,0,0.41965791375572153,True
1,1,39,0.4,0.015,5,propagule,4088,0,0,0.4246575342465753,True
1,1,40,0.4,0.015,5,propagule,4037,0,0,0.4280406242259103,True
1,1,41,0.4,0.015,5,propagule,3964,0,0,0.4296165489404642,True
1,1,42,0.4,0.015,5,propagule,3912,0,0,0.43277096114519426,True
1,1,43,0.4,0.015,5,propagule,4005,0,0,0.43920099875156055,True
1,1,44,0.4,0.015,5,propagule,3911,0,0,0.4438762464842751,True
1,1,45,0.4,0.015,5,propagule,3820,0,0,0.44502617801047123,True
1,1,46,0.4,0.015,5,propagule,3738,0,0,0.4489031567683253,True
